edge_id,system_id,source,target,bond_class,bond_order_proxy,edge_family,face_pair_type,reference_control_role
C60_e_000,c60,C60_00,C60_01,5_6,1.45,c60_bond_class_weighted_proxy,pentagon_hexagon,synthetic_reference_control_only
C60_e_001,c60,C60_00,C60_02,5_6,1.45,c60_bond_class_weighted_proxy,pentagon_hexagon,synthetic_reference_control_only
C60_e_002,c60,C60_00,C60_05,6_6,1.4,c60_bond_class_weighted_proxy,hexagon_hexagon,synthetic_reference_control_only
C60_e_003,c60,C60_01,C60_04,5_6,1.45,c60_bond_class_weighted_proxy,pentagon_hexagon,synthetic_reference_control_only
C60_e_004,c60,C60_01,C60_25,6_6,1.4,c60_bond_class_weighted_proxy,hexagon_hexagon,synthetic_reference_control_only
C60_e_005,c60,C60_02,C60_03,5_6,1.45,c60_bond_class_weighted_proxy,pentagon_hexagon,synthetic_reference_control_only
C60_e_006,c60,C60_02,C60_35,6_6,1.4,c60_bond_class_weighted_proxy,hexagon_hexagon,synthetic_reference_control_only
C60_e_007,c60,C60_03,C60_04,5_6,1.45,c60_bond_class_weighted_proxy,pentagon_hexagon,synthetic_reference_control_only
C60_e_008,c60,C60_03,C60_50,6_6,1.4,c60_bond_class_weighted_proxy,hexagon_hexagon,synthetic_reference_control_only
C60_e_009,c60,C60_04,C60_55,6_6,1.4,c60_bond_class_weighted_proxy,hexagon_hexagon,synthetic_reference_control_only
C60_e_010,c60,C60_05,C60_06,5_6,1.45,c60_bond_class_weighted_proxy,pentagon_hexagon,synthetic_reference_control_only
C60_e_011,c60,C60_05,C60_07,5_6,1.45,c60_bond_class_weighted_proxy,pentagon_hexagon,synthetic_reference_control_only
C60_e_012,c60,C60_06,C60_09,5_6,1.45,c60_bond_class_weighted_proxy,pentagon_hexagon,synthetic_reference_control_only
C60_e_013,c60,C60_06,C60_26,6_6,1.4,c60_bond_class_weighted_proxy,hexagon_hexagon,synthetic_reference_control_only
C60_e_014,c60,C60_07,C60_08,5_6,1.45,c60_bond_class_weighted_proxy,pentagon_hexagon,synthetic_reference_control_only
C60_e_015,c60,C60_07,C60_36,6_6,1.4,c60_bond_class_weighted_proxy,hexagon_hexagon,synthetic_reference_control_only
C60_e_016,c60,C60_08,C60_09,5_6,1.45,c60_bond_class_weighted_proxy,pentagon_hexagon,synthetic_reference_control_only
C60_e_017,c60,C60_08,C60_40,6_6,1.4,c60_bond_class_weighted_proxy,hexagon_hexagon,synthetic_reference_control_only
C60_e_018,c60,C60_09,C60_45,6_6,1.4,c60_bond_class_weighted_proxy,hexagon_hexagon,synthetic_reference_control_only
C60_e_019,c60,C60_10,C60_11,5_6,1.45,c60_bond_class_weighted_proxy,pentagon_hexagon,synthetic_reference_control_only
C60_e_020,c60,C60_10,C60_12,5_6,1.45,c60_bond_class_weighted_proxy,pentagon_hexagon,synthetic_reference_control_only
C60_e_021,c60,C60_10,C60_15,6_6,1.4,c60_bond_class_weighted_proxy,hexagon_hexagon,synthetic_reference_control_only
C60_e_022,c60,C60_11,C60_14,5_6,1.45,c60_bond_class_weighted_proxy,pentagon_hexagon,synthetic_reference_control_only
C60_e_023,c60,C60_11,C60_20,6_6,1.4,c60_bond_class_weighted_proxy,hexagon_hexagon,synthetic_reference_control_only
C60_e_024,c60,C60_12,C60_13,5_6,1.45,c60_bond_class_weighted_proxy,pentagon_hexagon,synthetic_reference_control_only
C60_e_025,c60,C60_12,C60_30,6_6,1.4,c60_bond_class_weighted_proxy,hexagon_hexagon,synthetic_reference_control_only
C60_e_026,c60,C60_13,C60_14,5_6,1.45,c60_bond_class_weighted_proxy,pentagon_hexagon,synthetic_reference_control_only
C60_e_027,c60,C60_13,C60_51,6_6,1.4,c60_bond_class_weighted_proxy,hexagon_hexagon,synthetic_reference_control_only
C60_e_028,c60,C60_14,C60_56,6_6,1.4,c60_bond_class_weighted_proxy,hexagon_hexagon,synthetic_reference_control_only
C60_e_029,c60,C60_15,C60_16,5_6,1.45,c60_bond_class_weighted_proxy,pentagon_hexagon,synthetic_reference_control_only
C60_e_030,c60,C60_15,C60_17,5_6,1.45,c60_bond_class_weighted_proxy,pentagon_hexagon,synthetic_reference_control_only
C60_e_031,c60,C60_16,C60_19,5_6,1.45,c60_bond_class_weighted_proxy,pentagon_hexagon,synthetic_reference_control_only
C60_e_032,c60,C60_16,C60_21,6_6,1.4,c60_bond_class_weighted_proxy,hexagon_hexagon,synthetic_reference_control_only
C60_e_033,c60,C60_17,C60_18,5_6,1.45,c60_bond_class_weighted_proxy,pentagon_hexagon,synthetic_reference_control_only
