face_id,system_id,face_type,node_ids,edge_ids,face_size,local_environment_label,claim_role
C60_f_pentagon_00,c60,pentagon,C60_04;C60_01;C60_00;C60_02;C60_03,C60_e_003;C60_e_000;C60_e_001;C60_e_005;C60_e_007,5,pentagon_surrounded_by_hexagons,reference_control_only
C60_f_pentagon_01,c60,pentagon,C60_08;C60_07;C60_05;C60_06;C60_09,C60_e_014;C60_e_011;C60_e_010;C60_e_012;C60_e_016,5,pentagon_surrounded_by_hexagons,reference_control_only
C60_f_pentagon_02,c60,pentagon,C60_13;C60_12;C60_10;C60_11;C60_14,C60_e_024;C60_e_020;C60_e_019;C60_e_022;C60_e_026,5,pentagon_surrounded_by_hexagons,reference_control_only
C60_f_pentagon_03,c60,pentagon,C60_19;C60_16;C60_15;C60_17;C60_18,C60_e_031;C60_e_029;C60_e_030;C60_e_033;C60_e_035,5,pentagon_surrounded_by_hexagons,reference_control_only
C60_f_pentagon_04,c60,pentagon,C60_22;C60_24;C60_20;C60_21;C60_23,C60_e_042;C60_e_039;C60_e_038;C60_e_040;C60_e_041,5,pentagon_surrounded_by_hexagons,reference_control_only
C60_f_pentagon_05,c60,pentagon,C60_28;C60_26;C60_25;C60_29;C60_27,C60_e_048;C60_e_046;C60_e_047;C60_e_050;C60_e_049,5,pentagon_surrounded_by_hexagons,reference_control_only
C60_f_pentagon_06,c60,pentagon,C60_33;C60_31;C60_30;C60_34;C60_32,C60_e_055;C60_e_053;C60_e_054;C60_e_057;C60_e_056,5,pentagon_surrounded_by_hexagons,reference_control_only
C60_f_pentagon_07,c60,pentagon,C60_37;C60_39;C60_35;C60_36;C60_38,C60_e_065;C60_e_062;C60_e_061;C60_e_063;C60_e_064,5,pentagon_surrounded_by_hexagons,reference_control_only
C60_f_pentagon_08,c60,pentagon,C60_42;C60_43;C60_40;C60_44;C60_41,C60_e_072;C60_e_068;C60_e_069;C60_e_071;C60_e_070,5,pentagon_surrounded_by_hexagons,reference_control_only
C60_f_pentagon_09,c60,pentagon,C60_46;C60_49;C60_45;C60_48;C60_47,C60_e_077;C60_e_075;C60_e_074;C60_e_078;C60_e_076,5,pentagon_surrounded_by_hexagons,reference_control_only
C60_f_pentagon_10,c60,pentagon,C60_51;C60_54;C60_50;C60_53;C60_52,C60_e_082;C60_e_080;C60_e_079;C60_e_083;C60_e_081,5,pentagon_surrounded_by_hexagons,reference_control_only
C60_f_pentagon_11,c60,pentagon,C60_57;C60_58;C60_55;C60_59;C60_56,C60_e_089;C60_e_085;C60_e_086;C60_e_088;C60_e_087,5,pentagon_surrounded_by_hexagons,reference_control_only
C60_f_hexagon_00,c60,hexagon,C60_04;C60_55;C60_58;C60_29;C60_25;C60_01,C60_e_009;C60_e_085;C60_e_052;C60_e_047;C60_e_004;C60_e_003,6,hexagon_with_three_pentagon_and_three_hexagon_edges,reference_control_only
C60_f_hexagon_01,c60,hexagon,C60_01;C60_25;C60_26;C60_06;C60_05;C60_00,C60_e_004;C60_e_046;C60_e_013;C60_e_010;C60_e_002;C60_e_000,6,hexagon_with_three_pentagon_and_three_hexagon_edges,reference_control_only
C60_f_hexagon_02,c60,hexagon,C60_00;C60_05;C60_07;C60_36;C60_35;C60_02,C60_e_002;C60_e_011;C60_e_015;C60_e_061;C60_e_006;C60_e_001,6,hexagon_with_three_pentagon_and_three_hexagon_edges,reference_control_only
C60_f_hexagon_03,c60,hexagon,C60_02;C60_35;C60_39;C60_53;C60_50;C60_03,C60_e_006;C60_e_062;C60_e_067;C60_e_079;C60_e_008;C60_e_005,6,hexagon_with_three_pentagon_and_three_hexagon_edges,reference_control_only
C60_f_hexagon_04,c60,hexagon,C60_03;C60_50;C60_54;C60_59;C60_55;C60_04,C60_e_008;C60_e_080;C60_e_084;C60_e_086;C60_e_009;C60_e_007,6,hexagon_with_three_pentagon_and_three_hexagon_edges,reference_control_only
C60_f_hexagon_05,c60,hexagon,C60_06;C60_26;C60_28;C60_48;C60_45;C60_09,C60_e_013;C60_e_048;C60_e_051;C60_e_074;C60_e_018;C60_e_012,6,hexagon_with_three_pentagon_and_three_hexagon_edges,reference_control_only
C60_f_hexagon_06,c60,hexagon,C60_29;C60_58;C60_57;C60_24;C60_22;C60_27,C60_e_052;C60_e_089;C60_e_045;C60_e_042;C60_e_043;C60_e_050,6,hexagon_with_three_pentagon_and_three_hexagon_edges,reference_control_only
C60_f_hexagon_07,c60,hexagon,C60_59;C60_54;C60_51;C60_13;C60_14;C60_56,C60_e_084;C60_e_082;C60_e_027;C60_e_026;C60_e_028;C60_e_088,6,hexagon_with_three_pentagon_and_three_hexagon_edges,reference_control_only
C60_f_hexagon_08,c60,hexagon,C60_53;C60_39;C60_37;C60_32;C60_34;C60_52,C60_e_067;C60_e_065;C60_e_058;C60_e_057;C60_e_060;C60_e_083,6,hexagon_with_three_pentagon_and_three_hexagon_edges,reference_control_only
C60_f_hexagon_09,c60,hexagon,C60_36;C60_07;C60_08;C60_40;C60_43;C60_38,C60_e_015;C60_e_014;C60_e_017;C60_e_068;C60_e_066;C60_e_063,6,hexagon_with_three_pentagon_and_three_hexagon_edges,reference_control_only
C60_f_hexagon_10,c60,hexagon,C60_19;C60_46;C60_47;C60_23;C60_21;C60_16,C60_e_037;C60_e_076;C60_e_044;C60_e_040;C60_e_032;C60_e_031,6,hexagon_with_three_pentagon_and_three_hexagon_edges,reference_control_only
C60_f_hexagon_11,c60,hexagon,C60_16;C60_21;C60_20;C60_11;C60_10;C60_15,C60_e_032;C60_e_038;C60_e_023;C60_e_019;C60_e_021;C60_e_029,6,hexagon_with_three_pentagon_and_three_hexagon_edges,reference_control_only
C60_f_hexagon_12,c60,hexagon,C60_15;C60_10;C60_12;C60_30;C60_31;C60_17,C60_e_021;C60_e_020;C60_e_025;C60_e_053;C60_e_034;C60_e_030,6,hexagon_with_three_pentagon_and_three_hexagon_edges,reference_control_only
