global_edge_id,edge_id,system_id,source,target,global_source,global_target,bond_order_class,bond_order_proxy,hybridization_pair,pi_system_label,sigma_framework_label,reference_control_role
ethyne:Eth_e_00,Eth_e_00,ethyne,Eth_00,Eth_01,ethyne:Eth_00,ethyne:Eth_01,triple,3.0,sp_sp,linear_triple_bond_pi_pair,linear_sigma_axis,synthetic_reference_control_only
benzene:Bz_e_00,Bz_e_00,benzene,Bz_00,Bz_01,benzene:Bz_00,benzene:Bz_01,aromatic,1.5,sp2_sp2,planar_aromatic_pi_ring,planar_ring_sigma_framework,synthetic_reference_control_only_from_DATA02A
benzene:Bz_e_01,Bz_e_01,benzene,Bz_01,Bz_02,benzene:Bz_01,benzene:Bz_02,aromatic,1.5,sp2_sp2,planar_aromatic_pi_ring,planar_ring_sigma_framework,synthetic_reference_control_only_from_DATA02A
benzene:Bz_e_02,Bz_e_02,benzene,Bz_02,Bz_03,benzene:Bz_02,benzene:Bz_03,aromatic,1.5,sp2_sp2,planar_aromatic_pi_ring,planar_ring_sigma_framework,synthetic_reference_control_only_from_DATA02A
benzene:Bz_e_03,Bz_e_03,benzene,Bz_03,Bz_04,benzene:Bz_03,benzene:Bz_04,aromatic,1.5,sp2_sp2,planar_aromatic_pi_ring,planar_ring_sigma_framework,synthetic_reference_control_only_from_DATA02A
benzene:Bz_e_04,Bz_e_04,benzene,Bz_04,Bz_05,benzene:Bz_04,benzene:Bz_05,aromatic,1.5,sp2_sp2,planar_aromatic_pi_ring,planar_ring_sigma_framework,synthetic_reference_control_only_from_DATA02A
benzene:Bz_e_05,Bz_e_05,benzene,Bz_05,Bz_00,benzene:Bz_05,benzene:Bz_00,aromatic,1.5,sp2_sp2,planar_aromatic_pi_ring,planar_ring_sigma_framework,synthetic_reference_control_only_from_DATA02A
c60:C60_e_000,C60_e_000,c60,C60_00,C60_01,c60:C60_00,c60:C60_01,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_001,C60_e_001,c60,C60_00,C60_02,c60:C60_00,c60:C60_02,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_002,C60_e_002,c60,C60_00,C60_05,c60:C60_00,c60:C60_05,6_6,1.4,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_003,C60_e_003,c60,C60_01,C60_04,c60:C60_01,c60:C60_04,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_004,C60_e_004,c60,C60_01,C60_25,c60:C60_01,c60:C60_25,6_6,1.4,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_005,C60_e_005,c60,C60_02,C60_03,c60:C60_02,c60:C60_03,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_006,C60_e_006,c60,C60_02,C60_35,c60:C60_02,c60:C60_35,6_6,1.4,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_007,C60_e_007,c60,C60_03,C60_04,c60:C60_03,c60:C60_04,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_008,C60_e_008,c60,C60_03,C60_50,c60:C60_03,c60:C60_50,6_6,1.4,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_009,C60_e_009,c60,C60_04,C60_55,c60:C60_04,c60:C60_55,6_6,1.4,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_010,C60_e_010,c60,C60_05,C60_06,c60:C60_05,c60:C60_06,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_011,C60_e_011,c60,C60_05,C60_07,c60:C60_05,c60:C60_07,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_012,C60_e_012,c60,C60_06,C60_09,c60:C60_06,c60:C60_09,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_013,C60_e_013,c60,C60_06,C60_26,c60:C60_06,c60:C60_26,6_6,1.4,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_014,C60_e_014,c60,C60_07,C60_08,c60:C60_07,c60:C60_08,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_015,C60_e_015,c60,C60_07,C60_36,c60:C60_07,c60:C60_36,6_6,1.4,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_016,C60_e_016,c60,C60_08,C60_09,c60:C60_08,c60:C60_09,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_017,C60_e_017,c60,C60_08,C60_40,c60:C60_08,c60:C60_40,6_6,1.4,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_018,C60_e_018,c60,C60_09,C60_45,c60:C60_09,c60:C60_45,6_6,1.4,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_019,C60_e_019,c60,C60_10,C60_11,c60:C60_10,c60:C60_11,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_020,C60_e_020,c60,C60_10,C60_12,c60:C60_10,c60:C60_12,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_021,C60_e_021,c60,C60_10,C60_15,c60:C60_10,c60:C60_15,6_6,1.4,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_022,C60_e_022,c60,C60_11,C60_14,c60:C60_11,c60:C60_14,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_023,C60_e_023,c60,C60_11,C60_20,c60:C60_11,c60:C60_20,6_6,1.4,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_024,C60_e_024,c60,C60_12,C60_13,c60:C60_12,c60:C60_13,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
