control_id,control_family_id,source_system_id,global_edge_id,source_global_edge_id,source,target,source_original,target_original,bond_order_class,bond_order_proxy,hybridization_pair,pi_system_label,sigma_framework_label,control_transform_note,reference_control_role
hybridization_label_shuffle_control__adamantane,hybridization_label_shuffle_control,adamantane,hybridization_label_shuffle_control__adamantane:Ada_e_00,adamantane:Ada_e_00,hybridization_label_shuffle_control__adamantane:Ada_00,hybridization_label_shuffle_control__adamantane:Ada_04,adamantane:Ada_00,adamantane:Ada_04,single,1.0,sp3_sp3,none,diamondoid_sigma_cage,source scaffold copied before control transform,synthetic_control_only
hybridization_label_shuffle_control__adamantane,hybridization_label_shuffle_control,adamantane,hybridization_label_shuffle_control__adamantane:Ada_e_01,adamantane:Ada_e_01,hybridization_label_shuffle_control__adamantane:Ada_01,hybridization_label_shuffle_control__adamantane:Ada_04,adamantane:Ada_01,adamantane:Ada_04,single,1.0,sp3_sp3,none,diamondoid_sigma_cage,source scaffold copied before control transform,synthetic_control_only
hybridization_label_shuffle_control__adamantane,hybridization_label_shuffle_control,adamantane,hybridization_label_shuffle_control__adamantane:Ada_e_02,adamantane:Ada_e_02,hybridization_label_shuffle_control__adamantane:Ada_00,hybridization_label_shuffle_control__adamantane:Ada_05,adamantane:Ada_00,adamantane:Ada_05,single,1.0,sp3_sp3,none,diamondoid_sigma_cage,source scaffold copied before control transform,synthetic_control_only
hybridization_label_shuffle_control__adamantane,hybridization_label_shuffle_control,adamantane,hybridization_label_shuffle_control__adamantane:Ada_e_03,adamantane:Ada_e_03,hybridization_label_shuffle_control__adamantane:Ada_02,hybridization_label_shuffle_control__adamantane:Ada_05,adamantane:Ada_02,adamantane:Ada_05,single,1.0,sp3_sp3,none,diamondoid_sigma_cage,source scaffold copied before control transform,synthetic_control_only
hybridization_label_shuffle_control__adamantane,hybridization_label_shuffle_control,adamantane,hybridization_label_shuffle_control__adamantane:Ada_e_04,adamantane:Ada_e_04,hybridization_label_shuffle_control__adamantane:Ada_00,hybridization_label_shuffle_control__adamantane:Ada_06,adamantane:Ada_00,adamantane:Ada_06,single,1.0,sp3_sp3,none,diamondoid_sigma_cage,source scaffold copied before control transform,synthetic_control_only
hybridization_label_shuffle_control__adamantane,hybridization_label_shuffle_control,adamantane,hybridization_label_shuffle_control__adamantane:Ada_e_05,adamantane:Ada_e_05,hybridization_label_shuffle_control__adamantane:Ada_03,hybridization_label_shuffle_control__adamantane:Ada_06,adamantane:Ada_03,adamantane:Ada_06,single,1.0,sp3_sp3,none,diamondoid_sigma_cage,source scaffold copied before control transform,synthetic_control_only
hybridization_label_shuffle_control__adamantane,hybridization_label_shuffle_control,adamantane,hybridization_label_shuffle_control__adamantane:Ada_e_06,adamantane:Ada_e_06,hybridization_label_shuffle_control__adamantane:Ada_01,hybridization_label_shuffle_control__adamantane:Ada_07,adamantane:Ada_01,adamantane:Ada_07,single,1.0,sp3_sp3,none,diamondoid_sigma_cage,source scaffold copied before control transform,synthetic_control_only
hybridization_label_shuffle_control__adamantane,hybridization_label_shuffle_control,adamantane,hybridization_label_shuffle_control__adamantane:Ada_e_07,adamantane:Ada_e_07,hybridization_label_shuffle_control__adamantane:Ada_02,hybridization_label_shuffle_control__adamantane:Ada_07,adamantane:Ada_02,adamantane:Ada_07,single,1.0,sp3_sp3,none,diamondoid_sigma_cage,source scaffold copied before control transform,synthetic_control_only
hybridization_label_shuffle_control__adamantane,hybridization_label_shuffle_control,adamantane,hybridization_label_shuffle_control__adamantane:Ada_e_08,adamantane:Ada_e_08,hybridization_label_shuffle_control__adamantane:Ada_01,hybridization_label_shuffle_control__adamantane:Ada_08,adamantane:Ada_01,adamantane:Ada_08,single,1.0,sp3_sp3,none,diamondoid_sigma_cage,source scaffold copied before control transform,synthetic_control_only
hybridization_label_shuffle_control__adamantane,hybridization_label_shuffle_control,adamantane,hybridization_label_shuffle_control__adamantane:Ada_e_09,adamantane:Ada_e_09,hybridization_label_shuffle_control__adamantane:Ada_03,hybridization_label_shuffle_control__adamantane:Ada_08,adamantane:Ada_03,adamantane:Ada_08,single,1.0,sp3_sp3,none,diamondoid_sigma_cage,source scaffold copied before control transform,synthetic_control_only
