control_id,control_family_id,source_system_id,global_node_id,source_global_node_id,node_id,atom_label,hybridization_label,hydrogen_count_metadata,saturation_label,pi_system_label,sigma_framework_label,topology_class,x_ref,y_ref,z_ref,control_transform_note,claim_role
hybridization_label_shuffle_control__adamantane,hybridization_label_shuffle_control,adamantane,hybridization_label_shuffle_control__adamantane:Ada_00,adamantane:Ada_00,Ada_00,C,sp2,1,saturated,none,diamondoid_sigma_cage,saturated_sp3_diamondoid_cage,1.0,1.0,1.0,hybridization labels drawn from deterministic global shuffle,synthetic_control_only
hybridization_label_shuffle_control__adamantane,hybridization_label_shuffle_control,adamantane,hybridization_label_shuffle_control__adamantane:Ada_01,adamantane:Ada_01,Ada_01,C,sp2,1,saturated,none,diamondoid_sigma_cage,saturated_sp3_diamondoid_cage,1.0,-1.0,-1.0,hybridization labels drawn from deterministic global shuffle,synthetic_control_only
hybridization_label_shuffle_control__adamantane,hybridization_label_shuffle_control,adamantane,hybridization_label_shuffle_control__adamantane:Ada_02,adamantane:Ada_02,Ada_02,C,sp2,1,saturated,none,diamondoid_sigma_cage,saturated_sp3_diamondoid_cage,-1.0,1.0,-1.0,hybridization labels drawn from deterministic global shuffle,synthetic_control_only
hybridization_label_shuffle_control__adamantane,hybridization_label_shuffle_control,adamantane,hybridization_label_shuffle_control__adamantane:Ada_03,adamantane:Ada_03,Ada_03,C,sp2,1,saturated,none,diamondoid_sigma_cage,saturated_sp3_diamondoid_cage,-1.0,-1.0,1.0,hybridization labels drawn from deterministic global shuffle,synthetic_control_only
hybridization_label_shuffle_control__adamantane,hybridization_label_shuffle_control,adamantane,hybridization_label_shuffle_control__adamantane:Ada_04,adamantane:Ada_04,Ada_04,C,sp2,2,saturated,none,diamondoid_sigma_cage,saturated_sp3_diamondoid_cage,1.0,0.0,0.0,hybridization labels drawn from deterministic global shuffle,synthetic_control_only
hybridization_label_shuffle_control__adamantane,hybridization_label_shuffle_control,adamantane,hybridization_label_shuffle_control__adamantane:Ada_05,adamantane:Ada_05,Ada_05,C,sp2,2,saturated,none,diamondoid_sigma_cage,saturated_sp3_diamondoid_cage,0.0,1.0,0.0,hybridization labels drawn from deterministic global shuffle,synthetic_control_only
hybridization_label_shuffle_control__adamantane,hybridization_label_shuffle_control,adamantane,hybridization_label_shuffle_control__adamantane:Ada_06,adamantane:Ada_06,Ada_06,C,sp2,2,saturated,none,diamondoid_sigma_cage,saturated_sp3_diamondoid_cage,0.0,0.0,1.0,hybridization labels drawn from deterministic global shuffle,synthetic_control_only
hybridization_label_shuffle_control__adamantane,hybridization_label_shuffle_control,adamantane,hybridization_label_shuffle_control__adamantane:Ada_07,adamantane:Ada_07,Ada_07,C,sp2,2,saturated,none,diamondoid_sigma_cage,saturated_sp3_diamondoid_cage,0.0,0.0,-1.0,hybridization labels drawn from deterministic global shuffle,synthetic_control_only
hybridization_label_shuffle_control__adamantane,hybridization_label_shuffle_control,adamantane,hybridization_label_shuffle_control__adamantane:Ada_08,adamantane:Ada_08,Ada_08,C,sp2,2,saturated,none,diamondoid_sigma_cage,saturated_sp3_diamondoid_cage,0.0,-1.0,0.0,hybridization labels drawn from deterministic global shuffle,synthetic_control_only
hybridization_label_shuffle_control__adamantane,hybridization_label_shuffle_control,adamantane,hybridization_label_shuffle_control__adamantane:Ada_09,adamantane:Ada_09,Ada_09,C,sp2,2,saturated,none,diamondoid_sigma_cage,saturated_sp3_diamondoid_cage,-1.0,0.0,0.0,hybridization labels drawn from deterministic global shuffle,synthetic_control_only
hybridization_label_shuffle_control__benzene,hybridization_label_shuffle_control,benzene,hybridization_label_shuffle_control__benzene:Bz_00,benzene:Bz_00,Bz_00,C,sp2,1,aromatic_unsaturated,planar_aromatic_pi_ring,planar_ring_sigma_framework,planar_aromatic_ring,1.0,0.0,0.0,hybridization labels drawn from deterministic global shuffle,synthetic_control_only
hybridization_label_shuffle_control__benzene,hybridization_label_shuffle_control,benzene,hybridization_label_shuffle_control__benzene:Bz_01,benzene:Bz_01,Bz_01,C,sp3,1,aromatic_unsaturated,planar_aromatic_pi_ring,planar_ring_sigma_framework,planar_aromatic_ring,0.5,0.866025403784,0.0,hybridization labels drawn from deterministic global shuffle,synthetic_control_only
hybridization_label_shuffle_control__benzene,hybridization_label_shuffle_control,benzene,hybridization_label_shuffle_control__benzene:Bz_02,benzene:Bz_02,Bz_02,C,sp2,1,aromatic_unsaturated,planar_aromatic_pi_ring,planar_ring_sigma_framework,planar_aromatic_ring,-0.5,0.866025403784,0.0,hybridization labels drawn from deterministic global shuffle,synthetic_control_only
hybridization_label_shuffle_control__benzene,hybridization_label_shuffle_control,benzene,hybridization_label_shuffle_control__benzene:Bz_03,benzene:Bz_03,Bz_03,C,sp2,1,aromatic_unsaturated,planar_aromatic_pi_ring,planar_ring_sigma_framework,planar_aromatic_ring,-1.0,0.0,0.0,hybridization labels drawn from deterministic global shuffle,synthetic_control_only
hybridization_label_shuffle_control__benzene,hybridization_label_shuffle_control,benzene,hybridization_label_shuffle_control__benzene:Bz_04,benzene:Bz_04,Bz_04,C,sp2,1,aromatic_unsaturated,planar_aromatic_pi_ring,planar_ring_sigma_framework,planar_aromatic_ring,-0.5,-0.866025403784,0.0,hybridization labels drawn from deterministic global shuffle,synthetic_control_only
