original_system_id,control_id,control_family_id,original_combined_score,control_combined_score,original_control_delta,separation_pass_flag,mimic_risk_flag,likely_signal_source,control_warning_carried_from_DATA02C,interpretation_boundary
adamantane,bond_order_shuffle_control__adamantane,bond_order_shuffle_control,1.0,0.695,0.305,True,False,combined scaffold signal,,passes_configured_scaffold_separation_threshold
benzene,bond_order_shuffle_control__benzene,bond_order_shuffle_control,1.0,0.68,0.32,True,False,combined scaffold signal,,passes_configured_scaffold_separation_threshold
c60,bond_order_shuffle_control__c60,bond_order_shuffle_control,1.0,0.871333,0.128667,False,False,combined scaffold signal,"some controls show zero/low original-control contrast, especially within-system label shuffles for small/uniform systems; DATA02C_negative_finding_flag",below_threshold_low_contrast_boundary
ethyne,bond_order_shuffle_control__ethyne,bond_order_shuffle_control,1.0,0.68,0.32,True,False,combined scaffold signal,,passes_configured_scaffold_separation_threshold
adamantane,carbon_skeleton_degree_control__adamantane,carbon_skeleton_degree_control,1.0,0.797,0.203,True,False,combined scaffold signal,"some controls show zero/low original-control contrast, especially within-system label shuffles for small/uniform systems; DATA02C_negative_finding_flag",passes_configured_scaffold_separation_threshold
benzene,carbon_skeleton_degree_control__benzene,carbon_skeleton_degree_control,1.0,0.797,0.203,True,False,combined scaffold signal,"some controls show zero/low original-control contrast, especially within-system label shuffles for small/uniform systems; DATA02C_negative_finding_flag",passes_configured_scaffold_separation_threshold
c60,carbon_skeleton_degree_control__c60,carbon_skeleton_degree_control,1.0,0.797,0.203,True,False,combined scaffold signal,"some controls show zero/low original-control contrast, especially within-system label shuffles for small/uniform systems; DATA02C_negative_finding_flag",passes_configured_scaffold_separation_threshold
ethyne,carbon_skeleton_degree_control__ethyne,carbon_skeleton_degree_control,1.0,0.797,0.203,True,False,combined scaffold signal,"some controls show zero/low original-control contrast, especially within-system label shuffles for small/uniform systems; DATA02C_negative_finding_flag",passes_configured_scaffold_separation_threshold
adamantane,cross_system_label_swap__adamantane,cross_system_label_swap,1.0,0.32,0.68,True,False,combined scaffold signal,,passes_configured_scaffold_separation_threshold
benzene,cross_system_label_swap__benzene,cross_system_label_swap,1.0,0.5,0.5,True,False,combined scaffold signal,,passes_configured_scaffold_separation_threshold
c60,cross_system_label_swap__c60,cross_system_label_swap,1.0,0.32,0.68,True,False,combined scaffold signal,,passes_configured_scaffold_separation_threshold
ethyne,cross_system_label_swap__ethyne,cross_system_label_swap,1.0,0.32,0.68,True,False,combined scaffold signal,,passes_configured_scaffold_separation_threshold
