control_id,original_system_id,control_family_id,original_control_delta,separation_pass_flag,mimic_risk_flag,data02d_interpretation_boundary,component_score_topology,component_score_degree,component_score_bond_order,component_score_hybridization,component_score_sigma_pi,component_score_local_environment,combined_bonding_organization_score,control_destruction_effectiveness_score,label_uniformity_risk_score,topology_preservation_risk_score,degree_preservation_risk_score,local_environment_reuse_risk_score,degenerate_control_flag,failure_mode_label,recommended_revision_focus,interpretation_boundary
bond_order_shuffle_control__adamantane,adamantane,bond_order_shuffle_control,0.305,True,False,DATA-02D separation result is a synthetic scaffold diagnostic; failed controls remain boundary findings rather than validation evidence,1.0,1.0,0.083333,1.0,1.0,0.0,0.695,0.305,0.0,1.0,1.0,0.0,False,separated_control,inspect unclassified mimic mode in bond_order_shuffle_control,"synthetic/reference-style diagnostic only; no real-data validation, no molecular validation, no physical validation, no spacetime emergence, no physical metric recovery, no causal structure, no de-Broglie confirmation, no real quantum dynamics, no proof that electronic configurations are recognized, and no proof that bonding organization is physically recognized"
bond_order_shuffle_control__benzene,benzene,bond_order_shuffle_control,0.32,True,False,DATA-02D separation result is a synthetic scaffold diagnostic; failed controls remain boundary findings rather than validation evidence,1.0,1.0,0.0,1.0,1.0,0.0,0.68,0.32,0.0,1.0,1.0,0.0,False,separated_control,inspect unclassified mimic mode in bond_order_shuffle_control,"synthetic/reference-style diagnostic only; no real-data validation, no molecular validation, no physical validation, no spacetime emergence, no physical metric recovery, no causal structure, no de-Broglie confirmation, no real quantum dynamics, no proof that electronic configurations are recognized, and no proof that bonding organization is physically recognized"
bond_order_shuffle_control__c60,c60,bond_order_shuffle_control,0.128667,False,True,DATA-02D separation result is a synthetic scaffold diagnostic; failed controls remain boundary findings rather than validation evidence,1.0,1.0,0.855556,1.0,1.0,0.266667,0.871333,0.128667,0.0,1.0,1.0,0.266667,True,topology_preservation+degree_preservation+low_control_destruction_effectiveness,separate topology and degree preservation from label-derived diagnostic response,"synthetic/reference-style diagnostic only; no real-data validation, no molecular validation, no physical validation, no spacetime emergence, no physical metric recovery, no causal structure, no de-Broglie confirmation, no real quantum dynamics, no proof that electronic configurations are recognized, and no proof that bonding organization is physically recognized"
bond_order_shuffle_control__ethyne,ethyne,bond_order_shuffle_control,0.32,True,False,DATA-02D separation result is a synthetic scaffold diagnostic; failed controls remain boundary findings rather than validation evidence,1.0,1.0,0.0,1.0,1.0,0.0,0.68,0.32,0.0,1.0,1.0,0.0,False,separated_control,inspect unclassified mimic mode in bond_order_shuffle_control,"synthetic/reference-style diagnostic only; no real-data validation, no molecular validation, no physical validation, no spacetime emergence, no physical metric recovery, no causal structure, no de-Broglie confirmation, no real quantum dynamics, no proof that electronic configurations are recognized, and no proof that bonding organization is physically recognized"
carbon_skeleton_degree_control__adamantane,adamantane,carbon_skeleton_degree_control,0.203,True,False,DATA-02D separation result is a synthetic scaffold diagnostic; failed controls remain boundary findings rather than validation evidence,0.65,1.0,1.0,1.0,1.0,0.0,0.797,0.203,0.0,0.65,1.0,0.0,False,separated_control,inspect unclassified mimic mode in carbon_skeleton_degree_control,"synthetic/reference-style diagnostic only; no real-data validation, no molecular validation, no physical validation, no spacetime emergence, no physical metric recovery, no causal structure, no de-Broglie confirmation, no real quantum dynamics, no proof that electronic configurations are recognized, and no proof that bonding organization is physically recognized"
carbon_skeleton_degree_control__benzene,benzene,carbon_skeleton_degree_control,0.203,True,False,DATA-02D separation result is a synthetic scaffold diagnostic; failed controls remain boundary findings rather than validation evidence,0.65,1.0,1.0,1.0,1.0,0.0,0.797,0.203,0.0,0.65,1.0,0.0,False,separated_control,inspect unclassified mimic mode in carbon_skeleton_degree_control,"synthetic/reference-style diagnostic only; no real-data validation, no molecular validation, no physical validation, no spacetime emergence, no physical metric recovery, no causal structure, no de-Broglie confirmation, no real quantum dynamics, no proof that electronic configurations are recognized, and no proof that bonding organization is physically recognized"
carbon_skeleton_degree_control__c60,c60,carbon_skeleton_degree_control,0.203,True,False,DATA-02D separation result is a synthetic scaffold diagnostic; failed controls remain boundary findings rather than validation evidence,0.65,1.0,1.0,1.0,1.0,0.0,0.797,0.203,0.0,0.65,1.0,0.0,False,separated_control,inspect unclassified mimic mode in carbon_skeleton_degree_control,"synthetic/reference-style diagnostic only; no real-data validation, no molecular validation, no physical validation, no spacetime emergence, no physical metric recovery, no causal structure, no de-Broglie confirmation, no real quantum dynamics, no proof that electronic configurations are recognized, and no proof that bonding organization is physically recognized"
carbon_skeleton_degree_control__ethyne,ethyne,carbon_skeleton_degree_control,0.203,True,False,DATA-02D separation result is a synthetic scaffold diagnostic; failed controls remain boundary findings rather than validation evidence,0.65,1.0,1.0,1.0,1.0,0.0,0.797,0.203,0.0,0.65,1.0,0.0,False,separated_control,inspect unclassified mimic mode in carbon_skeleton_degree_control,"synthetic/reference-style diagnostic only; no real-data validation, no molecular validation, no physical validation, no spacetime emergence, no physical metric recovery, no causal structure, no de-Broglie confirmation, no real quantum dynamics, no proof that electronic configurations are recognized, and no proof that bonding organization is physically recognized"
cross_system_label_swap__adamantane,adamantane,cross_system_label_swap,0.68,True,False,DATA-02D separation result is a synthetic scaffold diagnostic; failed controls remain boundary findings rather than validation evidence,1.0,1.0,0.0,0.0,0.0,0.0,0.32,0.68,0.0,1.0,1.0,0.0,False,separated_control,inspect unclassified mimic mode in cross_system_label_swap,"synthetic/reference-style diagnostic only; no real-data validation, no molecular validation, no physical validation, no spacetime emergence, no physical metric recovery, no causal structure, no de-Broglie confirmation, no real quantum dynamics, no proof that electronic configurations are recognized, and no proof that bonding organization is physically recognized"
cross_system_label_swap__benzene,benzene,cross_system_label_swap,0.5,True,False,DATA-02D separation result is a synthetic scaffold diagnostic; failed controls remain boundary findings rather than validation evidence,1.0,1.0,0.0,1.0,0.0,0.0,0.5,0.5,0.0,1.0,1.0,0.0,False,separated_control,inspect unclassified mimic mode in cross_system_label_swap,"synthetic/reference-style diagnostic only; no real-data validation, no molecular validation, no physical validation, no spacetime emergence, no physical metric recovery, no causal structure, no de-Broglie confirmation, no real quantum dynamics, no proof that electronic configurations are recognized, and no proof that bonding organization is physically recognized"
cross_system_label_swap__c60,c60,cross_system_label_swap,0.68,True,False,DATA-02D separation result is a synthetic scaffold diagnostic; failed controls remain boundary findings rather than validation evidence,1.0,1.0,0.0,0.0,0.0,0.0,0.32,0.68,0.0,1.0,1.0,0.0,False,separated_control,inspect unclassified mimic mode in cross_system_label_swap,"synthetic/reference-style diagnostic only; no real-data validation, no molecular validation, no physical validation, no spacetime emergence, no physical metric recovery, no causal structure, no de-Broglie confirmation, no real quantum dynamics, no proof that electronic configurations are recognized, and no proof that bonding organization is physically recognized"
cross_system_label_swap__ethyne,ethyne,cross_system_label_swap,0.68,True,False,DATA-02D separation result is a synthetic scaffold diagnostic; failed controls remain boundary findings rather than validation evidence,1.0,1.0,0.0,0.0,0.0,0.0,0.32,0.68,0.0,1.0,1.0,0.0,False,separated_control,inspect unclassified mimic mode in cross_system_label_swap,"synthetic/reference-style diagnostic only; no real-data validation, no molecular validation, no physical validation, no spacetime emergence, no physical metric recovery, no causal structure, no de-Broglie confirmation, no real quantum dynamics, no proof that electronic configurations are recognized, and no proof that bonding organization is physically recognized"
hybridization_label_shuffle_control__adamantane,adamantane,hybridization_label_shuffle_control,0.32,True,False,DATA-02D separation result is a synthetic scaffold diagnostic; failed controls remain boundary findings rather than validation evidence,1.0,1.0,1.0,0.0,1.0,0.0,0.68,0.32,0.5,1.0,1.0,0.0,False,separated_control,inspect unclassified mimic mode in hybridization_label_shuffle_control,"synthetic/reference-style diagnostic only; no real-data validation, no molecular validation, no physical validation, no spacetime emergence, no physical metric recovery, no causal structure, no de-Broglie confirmation, no real quantum dynamics, no proof that electronic configurations are recognized, and no proof that bonding organization is physically recognized"
hybridization_label_shuffle_control__benzene,benzene,hybridization_label_shuffle_control,0.053333,False,True,DATA-02D separation result is a synthetic scaffold diagnostic; failed controls remain boundary findings rather than validation evidence,1.0,1.0,1.0,0.833333,1.0,0.833333,0.946667,0.053333,0.5,1.0,1.0,0.833333,True,topology_preservation+degree_preservation+low_control_destruction_effectiveness,separate topology and degree preservation from label-derived diagnostic response,"synthetic/reference-style diagnostic only; no real-data validation, no molecular validation, no physical validation, no spacetime emergence, no physical metric recovery, no causal structure, no de-Broglie confirmation, no real quantum dynamics, no proof that electronic configurations are recognized, and no proof that bonding organization is physically recognized"
hybridization_label_shuffle_control__c60,c60,hybridization_label_shuffle_control,0.058667,False,True,DATA-02D separation result is a synthetic scaffold diagnostic; failed controls remain boundary findings rather than validation evidence,1.0,1.0,1.0,0.816667,1.0,0.816667,0.941333,0.058667,0.5,1.0,1.0,0.816667,True,topology_preservation+degree_preservation+low_control_destruction_effectiveness,separate topology and degree preservation from label-derived diagnostic response,"synthetic/reference-style diagnostic only; no real-data validation, no molecular validation, no physical validation, no spacetime emergence, no physical metric recovery, no causal structure, no de-Broglie confirmation, no real quantum dynamics, no proof that electronic configurations are recognized, and no proof that bonding organization is physically recognized"
hybridization_label_shuffle_control__ethyne,ethyne,hybridization_label_shuffle_control,0.32,True,False,DATA-02D separation result is a synthetic scaffold diagnostic; failed controls remain boundary findings rather than validation evidence,1.0,1.0,1.0,0.0,1.0,0.0,0.68,0.32,0.5,1.0,1.0,0.0,False,separated_control,inspect unclassified mimic mode in hybridization_label_shuffle_control,"synthetic/reference-style diagnostic only; no real-data validation, no molecular validation, no physical validation, no spacetime emergence, no physical metric recovery, no causal structure, no de-Broglie confirmation, no real quantum dynamics, no proof that electronic configurations are recognized, and no proof that bonding organization is physically recognized"
sigma_pi_label_shuffle_control__adamantane,adamantane,sigma_pi_label_shuffle_control,0.3035,True,False,DATA-02D separation result is a synthetic scaffold diagnostic; failed controls remain boundary findings rather than validation evidence,1.0,1.0,1.0,1.0,0.091667,0.0,0.6965,0.3035,0.5,1.0,1.0,0.0,False,separated_control,inspect unclassified mimic mode in sigma_pi_label_shuffle_control,"synthetic/reference-style diagnostic only; no real-data validation, no molecular validation, no physical validation, no spacetime emergence, no physical metric recovery, no causal structure, no de-Broglie confirmation, no real quantum dynamics, no proof that electronic configurations are recognized, and no proof that bonding organization is physically recognized"
sigma_pi_label_shuffle_control__benzene,benzene,sigma_pi_label_shuffle_control,0.32,True,False,DATA-02D separation result is a synthetic scaffold diagnostic; failed controls remain boundary findings rather than validation evidence,1.0,1.0,1.0,1.0,0.0,0.0,0.68,0.32,0.5,1.0,1.0,0.0,False,separated_control,inspect unclassified mimic mode in sigma_pi_label_shuffle_control,"synthetic/reference-style diagnostic only; no real-data validation, no molecular validation, no physical validation, no spacetime emergence, no physical metric recovery, no causal structure, no de-Broglie confirmation, no real quantum dynamics, no proof that electronic configurations are recognized, and no proof that bonding organization is physically recognized"
sigma_pi_label_shuffle_control__c60,c60,sigma_pi_label_shuffle_control,0.094583,False,True,DATA-02D separation result is a synthetic scaffold diagnostic; failed controls remain boundary findings rather than validation evidence,1.0,1.0,1.0,1.0,0.798611,0.583333,0.905417,0.094583,0.5,1.0,1.0,0.583333,True,topology_preservation+degree_preservation+low_control_destruction_effectiveness,separate topology and degree preservation from label-derived diagnostic response,"synthetic/reference-style diagnostic only; no real-data validation, no molecular validation, no physical validation, no spacetime emergence, no physical metric recovery, no causal structure, no de-Broglie confirmation, no real quantum dynamics, no proof that electronic configurations are recognized, and no proof that bonding organization is physically recognized"
sigma_pi_label_shuffle_control__ethyne,ethyne,sigma_pi_label_shuffle_control,0.32,True,False,DATA-02D separation result is a synthetic scaffold diagnostic; failed controls remain boundary findings rather than validation evidence,1.0,1.0,1.0,1.0,0.0,0.0,0.68,0.32,0.5,1.0,1.0,0.0,False,separated_control,inspect unclassified mimic mode in sigma_pi_label_shuffle_control,"synthetic/reference-style diagnostic only; no real-data validation, no molecular validation, no physical validation, no spacetime emergence, no physical metric recovery, no causal structure, no de-Broglie confirmation, no real quantum dynamics, no proof that electronic configurations are recognized, and no proof that bonding organization is physically recognized"
topology_matched_random_control__adamantane,adamantane,topology_matched_random_control,0.203,True,False,DATA-02D separation result is a synthetic scaffold diagnostic; failed controls remain boundary findings rather than validation evidence,0.65,1.0,1.0,1.0,1.0,0.0,0.797,0.203,0.0,0.65,1.0,0.0,False,separated_control,inspect unclassified mimic mode in topology_matched_random_control,"synthetic/reference-style diagnostic only; no real-data validation, no molecular validation, no physical validation, no spacetime emergence, no physical metric recovery, no causal structure, no de-Broglie confirmation, no real quantum dynamics, no proof that electronic configurations are recognized, and no proof that bonding organization is physically recognized"
topology_matched_random_control__benzene,benzene,topology_matched_random_control,0.203,True,False,DATA-02D separation result is a synthetic scaffold diagnostic; failed controls remain boundary findings rather than validation evidence,0.65,1.0,1.0,1.0,1.0,0.0,0.797,0.203,0.0,0.65,1.0,0.0,False,separated_control,inspect unclassified mimic mode in topology_matched_random_control,"synthetic/reference-style diagnostic only; no real-data validation, no molecular validation, no physical validation, no spacetime emergence, no physical metric recovery, no causal structure, no de-Broglie confirmation, no real quantum dynamics, no proof that electronic configurations are recognized, and no proof that bonding organization is physically recognized"
topology_matched_random_control__c60,c60,topology_matched_random_control,0.203,True,False,DATA-02D separation result is a synthetic scaffold diagnostic; failed controls remain boundary findings rather than validation evidence,0.65,1.0,1.0,1.0,1.0,0.0,0.797,0.203,0.0,0.65,1.0,0.0,False,separated_control,inspect unclassified mimic mode in topology_matched_random_control,"synthetic/reference-style diagnostic only; no real-data validation, no molecular validation, no physical validation, no spacetime emergence, no physical metric recovery, no causal structure, no de-Broglie confirmation, no real quantum dynamics, no proof that electronic configurations are recognized, and no proof that bonding organization is physically recognized"
topology_matched_random_control__ethyne,ethyne,topology_matched_random_control,0.203,True,False,DATA-02D separation result is a synthetic scaffold diagnostic; failed controls remain boundary findings rather than validation evidence,0.65,1.0,1.0,1.0,1.0,0.0,0.797,0.203,0.0,0.65,1.0,0.0,False,separated_control,inspect unclassified mimic mode in topology_matched_random_control,"synthetic/reference-style diagnostic only; no real-data validation, no molecular validation, no physical validation, no spacetime emergence, no physical metric recovery, no causal structure, no de-Broglie confirmation, no real quantum dynamics, no proof that electronic configurations are recognized, and no proof that bonding organization is physically recognized"
topology_preserving_label_randomization__adamantane,adamantane,topology_preserving_label_randomization,0.488,True,False,DATA-02D separation result is a synthetic scaffold diagnostic; failed controls remain boundary findings rather than validation evidence,1.0,1.0,0.166667,0.3,0.6,0.0,0.512,0.488,0.0,1.0,1.0,0.0,False,separated_control,inspect unclassified mimic mode in topology_preserving_label_randomization,"synthetic/reference-style diagnostic only; no real-data validation, no molecular validation, no physical validation, no spacetime emergence, no physical metric recovery, no causal structure, no de-Broglie confirmation, no real quantum dynamics, no proof that electronic configurations are recognized, and no proof that bonding organization is physically recognized"
topology_preserving_label_randomization__benzene,benzene,topology_preserving_label_randomization,0.38,True,False,DATA-02D separation result is a synthetic scaffold diagnostic; failed controls remain boundary findings rather than validation evidence,1.0,1.0,0.166667,1.0,0.5,0.0,0.62,0.38,0.25,1.0,1.0,0.0,False,separated_control,inspect unclassified mimic mode in topology_preserving_label_randomization,"synthetic/reference-style diagnostic only; no real-data validation, no molecular validation, no physical validation, no spacetime emergence, no physical metric recovery, no causal structure, no de-Broglie confirmation, no real quantum dynamics, no proof that electronic configurations are recognized, and no proof that bonding organization is physically recognized"
topology_preserving_label_randomization__c60,c60,topology_preserving_label_randomization,0.23775,True,False,DATA-02D separation result is a synthetic scaffold diagnostic; failed controls remain boundary findings rather than validation evidence,1.0,1.0,0.755556,0.8,0.8625,0.05,0.76225,0.23775,0.0,1.0,1.0,0.05,False,separated_control,inspect unclassified mimic mode in topology_preserving_label_randomization,"synthetic/reference-style diagnostic only; no real-data validation, no molecular validation, no physical validation, no spacetime emergence, no physical metric recovery, no causal structure, no de-Broglie confirmation, no real quantum dynamics, no proof that electronic configurations are recognized, and no proof that bonding organization is physically recognized"
topology_preserving_label_randomization__ethyne,ethyne,topology_preserving_label_randomization,0.5,True,False,DATA-02D separation result is a synthetic scaffold diagnostic; failed controls remain boundary findings rather than validation evidence,1.0,1.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,1.0,1.0,0.0,False,separated_control,inspect unclassified mimic mode in topology_preserving_label_randomization,"synthetic/reference-style diagnostic only; no real-data validation, no molecular validation, no physical validation, no spacetime emergence, no physical metric recovery, no causal structure, no de-Broglie confirmation, no real quantum dynamics, no proof that electronic configurations are recognized, and no proof that bonding organization is physically recognized"
within_system_label_shuffle__adamantane,adamantane,within_system_label_shuffle,0.0,False,True,DATA-02D separation result is a synthetic scaffold diagnostic; failed controls remain boundary findings rather than validation evidence,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,True,label_uniformity_or_shuffle_degeneracy+topology_preservation+degree_preservation+local_environment_reuse+low_control_destruction_effectiveness,separate label-shuffle adequacy from scaffold separation; flag uniform-label controls,"synthetic/reference-style diagnostic only; no real-data validation, no molecular validation, no physical validation, no spacetime emergence, no physical metric recovery, no causal structure, no de-Broglie confirmation, no real quantum dynamics, no proof that electronic configurations are recognized, and no proof that bonding organization is physically recognized"
within_system_label_shuffle__benzene,benzene,within_system_label_shuffle,0.0,False,True,DATA-02D separation result is a synthetic scaffold diagnostic; failed controls remain boundary findings rather than validation evidence,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,True,label_uniformity_or_shuffle_degeneracy+topology_preservation+degree_preservation+local_environment_reuse+low_control_destruction_effectiveness,separate label-shuffle adequacy from scaffold separation; flag uniform-label controls,"synthetic/reference-style diagnostic only; no real-data validation, no molecular validation, no physical validation, no spacetime emergence, no physical metric recovery, no causal structure, no de-Broglie confirmation, no real quantum dynamics, no proof that electronic configurations are recognized, and no proof that bonding organization is physically recognized"
within_system_label_shuffle__c60,c60,within_system_label_shuffle,0.084,False,True,DATA-02D separation result is a synthetic scaffold diagnostic; failed controls remain boundary findings rather than validation evidence,1.0,1.0,1.0,1.0,1.0,0.4,0.916,0.084,0.75,1.0,1.0,0.4,True,topology_preservation+degree_preservation+low_control_destruction_effectiveness,separate topology and degree preservation from label-derived diagnostic response,"synthetic/reference-style diagnostic only; no real-data validation, no molecular validation, no physical validation, no spacetime emergence, no physical metric recovery, no causal structure, no de-Broglie confirmation, no real quantum dynamics, no proof that electronic configurations are recognized, and no proof that bonding organization is physically recognized"
within_system_label_shuffle__ethyne,ethyne,within_system_label_shuffle,0.0,False,True,DATA-02D separation result is a synthetic scaffold diagnostic; failed controls remain boundary findings rather than validation evidence,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,True,label_uniformity_or_shuffle_degeneracy+topology_preservation+degree_preservation+local_environment_reuse+low_control_destruction_effectiveness,separate label-shuffle adequacy from scaffold separation; flag uniform-label controls,"synthetic/reference-style diagnostic only; no real-data validation, no molecular validation, no physical validation, no spacetime emergence, no physical metric recovery, no causal structure, no de-Broglie confirmation, no real quantum dynamics, no proof that electronic configurations are recognized, and no proof that bonding organization is physically recognized"
