canonical_field_name,language_code,sql_alias,display_label,description,review_status
event_instance_id,en,event_instance_id,Event instance ID,Unique historical event or state-instance identifier,reviewed
event_instance_id,de,ereignisinstanz_id,Ereignisinstanz-ID,Eindeutige historische Ereignis- oder Zustandsinstanzkennung,reviewed
event_instance_id,ca,identificador_instancia_esdeveniment,Identificador de la instància d’esdeveniment,Identificador unic de la instancia historica d'esdeveniment o estat,not_yet_reviewed
state_descriptor_id,en,state_descriptor_id,State descriptor ID,Identifier for the represented state description,reviewed
state_descriptor_id,de,zustandsbeschreibung_id,Zustandsbeschreibungs-ID,Kennung der dargestellten Zustandsbeschreibung,reviewed
state_descriptor_id,ca,identificador_descriptor_estat,Identificador del descriptor d’estat,Identificador del descriptor d'estat representat,not_yet_reviewed
state_id,en,state_id,State ID,Stable state identifier retained for compatibility,reviewed
state_id,de,zustands_id,Zustands-ID,Stabile Zustandskennung zur Scaffold-Kompatibilitaet,reviewed
state_id,ca,identificador_estat,Identificador d’estat,Identificador estable de l'estat,not_yet_reviewed
source_record_id,en,source_record_id,Source record ID,Source observation identifier,reviewed
source_record_id,de,quell_datensatz_id,Quelldatensatz-ID,Kennung des Quelldatensatzes,reviewed
source_record_id,ca,identificador_registre_origen,Identificador del registre d’origen,Identificador del registre d'origen,not_yet_reviewed
forcing_cycle_index,en,forcing_cycle_index,Forcing-cycle index,External forcing-cycle index,reviewed
forcing_cycle_index,de,anregungszyklus_index,Anregungszyklus-Index,Index des aeusseren Anregungszyklus,reviewed
forcing_cycle_index,ca,index_cicle_excitacio,Índex del cicle d’excitació,Index del cicle d'excitacio extern,not_yet_reviewed
forcing_phase,en,forcing_phase,Forcing phase,External forcing phase,reviewed
forcing_phase,de,anregungsphase,Anregungsphase,Phase der aeusseren Anregung,reviewed
forcing_phase,ca,fase_excitacio,Fase d’excitació,Fase d'excitacio externa,not_yet_reviewed
response_phase_class,en,response_phase_class,Response phase class,Response phase class,reviewed
response_phase_class,de,antwortphasenklasse,Antwortphasenklasse,Klasse der Antwortphase,reviewed
