source,target,weight,edge_family,relation_type,source_family,target_family,evidence_tag,comment
ring_p_m3,ring_p_1,0.30843000533,intra_family,gaussian_nullmodel_threshold_similarity,RING,RING,bmc10_nullmodel_seed_101_tau_0.3,Gaussian nullmodel threshold graph with tau=0.3
ring_p_m3,cavity_1_2_1,0.329893294305,cross_family,gaussian_nullmodel_threshold_similarity,RING,CAVITY,bmc10_nullmodel_seed_101_tau_0.3,Gaussian nullmodel threshold graph with tau=0.3
ring_p_m3,cavity_2_1_1,0.483270223187,cross_family,gaussian_nullmodel_threshold_similarity,RING,CAVITY,bmc10_nullmodel_seed_101_tau_0.3,Gaussian nullmodel threshold graph with tau=0.3
ring_p_m3,membrane_0_1,0.301890880197,cross_family,gaussian_nullmodel_threshold_similarity,RING,MEMBRANE,bmc10_nullmodel_seed_101_tau_0.3,Gaussian nullmodel threshold graph with tau=0.3
ring_p_m3,membrane_1_1,0.350648670805,cross_family,gaussian_nullmodel_threshold_similarity,RING,MEMBRANE,bmc10_nullmodel_seed_101_tau_0.3,Gaussian nullmodel threshold graph with tau=0.3
ring_p_m3,membrane_1_2,0.459779846826,cross_family,gaussian_nullmodel_threshold_similarity,RING,MEMBRANE,bmc10_nullmodel_seed_101_tau_0.3,Gaussian nullmodel threshold graph with tau=0.3
ring_p_m2,ring_p_2,0.408987524173,intra_family,gaussian_nullmodel_threshold_similarity,RING,RING,bmc10_nullmodel_seed_101_tau_0.3,Gaussian nullmodel threshold graph with tau=0.3
ring_p_m2,ring_p_3,0.413381538162,intra_family,gaussian_nullmodel_threshold_similarity,RING,RING,bmc10_nullmodel_seed_101_tau_0.3,Gaussian nullmodel threshold graph with tau=0.3
ring_p_m2,cavity_1_2_1,0.422404420644,cross_family,gaussian_nullmodel_threshold_similarity,RING,CAVITY,bmc10_nullmodel_seed_101_tau_0.3,Gaussian nullmodel threshold graph with tau=0.3
ring_p_m2,cavity_2_1_1,0.366590411268,cross_family,gaussian_nullmodel_threshold_similarity,RING,CAVITY,bmc10_nullmodel_seed_101_tau_0.3,Gaussian nullmodel threshold graph with tau=0.3
ring_p_m2,cavity_2_1_2,0.325698124224,cross_family,gaussian_nullmodel_threshold_similarity,RING,CAVITY,bmc10_nullmodel_seed_101_tau_0.3,Gaussian nullmodel threshold graph with tau=0.3
ring_p_m2,cavity_2_2_2,0.369173717416,cross_family,gaussian_nullmodel_threshold_similarity,RING,CAVITY,bmc10_nullmodel_seed_101_tau_0.3,Gaussian nullmodel threshold graph with tau=0.3
ring_p_m2,membrane_2_2,0.324515685512,cross_family,gaussian_nullmodel_threshold_similarity,RING,MEMBRANE,bmc10_nullmodel_seed_101_tau_0.3,Gaussian nullmodel threshold graph with tau=0.3
ring_p_m2,membrane_0_3,0.342180883406,cross_family,gaussian_nullmodel_threshold_similarity,RING,MEMBRANE,bmc10_nullmodel_seed_101_tau_0.3,Gaussian nullmodel threshold graph with tau=0.3
ring_p_m1,ring_p_2,0.324184962901,intra_family,gaussian_nullmodel_threshold_similarity,RING,RING,bmc10_nullmodel_seed_101_tau_0.3,Gaussian nullmodel threshold graph with tau=0.3
ring_p_m1,cavity_2_1_2,0.323322872474,cross_family,gaussian_nullmodel_threshold_similarity,RING,CAVITY,bmc10_nullmodel_seed_101_tau_0.3,Gaussian nullmodel threshold graph with tau=0.3
