node_id,shell_index,node_label,node_family,origin_tag,comment,feature_shape_factor,feature_spectral_index
ring_p_m3,0,nullmodel_RING_1,RING,BMC10_nullmodel_seed_202,Gaussian nullmodel feature row with BMC-08c node contract preserved,1.09436413817,3.48820382266
ring_p_m2,0,nullmodel_RING_2,RING,BMC10_nullmodel_seed_202,Gaussian nullmodel feature row with BMC-08c node contract preserved,1,4.48249757422
ring_p_m1,0,nullmodel_RING_3,RING,BMC10_nullmodel_seed_202,Gaussian nullmodel feature row with BMC-08c node contract preserved,1.53199261466,4.99900677274
ring_p_1,0,nullmodel_RING_4,RING,BMC10_nullmodel_seed_202,Gaussian nullmodel feature row with BMC-08c node contract preserved,1,2.19349558598
ring_p_2,0,nullmodel_RING_5,RING,BMC10_nullmodel_seed_202,Gaussian nullmodel feature row with BMC-08c node contract preserved,1,3.46474050497
ring_p_3,0,nullmodel_RING_6,RING,BMC10_nullmodel_seed_202,Gaussian nullmodel feature row with BMC-08c node contract preserved,1.36694431191,4.30377530202
cavity_1_1_1,1,nullmodel_CAVITY_7,CAVITY,BMC10_nullmodel_seed_202,Gaussian nullmodel feature row with BMC-08c node contract preserved,1.34432174161,3.37997395011
cavity_1_1_2,1,nullmodel_CAVITY_8,CAVITY,BMC10_nullmodel_seed_202,Gaussian nullmodel feature row with BMC-08c node contract preserved,1.38116209299,2.21607820644
cavity_1_2_1,1,nullmodel_CAVITY_9,CAVITY,BMC10_nullmodel_seed_202,Gaussian nullmodel feature row with BMC-08c node contract preserved,1.57739565354,2.24742652587
cavity_2_1_1,1,nullmodel_CAVITY_10,CAVITY,BMC10_nullmodel_seed_202,Gaussian nullmodel feature row with BMC-08c node contract preserved,1.44503435595,1.48886141464
cavity_2_2_1,1,nullmodel_CAVITY_11,CAVITY,BMC10_nullmodel_seed_202,Gaussian nullmodel feature row with BMC-08c node contract preserved,1.17920012965,1.71698496676
cavity_2_1_2,1,nullmodel_CAVITY_12,CAVITY,BMC10_nullmodel_seed_202,Gaussian nullmodel feature row with BMC-08c node contract preserved,1.72198626524,2.74990399023
cavity_1_2_2,1,nullmodel_CAVITY_13,CAVITY,BMC10_nullmodel_seed_202,Gaussian nullmodel feature row with BMC-08c node contract preserved,1.52516099486,4.62185458867
cavity_2_2_2,1,nullmodel_CAVITY_14,CAVITY,BMC10_nullmodel_seed_202,Gaussian nullmodel feature row with BMC-08c node contract preserved,1.19857195536,3.72345468247
membrane_0_1,2,nullmodel_MEMBRANE_15,MEMBRANE,BMC10_nullmodel_seed_202,Gaussian nullmodel feature row with BMC-08c node contract preserved,1,7.21770010134
membrane_1_1,2,nullmodel_MEMBRANE_16,MEMBRANE,BMC10_nullmodel_seed_202,Gaussian nullmodel feature row with BMC-08c node contract preserved,2.58977832749,1.36477887421
membrane_2_1,2,nullmodel_MEMBRANE_17,MEMBRANE,BMC10_nullmodel_seed_202,Gaussian nullmodel feature row with BMC-08c node contract preserved,2.21497758241,5.51743155672
membrane_0_2,2,nullmodel_MEMBRANE_18,MEMBRANE,BMC10_nullmodel_seed_202,Gaussian nullmodel feature row with BMC-08c node contract preserved,1,1
membrane_3_1,2,nullmodel_MEMBRANE_19,MEMBRANE,BMC10_nullmodel_seed_202,Gaussian nullmodel feature row with BMC-08c node contract preserved,1.59889156625,2.38982803385
membrane_1_2,2,nullmodel_MEMBRANE_20,MEMBRANE,BMC10_nullmodel_seed_202,Gaussian nullmodel feature row with BMC-08c node contract preserved,1.47116641469,3.27113299642
membrane_2_2,2,nullmodel_MEMBRANE_21,MEMBRANE,BMC10_nullmodel_seed_202,Gaussian nullmodel feature row with BMC-08c node contract preserved,1.04687265755,1
membrane_0_3,2,nullmodel_MEMBRANE_22,MEMBRANE,BMC10_nullmodel_seed_202,Gaussian nullmodel feature row with BMC-08c node contract preserved,1.86319783004,4.3055733292
