source,target,weight
membrane_2_1,membrane_3_1,0.6905039726624737
membrane_1_2,membrane_2_2,0.673764262640746
membrane_0_3,membrane_2_2,0.6636029079962557
cavity_2_1_2,cavity_2_2_1,0.6625675976951947
cavity_2_2_1,cavity_2_2_2,0.6616224683794077
membrane_1_1,membrane_2_1,0.6598694621665488
membrane_0_2,membrane_2_1,0.657934943070074
cavity_2_1_1,cavity_2_1_2,0.6576198395403003
membrane_0_2,membrane_1_2,0.6537277915077727
membrane_1_2,membrane_3_1,0.646129574965496
cavity_1_2_2,cavity_2_1_1,0.6456478380341052
cavity_1_2_1,cavity_1_2_2,0.6410796870859513
cavity_1_1_2,cavity_1_2_1,0.6380692096353235
membrane_0_2,membrane_3_1,0.6300257778738063
membrane_0_1,ring_p_2,0.6176608757380533
ring_p_1,ring_p_m1,0.5961585390821571
cavity_1_1_1,cavity_1_1_2,0.5799905502660802
membrane_0_3,membrane_1_2,0.5698159483723055
membrane_0_1,membrane_1_1,0.5595962527990032
membrane_0_2,membrane_1_1,0.5480721682319621
membrane_1_2,membrane_2_1,0.5445297012933692
membrane_2_2,membrane_3_1,0.5359661357756291
ring_p_2,ring_p_3,0.5260021971782429
ring_p_m2,ring_p_m3,0.5260021971782429
membrane_1_1,membrane_3_1,0.5104339219894637
membrane_0_2,membrane_2_2,0.49685696618841063
cavity_2_1_2,cavity_2_2_2,0.494890373272304
cavity_2_1_1,cavity_2_2_1,0.4929032587669765
cavity_1_2_2,cavity_2_1_2,0.4838727423030705
membrane_0_1,ring_p_3,0.48235333524171353
membrane_1_1,ring_p_3,0.48090458772248057
cavity_1_2_1,cavity_2_1_1,0.4743033862862538
cavity_1_1_2,cavity_1_2_2,0.4701622452443724
membrane_0_2,ring_p_3,0.462414830499732
membrane_0_2,membrane_0_3,0.45401741570225407
membrane_1_1,ring_p_2,0.44507881634841767
membrane_2_1,membrane_2_2,0.4431843185129852
membrane_0_3,membrane_3_1,0.439848107863189
cavity_1_1_1,cavity_1_2_1,0.4395181499734639
membrane_1_1,membrane_1_2,0.43854985954056436
membrane_0_1,membrane_2_1,0.4383170765887345
membrane_2_1,ring_p_3,0.4247684513466436
ring_p_2,ring_p_m2,0.4246622967613336
membrane_0_1,membrane_0_2,0.40001061200208715
cavity_2_1_1,cavity_2_2_2,0.39368906838374446
cavity_1_2_2,cavity_2_2_1,0.38893795974401624
membrane_0_3,membrane_2_1,0.3863739630995184
membrane_0_1,ring_p_m2,0.3832273475189367
cavity_1_2_1,cavity_2_1_2,0.3810955420618535
membrane_1_2,ring_p_3,0.3789484305248019
cavity_1_1_2,cavity_2_1_1,0.3738420463899154
membrane_3_1,ring_p_3,0.3734803969193493
membrane_2_1,ring_p_2,0.3708627528355593
membrane_0_1,membrane_3_1,0.37024759318995665
membrane_1_1,membrane_2_2,0.3664961280304587
membrane_0_2,ring_p_2,0.3638380178095051
cavity_1_1_1,cavity_1_2_2,0.35377878866656437
ring_p_2,ring_p_m3,0.3462359170617147
ring_p_3,ring_p_m2,0.3462359170617147
membrane_0_1,membrane_1_2,0.3364123209011365
membrane_0_3,membrane_1_1,0.33307631968570656
ring_p_3,ring_p_m3,0.329791542466288
cavity_1_2_2,cavity_2_2_2,0.3245924594450503
membrane_3_1,ring_p_2,0.32414925593352245
membrane_2_2,ring_p_3,0.32389043678571866
ring_p_1,ring_p_2,0.3231397850744695
ring_p_m1,ring_p_m2,0.3231397850744695
membrane_0_3,ring_p_3,0.3220852744160563
membrane_0_1,ring_p_m3,0.321294717269971
cavity_1_2_1,cavity_2_2_1,0.319998471136657
cavity_1_1_2,ring_p_2,0.31665864537519894
cavity_1_2_1,ring_p_2,0.3163690464355261
cavity_1_1_2,cavity_2_1_2,0.3136001152261788
membrane_1_2,ring_p_2,0.31026854356054023
membrane_1_1,ring_p_m2,0.3075121350456776
