source,target,weight
membrane_0_3,membrane_2_2,0.9249414450148328
cavity_2_1_2,cavity_2_2_1,0.9134482641535825
cavity_2_2_1,cavity_2_2_2,0.9043802027728594
membrane_0_2,membrane_2_1,0.8763305172002898
cavity_2_1_1,cavity_2_1_2,0.874292622321108
cavity_2_1_2,cavity_2_2_2,0.833032603250236
membrane_1_2,membrane_3_1,0.8179116666710116
cavity_1_2_2,cavity_2_1_1,0.8160255710560665
cavity_2_1_1,cavity_2_2_1,0.8074470655227534
cavity_1_2_1,cavity_1_2_2,0.7992794307946645
cavity_1_1_2,cavity_1_2_1,0.7891835032765427
membrane_0_2,membrane_3_1,0.764911006688762
cavity_2_1_1,cavity_2_2_2,0.744043677048722
membrane_0_1,ring_p_2,0.7329230755490397
cavity_1_2_2,cavity_2_1_2,0.7304250448574153
membrane_0_1,ring_p_3,0.7207317517817599
membrane_1_1,ring_p_3,0.7120199988544181
membrane_2_1,membrane_3_1,0.6905039726624737
cavity_1_2_2,cavity_2_2_1,0.6832713157679149
cavity_1_2_1,cavity_2_1_1,0.6773510292696464
membrane_1_2,membrane_2_2,0.673764262640746
membrane_1_1,membrane_2_1,0.6598694621665488
cavity_1_1_2,cavity_1_2_2,0.6587260272636791
cavity_1_1_1,cavity_1_1_2,0.6563931301765413
membrane_0_2,membrane_1_2,0.6537277915077727
membrane_0_3,membrane_1_2,0.6388546686732982
cavity_1_2_2,cavity_2_2_2,0.637454818401747
cavity_1_2_1,cavity_2_1_2,0.6174287103627603
membrane_0_2,membrane_1_1,0.6040862625497063
membrane_1_2,membrane_2_1,0.5987072273134073
ring_p_1,ring_p_m1,0.5961585390821571
membrane_2_2,membrane_3_1,0.5859798423844154
cavity_1_2_1,cavity_2_2_1,0.5835058015820096
cavity_1_1_2,cavity_2_1_1,0.5737593921982883
ring_p_2,ring_p_3,0.5716132508315916
ring_p_m2,ring_p_m3,0.5716132508315916
membrane_0_1,membrane_1_1,0.5595962527990032
membrane_0_3,membrane_3_1,0.5594157516507168
cavity_1_1_1,cavity_1_2_1,0.5585543228970186
cavity_1_2_1,cavity_2_2_2,0.5499062982510325
cavity_1_1_2,cavity_2_1_2,0.5302974196967216
membrane_2_1,ring_p_3,0.5229186881169346
membrane_1_1,membrane_3_1,0.5104339219894637
cavity_1_1_2,cavity_2_2_1,0.5051772728028915
membrane_0_2,membrane_2_2,0.49685696618841063
cavity_1_1_1,cavity_1_2_2,0.49002669203869653
membrane_0_2,ring_p_3,0.4879569581462683
cavity_1_1_2,cavity_2_2_2,0.47992369281166897
membrane_0_2,membrane_0_3,0.47766718806508246
membrane_1_1,ring_p_2,0.46685904204351536
membrane_2_1,membrane_2_2,0.46458632826220597
membrane_1_1,membrane_1_2,0.4590519668930542
membrane_0_3,membrane_2_1,0.44779301821957135
cavity_1_1_1,cavity_2_1_1,0.44158612779080564
membrane_0_1,membrane_2_1,0.4383170765887345
membrane_3_1,ring_p_3,0.4262038619691495
ring_p_2,ring_p_m2,0.4246622967613336
cavity_1_1_1,cavity_2_1_2,0.41554287497360126
membrane_0_1,membrane_0_2,0.4142491733412972
cavity_1_1_1,cavity_2_2_1,0.4000829358937024
membrane_0_1,ring_p_m2,0.39531128085860423
membrane_1_2,ring_p_3,0.39052994127586854
cavity_1_1_1,cavity_2_2_2,0.38423436677482425
membrane_2_1,ring_p_2,0.38154293200525263
membrane_1_1,membrane_2_2,0.37671455672389836
membrane_0_1,membrane_3_1,0.37024759318995665
membrane_0_3,membrane_1_1,0.3657275366359993
membrane_0_2,ring_p_2,0.3638380178095051
ring_p_2,ring_p_m3,0.35452267661125864
ring_p_3,ring_p_m2,0.35452267661125864
membrane_0_1,ring_p_m3,0.3496138013773583
membrane_0_1,membrane_1_2,0.3438766974792309
membrane_3_1,ring_p_2,0.3306809380843113
membrane_2_2,ring_p_3,0.33040349551018455
ring_p_3,ring_p_m3,0.329791542466288
