node_id,shell_index,node_label,node_family,origin_tag,comment,feature_shape_factor,feature_spectral_index
ring_p_m3,0,p=-3,RING,M39x_external_reference_wave_1,sign-sensitive ring,1,3
ring_p_m2,0,p=-2,RING,M39x_external_reference_wave_1,sign-sensitive ring,1,2
ring_p_m1,0,p=-1,RING,M39x_external_reference_wave_1,sign-sensitive ring,1,1
ring_p_1,0,p=1,RING,M39x_external_reference_wave_1,sign-sensitive ring,1,1
ring_p_2,0,p=2,RING,M39x_external_reference_wave_1,sign-sensitive ring,1,2
ring_p_3,0,p=3,RING,M39x_external_reference_wave_1,sign-sensitive ring,1,3
cavity_1_1_1,1,"[1, 1, 1]",CAVITY,M39x_external_reference_wave_1,cavity,2,1
cavity_1_1_2,1,"[1, 1, 2]",CAVITY,M39x_external_reference_wave_1,cavity,2,2
cavity_1_2_1,1,"[1, 2, 1]",CAVITY,M39x_external_reference_wave_1,cavity,2,3
cavity_2_1_1,1,"[2, 1, 1]",CAVITY,M39x_external_reference_wave_1,cavity,2,5
cavity_2_2_1,1,"[2, 2, 1]",CAVITY,M39x_external_reference_wave_1,cavity,2,7
cavity_2_1_2,1,"[2, 1, 2]",CAVITY,M39x_external_reference_wave_1,cavity,2,6
cavity_1_2_2,1,"[1, 2, 2]",CAVITY,M39x_external_reference_wave_1,cavity,2,4
cavity_2_2_2,1,"[2, 2, 2]",CAVITY,M39x_external_reference_wave_1,cavity,2,8
membrane_0_1,2,"[0, 1]",MEMBRANE,M39x_external_reference_wave_1,membrane,1,1
membrane_1_1,2,"[1, 1]",MEMBRANE,M39x_external_reference_wave_1,membrane,1,1
membrane_2_1,2,"[2, 1]",MEMBRANE,M39x_external_reference_wave_1,membrane,1,1
membrane_0_2,2,"[0, 2]",MEMBRANE,M39x_external_reference_wave_1,membrane,1,2
membrane_3_1,2,"[3, 1]",MEMBRANE,M39x_external_reference_wave_1,membrane,1,1
membrane_1_2,2,"[1, 2]",MEMBRANE,M39x_external_reference_wave_1,membrane,1,2
membrane_2_2,2,"[2, 2]",MEMBRANE,M39x_external_reference_wave_1,membrane,1,2
membrane_0_3,2,"[0, 3]",MEMBRANE,M39x_external_reference_wave_1,membrane,1,3
