node_id,c60_index,element_symbol,source_icosa_vertex,target_icosa_vertex,source_icosa_edge,degree,pentagon_membership_count,hexagon_membership_count,local_face_signature,orbit_label,incident_faces,notes
c60_001,1,C,0,1,0-1,3,1,2,P1_H2,Ih_vertex_orbit,H_01;H_05;P_00,C60 vertex generated from directed edge of base icosahedron.
c60_002,2,C,0,2,0-2,3,1,2,P1_H2,Ih_vertex_orbit,H_01;H_02;P_00,C60 vertex generated from directed edge of base icosahedron.
c60_003,3,C,0,3,0-3,3,1,2,P1_H2,Ih_vertex_orbit,H_02;H_03;P_00,C60 vertex generated from directed edge of base icosahedron.
c60_004,4,C,0,4,0-4,3,1,2,P1_H2,Ih_vertex_orbit,H_03;H_04;P_00,C60 vertex generated from directed edge of base icosahedron.
c60_005,5,C,0,5,0-5,3,1,2,P1_H2,Ih_vertex_orbit,H_04;H_05;P_00,C60 vertex generated from directed edge of base icosahedron.
c60_006,6,C,1,0,0-1,3,1,2,P1_H2,Ih_vertex_orbit,H_01;H_05;P_01,C60 vertex generated from directed edge of base icosahedron.
c60_007,7,C,1,2,1-2,3,1,2,P1_H2,Ih_vertex_orbit,H_01;H_06;P_01,C60 vertex generated from directed edge of base icosahedron.
c60_008,8,C,1,5,1-5,3,1,2,P1_H2,Ih_vertex_orbit,H_05;H_14;P_01,C60 vertex generated from directed edge of base icosahedron.
c60_009,9,C,1,6,1-6,3,1,2,P1_H2,Ih_vertex_orbit,H_06;H_15;P_01,C60 vertex generated from directed edge of base icosahedron.
c60_010,10,C,1,10,1-10,3,1,2,P1_H2,Ih_vertex_orbit,H_14;H_15;P_01,C60 vertex generated from directed edge of base icosahedron.
c60_011,11,C,2,0,0-2,3,1,2,P1_H2,Ih_vertex_orbit,H_01;H_02;P_02,C60 vertex generated from directed edge of base icosahedron.
c60_012,12,C,2,1,1-2,3,1,2,P1_H2,Ih_vertex_orbit,H_01;H_06;P_02,C60 vertex generated from directed edge of base icosahedron.
