structure_id,cell_id,source_cell_id,cell_type,node_ids,edge_ids,boundary_cell,periodic_cell,cell_role_hint,layout_x,layout_y,layout_z,coordinate_status
nanotube_zigzag_repaired,nanotube_zigzag_repaired_cell_00_00,nanotube_zigzag_repaired_cell_00_00,hexagon,nanotube_zigzag_repaired_n0001;nanotube_zigzag_repaired_n0002;nanotube_zigzag_repaired_n0003;nanotube_zigzag_repaired_n0004;nanotube_zigzag_repaired_n0005;nanotube_zigzag_repaired_n0006,nanotube_zigzag_repaired_n0001--nanotube_zigzag_repaired_n0002;nanotube_zigzag_repaired_n0002--nanotube_zigzag_repaired_n0003;nanotube_zigzag_repaired_n0003--nanotube_zigzag_repaired_n0004;nanotube_zigzag_repaired_n0004--nanotube_zigzag_repaired_n0005;nanotube_zigzag_repaired_n0005--nanotube_zigzag_repaired_n0006;nanotube_zigzag_repaired_n0001--nanotube_zigzag_repaired_n0006,1,1,zigzag_repaired_tube_hex_cell,0.20756304549410262,0.5224763988653703,4.7212824147066497e-17,inspection_layout_only
nanotube_zigzag_repaired,nanotube_zigzag_repaired_cell_00_01,nanotube_zigzag_repaired_cell_00_01,hexagon,nanotube_zigzag_repaired_n0007;nanotube_zigzag_repaired_n0008;nanotube_zigzag_repaired_n0009;nanotube_zigzag_repaired_n0002;nanotube_zigzag_repaired_n0001;nanotube_zigzag_repaired_n0010,nanotube_zigzag_repaired_n0007--nanotube_zigzag_repaired_n0008;nanotube_zigzag_repaired_n0008--nanotube_zigzag_repaired_n0009;nanotube_zigzag_repaired_n0002--nanotube_zigzag_repaired_n0009;nanotube_zigzag_repaired_n0001--nanotube_zigzag_repaired_n0002;nanotube_zigzag_repaired_n0001--nanotube_zigzag_repaired_n0010;nanotube_zigzag_repaired_n0007--nanotube_zigzag_repaired_n0010,1,0,zigzag_repaired_tube_hex_cell,0.3689894762699239,1.1356328365068633,0.8660254037844387,inspection_layout_only
nanotube_zigzag_repaired,nanotube_zigzag_repaired_cell_00_02,nanotube_zigzag_repaired_cell_00_02,hexagon,nanotube_zigzag_repaired_n0011;nanotube_zigzag_repaired_n0012;nanotube_zigzag_repaired_n0007;nanotube_zigzag_repaired_n0010;nanotube_zigzag_repaired_n0013;nanotube_zigzag_repaired_n0014,nanotube_zigzag_repaired_n0011--nanotube_zigzag_repaired_n0012;nanotube_zigzag_repaired_n0007--nanotube_zigzag_repaired_n0012;nanotube_zigzag_repaired_n0007--nanotube_zigzag_repaired_n0010;nanotube_zigzag_repaired_n0010--nanotube_zigzag_repaired_n0013;nanotube_zigzag_repaired_n0013--nanotube_zigzag_repaired_n0014;nanotube_zigzag_repaired_n0011--nanotube_zigzag_repaired_n0014,1,0,zigzag_repaired_tube_hex_cell,-0.508412419578929,1.0804313881818113,3.700743415417188e-17,inspection_layout_only
nanotube_zigzag_repaired,nanotube_zigzag_repaired_cell_00_03,nanotube_zigzag_repaired_cell_00_03,hexagon,nanotube_zigzag_repaired_n0015;nanotube_zigzag_repaired_n0016;nanotube_zigzag_repaired_n0017;nanotube_zigzag_repaired_n0012;nanotube_zigzag_repaired_n0011;nanotube_zigzag_repaired_n0018,nanotube_zigzag_repaired_n0015--nanotube_zigzag_repaired_n0016;nanotube_zigzag_repaired_n0016--nanotube_zigzag_repaired_n0017;nanotube_zigzag_repaired_n0012--nanotube_zigzag_repaired_n0017;nanotube_zigzag_repaired_n0011--nanotube_zigzag_repaired_n0012;nanotube_zigzag_repaired_n0011--nanotube_zigzag_repaired_n0018;nanotube_zigzag_repaired_n0015--nanotube_zigzag_repaired_n0018,1,0,zigzag_repaired_tube_hex_cell,-1.1102228835988253,0.43956833562494735,0.8660254037844387,inspection_layout_only
nanotube_zigzag_repaired,nanotube_zigzag_repaired_cell_00_04,nanotube_zigzag_repaired_cell_00_04,hexagon,nanotube_zigzag_repaired_n0019;nanotube_zigzag_repaired_n0020;nanotube_zigzag_repaired_n0015;nanotube_zigzag_repaired_n0018;nanotube_zigzag_repaired_n0021;nanotube_zigzag_repaired_n0022,nanotube_zigzag_repaired_n0019--nanotube_zigzag_repaired_n0020;nanotube_zigzag_repaired_n0015--nanotube_zigzag_repaired_n0020;nanotube_zigzag_repaired_n0015--nanotube_zigzag_repaired_n0018;nanotube_zigzag_repaired_n0018--nanotube_zigzag_repaired_n0021;nanotube_zigzag_repaired_n0021--nanotube_zigzag_repaired_n0022;nanotube_zigzag_repaired_n0019--nanotube_zigzag_repaired_n0022,1,0,zigzag_repaired_tube_hex_cell,-1.1102228835988255,-0.43956833562494696,3.700743415417188e-17,inspection_layout_only
nanotube_zigzag_repaired,nanotube_zigzag_repaired_cell_00_05,nanotube_zigzag_repaired_cell_00_05,hexagon,nanotube_zigzag_repaired_n0023;nanotube_zigzag_repaired_n0024;nanotube_zigzag_repaired_n0025;nanotube_zigzag_repaired_n0020;nanotube_zigzag_repaired_n0019;nanotube_zigzag_repaired_n0026,nanotube_zigzag_repaired_n0023--nanotube_zigzag_repaired_n0024;nanotube_zigzag_repaired_n0024--nanotube_zigzag_repaired_n0025;nanotube_zigzag_repaired_n0020--nanotube_zigzag_repaired_n0025;nanotube_zigzag_repaired_n0019--nanotube_zigzag_repaired_n0020;nanotube_zigzag_repaired_n0019--nanotube_zigzag_repaired_n0026;nanotube_zigzag_repaired_n0023--nanotube_zigzag_repaired_n0026,1,0,zigzag_repaired_tube_hex_cell,-0.5084124195789292,-1.0804313881818113,0.8660254037844387,inspection_layout_only
nanotube_zigzag_repaired,nanotube_zigzag_repaired_cell_00_06,nanotube_zigzag_repaired_cell_00_06,hexagon,nanotube_zigzag_repaired_n0027;nanotube_zigzag_repaired_n0028;nanotube_zigzag_repaired_n0023;nanotube_zigzag_repaired_n0026;nanotube_zigzag_repaired_n0029;nanotube_zigzag_repaired_n0030,nanotube_zigzag_repaired_n0027--nanotube_zigzag_repaired_n0028;nanotube_zigzag_repaired_n0023--nanotube_zigzag_repaired_n0028;nanotube_zigzag_repaired_n0023--nanotube_zigzag_repaired_n0026;nanotube_zigzag_repaired_n0026--nanotube_zigzag_repaired_n0029;nanotube_zigzag_repaired_n0029--nanotube_zigzag_repaired_n0030;nanotube_zigzag_repaired_n0027--nanotube_zigzag_repaired_n0030,1,0,zigzag_repaired_tube_hex_cell,0.36898947626992357,-1.1356328365068633,3.700743415417188e-17,inspection_layout_only
nanotube_zigzag_repaired,nanotube_zigzag_repaired_cell_00_07,nanotube_zigzag_repaired_cell_00_07,hexagon,nanotube_zigzag_repaired_n0003;nanotube_zigzag_repaired_n0034;nanotube_zigzag_repaired_n0031;nanotube_zigzag_repaired_n0028;nanotube_zigzag_repaired_n0027;nanotube_zigzag_repaired_n0004,nanotube_zigzag_repaired_n0003--nanotube_zigzag_repaired_n0034;nanotube_zigzag_repaired_n0031--nanotube_zigzag_repaired_n0034;nanotube_zigzag_repaired_n0028--nanotube_zigzag_repaired_n0031;nanotube_zigzag_repaired_n0027--nanotube_zigzag_repaired_n0028;nanotube_zigzag_repaired_n0004--nanotube_zigzag_repaired_n0027;nanotube_zigzag_repaired_n0003--nanotube_zigzag_repaired_n0004,1,1,zigzag_repaired_tube_hex_cell,-0.2085099634626093,-0.44310622753910045,0.8660254037844387,inspection_layout_only
nanotube_zigzag_repaired,nanotube_zigzag_repaired_cell_01_00,nanotube_zigzag_repaired_cell_01_00,hexagon,nanotube_zigzag_repaired_n0009;nanotube_zigzag_repaired_n0032;nanotube_zigzag_repaired_n0033;nanotube_zigzag_repaired_n0034;nanotube_zigzag_repaired_n0003;nanotube_zigzag_repaired_n0002,nanotube_zigzag_repaired_n0009--nanotube_zigzag_repaired_n0032;nanotube_zigzag_repaired_n0032--nanotube_zigzag_repaired_n0033;nanotube_zigzag_repaired_n0033--nanotube_zigzag_repaired_n0034;nanotube_zigzag_repaired_n0003--nanotube_zigzag_repaired_n0034;nanotube_zigzag_repaired_n0002--nanotube_zigzag_repaired_n0003;nanotube_zigzag_repaired_n0002--nanotube_zigzag_repaired_n0009,0,1,zigzag_repaired_tube_hex_cell,-0.20850996346260922,0.4431062275391005,1.7320508075688774,inspection_layout_only
nanotube_zigzag_repaired,nanotube_zigzag_repaired_cell_01_01,nanotube_zigzag_repaired_cell_01_01,hexagon,nanotube_zigzag_repaired_n0035;nanotube_zigzag_repaired_n0036;nanotube_zigzag_repaired_n0037;nanotube_zigzag_repaired_n0032;nanotube_zigzag_repaired_n0009;nanotube_zigzag_repaired_n0008,nanotube_zigzag_repaired_n0035--nanotube_zigzag_repaired_n0036;nanotube_zigzag_repaired_n0036--nanotube_zigzag_repaired_n0037;nanotube_zigzag_repaired_n0032--nanotube_zigzag_repaired_n0037;nanotube_zigzag_repaired_n0009--nanotube_zigzag_repaired_n0032;nanotube_zigzag_repaired_n0008--nanotube_zigzag_repaired_n0009;nanotube_zigzag_repaired_n0008--nanotube_zigzag_repaired_n0035,0,0,zigzag_repaired_tube_hex_cell,0.3689894762699239,1.1356328365068633,2.598076211353316,inspection_layout_only
