structure_id,cell_id,source_cell_id,cell_type,node_ids,edge_ids,boundary_cell,periodic_cell,cell_role_hint,layout_x,layout_y,layout_z,coordinate_status
graphene_patch,graphene_patch_cell_00_00,graphene_patch_cell_00_00,hexagon,graphene_patch_n0001;graphene_patch_n0002;graphene_patch_n0003;graphene_patch_n0004;graphene_patch_n0005;graphene_patch_n0006,graphene_patch_n0001--graphene_patch_n0002;graphene_patch_n0002--graphene_patch_n0003;graphene_patch_n0003--graphene_patch_n0004;graphene_patch_n0004--graphene_patch_n0005;graphene_patch_n0005--graphene_patch_n0006;graphene_patch_n0001--graphene_patch_n0006,1,0,graphene_hex_cell,0.0,0.0,0.0,inspection_layout_only
graphene_patch,graphene_patch_cell_00_01,graphene_patch_cell_00_01,hexagon,graphene_patch_n0007;graphene_patch_n0008;graphene_patch_n0001;graphene_patch_n0006;graphene_patch_n0009;graphene_patch_n0010,graphene_patch_n0007--graphene_patch_n0008;graphene_patch_n0001--graphene_patch_n0008;graphene_patch_n0001--graphene_patch_n0006;graphene_patch_n0006--graphene_patch_n0009;graphene_patch_n0009--graphene_patch_n0010;graphene_patch_n0007--graphene_patch_n0010,1,0,graphene_hex_cell,1.7320508075688772,0.0,0.0,inspection_layout_only
graphene_patch,graphene_patch_cell_00_02,graphene_patch_cell_00_02,hexagon,graphene_patch_n0011;graphene_patch_n0012;graphene_patch_n0007;graphene_patch_n0010;graphene_patch_n0013;graphene_patch_n0014,graphene_patch_n0011--graphene_patch_n0012;graphene_patch_n0007--graphene_patch_n0012;graphene_patch_n0007--graphene_patch_n0010;graphene_patch_n0010--graphene_patch_n0013;graphene_patch_n0013--graphene_patch_n0014;graphene_patch_n0011--graphene_patch_n0014,1,0,graphene_hex_cell,3.4641016151377544,0.0,0.0,inspection_layout_only
graphene_patch,graphene_patch_cell_00_03,graphene_patch_cell_00_03,hexagon,graphene_patch_n0015;graphene_patch_n0016;graphene_patch_n0011;graphene_patch_n0014;graphene_patch_n0017;graphene_patch_n0018,graphene_patch_n0015--graphene_patch_n0016;graphene_patch_n0011--graphene_patch_n0016;graphene_patch_n0011--graphene_patch_n0014;graphene_patch_n0014--graphene_patch_n0017;graphene_patch_n0017--graphene_patch_n0018;graphene_patch_n0015--graphene_patch_n0018,1,0,graphene_hex_cell,5.196152422706632,0.0,0.0,inspection_layout_only
graphene_patch,graphene_patch_cell_00_04,graphene_patch_cell_00_04,hexagon,graphene_patch_n0019;graphene_patch_n0020;graphene_patch_n0015;graphene_patch_n0018;graphene_patch_n0021;graphene_patch_n0022,graphene_patch_n0019--graphene_patch_n0020;graphene_patch_n0015--graphene_patch_n0020;graphene_patch_n0015--graphene_patch_n0018;graphene_patch_n0018--graphene_patch_n0021;graphene_patch_n0021--graphene_patch_n0022;graphene_patch_n0019--graphene_patch_n0022,1,0,graphene_hex_cell,6.928203230275509,0.0,0.0,inspection_layout_only
graphene_patch,graphene_patch_cell_01_00,graphene_patch_cell_01_00,hexagon,graphene_patch_n0023;graphene_patch_n0024;graphene_patch_n0025;graphene_patch_n0002;graphene_patch_n0001;graphene_patch_n0008,graphene_patch_n0023--graphene_patch_n0024;graphene_patch_n0024--graphene_patch_n0025;graphene_patch_n0002--graphene_patch_n0025;graphene_patch_n0001--graphene_patch_n0002;graphene_patch_n0001--graphene_patch_n0008;graphene_patch_n0008--graphene_patch_n0023,1,0,graphene_hex_cell,0.8660254037844386,1.5,0.0,inspection_layout_only
graphene_patch,graphene_patch_cell_01_01,graphene_patch_cell_01_01,hexagon,graphene_patch_n0026;graphene_patch_n0027;graphene_patch_n0023;graphene_patch_n0008;graphene_patch_n0007;graphene_patch_n0012,graphene_patch_n0026--graphene_patch_n0027;graphene_patch_n0023--graphene_patch_n0027;graphene_patch_n0008--graphene_patch_n0023;graphene_patch_n0007--graphene_patch_n0008;graphene_patch_n0007--graphene_patch_n0012;graphene_patch_n0012--graphene_patch_n0026,0,0,graphene_hex_cell,2.598076211353316,1.5,0.0,inspection_layout_only
graphene_patch,graphene_patch_cell_01_02,graphene_patch_cell_01_02,hexagon,graphene_patch_n0028;graphene_patch_n0029;graphene_patch_n0026;graphene_patch_n0012;graphene_patch_n0011;graphene_patch_n0016,graphene_patch_n0028--graphene_patch_n0029;graphene_patch_n0026--graphene_patch_n0029;graphene_patch_n0012--graphene_patch_n0026;graphene_patch_n0011--graphene_patch_n0012;graphene_patch_n0011--graphene_patch_n0016;graphene_patch_n0016--graphene_patch_n0028,0,0,graphene_hex_cell,4.330127018922193,1.5,0.0,inspection_layout_only
graphene_patch,graphene_patch_cell_01_03,graphene_patch_cell_01_03,hexagon,graphene_patch_n0030;graphene_patch_n0031;graphene_patch_n0028;graphene_patch_n0016;graphene_patch_n0015;graphene_patch_n0020,graphene_patch_n0030--graphene_patch_n0031;graphene_patch_n0028--graphene_patch_n0031;graphene_patch_n0016--graphene_patch_n0028;graphene_patch_n0015--graphene_patch_n0016;graphene_patch_n0015--graphene_patch_n0020;graphene_patch_n0020--graphene_patch_n0030,0,0,graphene_hex_cell,6.06217782649107,1.5,0.0,inspection_layout_only
graphene_patch,graphene_patch_cell_01_04,graphene_patch_cell_01_04,hexagon,graphene_patch_n0032;graphene_patch_n0033;graphene_patch_n0030;graphene_patch_n0020;graphene_patch_n0019;graphene_patch_n0034,graphene_patch_n0032--graphene_patch_n0033;graphene_patch_n0030--graphene_patch_n0033;graphene_patch_n0020--graphene_patch_n0030;graphene_patch_n0019--graphene_patch_n0020;graphene_patch_n0019--graphene_patch_n0034;graphene_patch_n0032--graphene_patch_n0034,1,0,graphene_hex_cell,7.794228634059947,1.5,0.0,inspection_layout_only
