structure_id,edge_id,source,target,source_source_id,target_source_id,edge_class,boundary_edge,periodic_edge,cell_left,cell_right,cell_count,edge_role_hint
graphene_patch,graphene_patch_n0001--graphene_patch_n0002,graphene_patch_n0001,graphene_patch_n0002,graphene_patch_n0001,graphene_patch_n0002,hex_hex_proxy,0,0,graphene_patch_cell_00_00,graphene_patch_cell_01_00,2,hex_hex_proxy
graphene_patch,graphene_patch_n0002--graphene_patch_n0003,graphene_patch_n0002,graphene_patch_n0003,graphene_patch_n0002,graphene_patch_n0003,boundary_edge,1,0,graphene_patch_cell_00_00,,1,hex_hex_proxy
graphene_patch,graphene_patch_n0003--graphene_patch_n0004,graphene_patch_n0003,graphene_patch_n0004,graphene_patch_n0003,graphene_patch_n0004,boundary_edge,1,0,graphene_patch_cell_00_00,,1,hex_hex_proxy
graphene_patch,graphene_patch_n0004--graphene_patch_n0005,graphene_patch_n0004,graphene_patch_n0005,graphene_patch_n0004,graphene_patch_n0005,boundary_edge,1,0,graphene_patch_cell_00_00,,1,hex_hex_proxy
graphene_patch,graphene_patch_n0005--graphene_patch_n0006,graphene_patch_n0005,graphene_patch_n0006,graphene_patch_n0005,graphene_patch_n0006,boundary_edge,1,0,graphene_patch_cell_00_00,,1,hex_hex_proxy
graphene_patch,graphene_patch_n0001--graphene_patch_n0006,graphene_patch_n0001,graphene_patch_n0006,graphene_patch_n0001,graphene_patch_n0006,hex_hex_proxy,0,0,graphene_patch_cell_00_00,graphene_patch_cell_00_01,2,hex_hex_proxy
graphene_patch,graphene_patch_n0007--graphene_patch_n0008,graphene_patch_n0007,graphene_patch_n0008,graphene_patch_n0007,graphene_patch_n0008,hex_hex_proxy,0,0,graphene_patch_cell_00_01,graphene_patch_cell_01_01,2,hex_hex_proxy
graphene_patch,graphene_patch_n0001--graphene_patch_n0008,graphene_patch_n0001,graphene_patch_n0008,graphene_patch_n0001,graphene_patch_n0008,hex_hex_proxy,0,0,graphene_patch_cell_00_01,graphene_patch_cell_01_00,2,hex_hex_proxy
graphene_patch,graphene_patch_n0006--graphene_patch_n0009,graphene_patch_n0006,graphene_patch_n0009,graphene_patch_n0006,graphene_patch_n0009,boundary_edge,1,0,graphene_patch_cell_00_01,,1,hex_hex_proxy
graphene_patch,graphene_patch_n0009--graphene_patch_n0010,graphene_patch_n0009,graphene_patch_n0010,graphene_patch_n0009,graphene_patch_n0010,boundary_edge,1,0,graphene_patch_cell_00_01,,1,hex_hex_proxy
graphene_patch,graphene_patch_n0007--graphene_patch_n0010,graphene_patch_n0007,graphene_patch_n0010,graphene_patch_n0007,graphene_patch_n0010,hex_hex_proxy,0,0,graphene_patch_cell_00_01,graphene_patch_cell_00_02,2,hex_hex_proxy
graphene_patch,graphene_patch_n0011--graphene_patch_n0012,graphene_patch_n0011,graphene_patch_n0012,graphene_patch_n0011,graphene_patch_n0012,hex_hex_proxy,0,0,graphene_patch_cell_00_02,graphene_patch_cell_01_02,2,hex_hex_proxy
graphene_patch,graphene_patch_n0007--graphene_patch_n0012,graphene_patch_n0007,graphene_patch_n0012,graphene_patch_n0007,graphene_patch_n0012,hex_hex_proxy,0,0,graphene_patch_cell_00_02,graphene_patch_cell_01_01,2,hex_hex_proxy
graphene_patch,graphene_patch_n0010--graphene_patch_n0013,graphene_patch_n0010,graphene_patch_n0013,graphene_patch_n0010,graphene_patch_n0013,boundary_edge,1,0,graphene_patch_cell_00_02,,1,hex_hex_proxy
graphene_patch,graphene_patch_n0013--graphene_patch_n0014,graphene_patch_n0013,graphene_patch_n0014,graphene_patch_n0013,graphene_patch_n0014,boundary_edge,1,0,graphene_patch_cell_00_02,,1,hex_hex_proxy
graphene_patch,graphene_patch_n0011--graphene_patch_n0014,graphene_patch_n0011,graphene_patch_n0014,graphene_patch_n0011,graphene_patch_n0014,hex_hex_proxy,0,0,graphene_patch_cell_00_02,graphene_patch_cell_00_03,2,hex_hex_proxy
graphene_patch,graphene_patch_n0015--graphene_patch_n0016,graphene_patch_n0015,graphene_patch_n0016,graphene_patch_n0015,graphene_patch_n0016,hex_hex_proxy,0,0,graphene_patch_cell_00_03,graphene_patch_cell_01_03,2,hex_hex_proxy
graphene_patch,graphene_patch_n0011--graphene_patch_n0016,graphene_patch_n0011,graphene_patch_n0016,graphene_patch_n0011,graphene_patch_n0016,hex_hex_proxy,0,0,graphene_patch_cell_00_03,graphene_patch_cell_01_02,2,hex_hex_proxy
