structure_id,cell_id,source_cell_id,cell_type,node_ids,edge_ids,boundary_cell,periodic_cell,cell_role_hint,layout_x,layout_y,layout_z,coordinate_status
nanotube_zigzag,nanotube_zigzag_cell_00_00,nanotube_zigzag_cell_00_00,hexagon,nanotube_zigzag_n0001;nanotube_zigzag_n0002;nanotube_zigzag_n0003;nanotube_zigzag_n0004;nanotube_zigzag_n0005;nanotube_zigzag_n0006,nanotube_zigzag_n0001--nanotube_zigzag_n0002;nanotube_zigzag_n0002--nanotube_zigzag_n0003;nanotube_zigzag_n0003--nanotube_zigzag_n0004;nanotube_zigzag_n0004--nanotube_zigzag_n0005;nanotube_zigzag_n0005--nanotube_zigzag_n0006;nanotube_zigzag_n0001--nanotube_zigzag_n0006,1,1,zigzag_nanotube_hex_cell,1.1140846016432675,0.0,0.0,inspection_layout_only
nanotube_zigzag,nanotube_zigzag_cell_00_01,nanotube_zigzag_cell_00_01,hexagon,nanotube_zigzag_n0007;nanotube_zigzag_n0008;nanotube_zigzag_n0001;nanotube_zigzag_n0006;nanotube_zigzag_n0009;nanotube_zigzag_n0010,nanotube_zigzag_n0007--nanotube_zigzag_n0008;nanotube_zigzag_n0001--nanotube_zigzag_n0008;nanotube_zigzag_n0001--nanotube_zigzag_n0006;nanotube_zigzag_n0006--nanotube_zigzag_n0009;nanotube_zigzag_n0009--nanotube_zigzag_n0010;nanotube_zigzag_n0007--nanotube_zigzag_n0010,1,0,zigzag_nanotube_hex_cell,0.694620387532427,0.8710264156975602,0.0,inspection_layout_only
nanotube_zigzag,nanotube_zigzag_cell_00_02,nanotube_zigzag_cell_00_02,hexagon,nanotube_zigzag_n0011;nanotube_zigzag_n0012;nanotube_zigzag_n0007;nanotube_zigzag_n0010;nanotube_zigzag_n0013;nanotube_zigzag_n0014,nanotube_zigzag_n0011--nanotube_zigzag_n0012;nanotube_zigzag_n0007--nanotube_zigzag_n0012;nanotube_zigzag_n0007--nanotube_zigzag_n0010;nanotube_zigzag_n0010--nanotube_zigzag_n0013;nanotube_zigzag_n0013--nanotube_zigzag_n0014;nanotube_zigzag_n0011--nanotube_zigzag_n0014,1,0,zigzag_nanotube_hex_cell,-0.2479071460640083,1.0861521746739895,0.0,inspection_layout_only
nanotube_zigzag,nanotube_zigzag_cell_00_03,nanotube_zigzag_cell_00_03,hexagon,nanotube_zigzag_n0015;nanotube_zigzag_n0016;nanotube_zigzag_n0011;nanotube_zigzag_n0014;nanotube_zigzag_n0017;nanotube_zigzag_n0018,nanotube_zigzag_n0015--nanotube_zigzag_n0016;nanotube_zigzag_n0011--nanotube_zigzag_n0016;nanotube_zigzag_n0011--nanotube_zigzag_n0014;nanotube_zigzag_n0014--nanotube_zigzag_n0017;nanotube_zigzag_n0017--nanotube_zigzag_n0018;nanotube_zigzag_n0015--nanotube_zigzag_n0018,1,0,zigzag_nanotube_hex_cell,-1.0037555422900521,0.48338319265427626,0.0,inspection_layout_only
nanotube_zigzag,nanotube_zigzag_cell_00_04,nanotube_zigzag_cell_00_04,hexagon,nanotube_zigzag_n0019;nanotube_zigzag_n0020;nanotube_zigzag_n0015;nanotube_zigzag_n0018;nanotube_zigzag_n0021;nanotube_zigzag_n0022,nanotube_zigzag_n0019--nanotube_zigzag_n0020;nanotube_zigzag_n0015--nanotube_zigzag_n0020;nanotube_zigzag_n0015--nanotube_zigzag_n0018;nanotube_zigzag_n0018--nanotube_zigzag_n0021;nanotube_zigzag_n0021--nanotube_zigzag_n0022;nanotube_zigzag_n0019--nanotube_zigzag_n0022,1,0,zigzag_nanotube_hex_cell,-1.0037555422900524,-0.48338319265427604,0.0,inspection_layout_only
nanotube_zigzag,nanotube_zigzag_cell_00_05,nanotube_zigzag_cell_00_05,hexagon,nanotube_zigzag_n0023;nanotube_zigzag_n0024;nanotube_zigzag_n0019;nanotube_zigzag_n0022;nanotube_zigzag_n0025;nanotube_zigzag_n0026,nanotube_zigzag_n0023--nanotube_zigzag_n0024;nanotube_zigzag_n0019--nanotube_zigzag_n0024;nanotube_zigzag_n0019--nanotube_zigzag_n0022;nanotube_zigzag_n0022--nanotube_zigzag_n0025;nanotube_zigzag_n0025--nanotube_zigzag_n0026;nanotube_zigzag_n0023--nanotube_zigzag_n0026,1,0,zigzag_nanotube_hex_cell,-0.24790714606400857,-1.0861521746739895,0.0,inspection_layout_only
nanotube_zigzag,nanotube_zigzag_cell_00_06,nanotube_zigzag_cell_00_06,hexagon,nanotube_zigzag_n0003;nanotube_zigzag_n0027;nanotube_zigzag_n0023;nanotube_zigzag_n0026;nanotube_zigzag_n0028;nanotube_zigzag_n0004,nanotube_zigzag_n0003--nanotube_zigzag_n0027;nanotube_zigzag_n0023--nanotube_zigzag_n0027;nanotube_zigzag_n0023--nanotube_zigzag_n0026;nanotube_zigzag_n0026--nanotube_zigzag_n0028;nanotube_zigzag_n0004--nanotube_zigzag_n0028;nanotube_zigzag_n0003--nanotube_zigzag_n0004,1,1,zigzag_nanotube_hex_cell,0.6946203875324267,-0.8710264156975603,0.0,inspection_layout_only
nanotube_zigzag,nanotube_zigzag_cell_01_00,nanotube_zigzag_cell_01_00,hexagon,nanotube_zigzag_n0029;nanotube_zigzag_n0030;nanotube_zigzag_n0031;nanotube_zigzag_n0032;nanotube_zigzag_n0033;nanotube_zigzag_n0034,nanotube_zigzag_n0029--nanotube_zigzag_n0030;nanotube_zigzag_n0030--nanotube_zigzag_n0031;nanotube_zigzag_n0031--nanotube_zigzag_n0032;nanotube_zigzag_n0032--nanotube_zigzag_n0033;nanotube_zigzag_n0033--nanotube_zigzag_n0034;nanotube_zigzag_n0029--nanotube_zigzag_n0034,0,1,zigzag_nanotube_hex_cell,1.1140846016432675,0.0,1.5,inspection_layout_only
nanotube_zigzag,nanotube_zigzag_cell_01_01,nanotube_zigzag_cell_01_01,hexagon,nanotube_zigzag_n0035;nanotube_zigzag_n0036;nanotube_zigzag_n0029;nanotube_zigzag_n0034;nanotube_zigzag_n0037;nanotube_zigzag_n0038,nanotube_zigzag_n0035--nanotube_zigzag_n0036;nanotube_zigzag_n0029--nanotube_zigzag_n0036;nanotube_zigzag_n0029--nanotube_zigzag_n0034;nanotube_zigzag_n0034--nanotube_zigzag_n0037;nanotube_zigzag_n0037--nanotube_zigzag_n0038;nanotube_zigzag_n0035--nanotube_zigzag_n0038,0,0,zigzag_nanotube_hex_cell,0.694620387532427,0.8710264156975602,1.5,inspection_layout_only
nanotube_zigzag,nanotube_zigzag_cell_01_02,nanotube_zigzag_cell_01_02,hexagon,nanotube_zigzag_n0039;nanotube_zigzag_n0040;nanotube_zigzag_n0035;nanotube_zigzag_n0038;nanotube_zigzag_n0041;nanotube_zigzag_n0042,nanotube_zigzag_n0039--nanotube_zigzag_n0040;nanotube_zigzag_n0035--nanotube_zigzag_n0040;nanotube_zigzag_n0035--nanotube_zigzag_n0038;nanotube_zigzag_n0038--nanotube_zigzag_n0041;nanotube_zigzag_n0041--nanotube_zigzag_n0042;nanotube_zigzag_n0039--nanotube_zigzag_n0042,0,0,zigzag_nanotube_hex_cell,-0.2479071460640083,1.0861521746739895,1.5,inspection_layout_only
