structure_id,edge_id,source,target,source_source_id,target_source_id,edge_class,boundary_edge,periodic_edge,cell_left,cell_right,cell_count,edge_role_hint
nanotube_zigzag,nanotube_zigzag_n0001--nanotube_zigzag_n0002,nanotube_zigzag_n0001,nanotube_zigzag_n0002,nanotube_zigzag_n0001,nanotube_zigzag_n0002,tube_end_boundary_edge,1,1,nanotube_zigzag_cell_00_00,,1,tube_hex_hex_proxy
nanotube_zigzag,nanotube_zigzag_n0002--nanotube_zigzag_n0003,nanotube_zigzag_n0002,nanotube_zigzag_n0003,nanotube_zigzag_n0002,nanotube_zigzag_n0003,tube_end_boundary_edge,1,1,nanotube_zigzag_cell_00_00,,1,tube_hex_hex_proxy
nanotube_zigzag,nanotube_zigzag_n0003--nanotube_zigzag_n0004,nanotube_zigzag_n0003,nanotube_zigzag_n0004,nanotube_zigzag_n0003,nanotube_zigzag_n0004,circumferential_periodic_join,0,1,nanotube_zigzag_cell_00_00,nanotube_zigzag_cell_00_06,2,tube_hex_hex_proxy
nanotube_zigzag,nanotube_zigzag_n0004--nanotube_zigzag_n0005,nanotube_zigzag_n0004,nanotube_zigzag_n0005,nanotube_zigzag_n0004,nanotube_zigzag_n0005,tube_end_boundary_edge,1,1,nanotube_zigzag_cell_00_00,,1,tube_hex_hex_proxy
nanotube_zigzag,nanotube_zigzag_n0005--nanotube_zigzag_n0006,nanotube_zigzag_n0005,nanotube_zigzag_n0006,nanotube_zigzag_n0005,nanotube_zigzag_n0006,tube_end_boundary_edge,1,1,nanotube_zigzag_cell_00_00,,1,tube_hex_hex_proxy
nanotube_zigzag,nanotube_zigzag_n0001--nanotube_zigzag_n0006,nanotube_zigzag_n0001,nanotube_zigzag_n0006,nanotube_zigzag_n0001,nanotube_zigzag_n0006,circumferential_periodic_join,0,1,nanotube_zigzag_cell_00_00,nanotube_zigzag_cell_00_01,2,tube_hex_hex_proxy
nanotube_zigzag,nanotube_zigzag_n0007--nanotube_zigzag_n0008,nanotube_zigzag_n0007,nanotube_zigzag_n0008,nanotube_zigzag_n0007,nanotube_zigzag_n0008,tube_end_boundary_edge,1,0,nanotube_zigzag_cell_00_01,,1,tube_hex_hex_proxy
nanotube_zigzag,nanotube_zigzag_n0001--nanotube_zigzag_n0008,nanotube_zigzag_n0001,nanotube_zigzag_n0008,nanotube_zigzag_n0001,nanotube_zigzag_n0008,tube_end_boundary_edge,1,0,nanotube_zigzag_cell_00_01,,1,tube_hex_hex_proxy
nanotube_zigzag,nanotube_zigzag_n0006--nanotube_zigzag_n0009,nanotube_zigzag_n0006,nanotube_zigzag_n0009,nanotube_zigzag_n0006,nanotube_zigzag_n0009,tube_end_boundary_edge,1,0,nanotube_zigzag_cell_00_01,,1,tube_hex_hex_proxy
nanotube_zigzag,nanotube_zigzag_n0009--nanotube_zigzag_n0010,nanotube_zigzag_n0009,nanotube_zigzag_n0010,nanotube_zigzag_n0009,nanotube_zigzag_n0010,tube_end_boundary_edge,1,0,nanotube_zigzag_cell_00_01,,1,tube_hex_hex_proxy
nanotube_zigzag,nanotube_zigzag_n0007--nanotube_zigzag_n0010,nanotube_zigzag_n0007,nanotube_zigzag_n0010,nanotube_zigzag_n0007,nanotube_zigzag_n0010,tube_hex_hex_proxy,0,0,nanotube_zigzag_cell_00_01,nanotube_zigzag_cell_00_02,2,tube_hex_hex_proxy
