node_id,shell_index,node_label,node_family,origin_tag,comment,feature_shape_factor,feature_spectral_index
ring_abs_p_1,0,external_control_ring: p=1.0,RING,M39x_external_reference_wave_1,ER1_RING; ring symmetry removed; p_representative=1.0; E_quad=p^2/2; shape neutralized to 1.0,1,1
ring_abs_p_2,0,external_control_ring: p=2.0,RING,M39x_external_reference_wave_1,ER1_RING; ring symmetry removed; p_representative=2.0; E_quad=p^2/2; shape neutralized to 1.0,1,2
ring_abs_p_3,0,external_control_ring: p=3.0,RING,M39x_external_reference_wave_1,ER1_RING; ring symmetry removed; p_representative=3.0; E_quad=p^2/2; shape neutralized to 1.0,1,3
cavity_1_1_1,1,"external_main_test_cavity: mode=(1,1,1)",CAVITY,M39x_external_reference_wave_1,"ER2_CAVITY; mode=(1,1,1); k from rectangular cavity geometry",2,1
cavity_1_1_2,1,"external_main_test_cavity: mode=(1,1,2)",CAVITY,M39x_external_reference_wave_1,"ER2_CAVITY; mode=(1,1,2); k from rectangular cavity geometry",2,2
cavity_1_2_1,1,"external_main_test_cavity: mode=(1,2,1)",CAVITY,M39x_external_reference_wave_1,"ER2_CAVITY; mode=(1,2,1); k from rectangular cavity geometry",2,3
cavity_2_1_1,1,"external_main_test_cavity: mode=(2,1,1)",CAVITY,M39x_external_reference_wave_1,"ER2_CAVITY; mode=(2,1,1); k from rectangular cavity geometry",2,5
cavity_2_2_1,1,"external_main_test_cavity: mode=(2,2,1)",CAVITY,M39x_external_reference_wave_1,"ER2_CAVITY; mode=(2,2,1); k from rectangular cavity geometry",2,7
cavity_2_1_2,1,"external_main_test_cavity: mode=(2,1,2)",CAVITY,M39x_external_reference_wave_1,"ER2_CAVITY; mode=(2,1,2); k from rectangular cavity geometry",2,6
cavity_1_2_2,1,"external_main_test_cavity: mode=(1,2,2)",CAVITY,M39x_external_reference_wave_1,"ER2_CAVITY; mode=(1,2,2); k from rectangular cavity geometry",2,4
cavity_2_2_2,1,"external_main_test_cavity: mode=(2,2,2)",CAVITY,M39x_external_reference_wave_1,"ER2_CAVITY; mode=(2,2,2); k from rectangular cavity geometry",2,8
membrane_0_1,2,"external_hard_bias_test_membrane: mode=(0,1)",MEMBRANE,M39x_external_reference_wave_1,"ER3_MEMBRANE; mode=(0,1); k from hard-coded Bessel zero / radius",1,1
membrane_1_1,2,"external_hard_bias_test_membrane: mode=(1,1)",MEMBRANE,M39x_external_reference_wave_1,"ER3_MEMBRANE; mode=(1,1); k from hard-coded Bessel zero / radius",1,2
membrane_2_1,2,"external_hard_bias_test_membrane: mode=(2,1)",MEMBRANE,M39x_external_reference_wave_1,"ER3_MEMBRANE; mode=(2,1); k from hard-coded Bessel zero / radius",1,3
membrane_0_2,2,"external_hard_bias_test_membrane: mode=(0,2)",MEMBRANE,M39x_external_reference_wave_1,"ER3_MEMBRANE; mode=(0,2); k from hard-coded Bessel zero / radius",1,4
membrane_3_1,2,"external_hard_bias_test_membrane: mode=(3,1)",MEMBRANE,M39x_external_reference_wave_1,"ER3_MEMBRANE; mode=(3,1); k from hard-coded Bessel zero / radius",1,5
membrane_1_2,2,"external_hard_bias_test_membrane: mode=(1,2)",MEMBRANE,M39x_external_reference_wave_1,"ER3_MEMBRANE; mode=(1,2); k from hard-coded Bessel zero / radius",1,6
membrane_2_2,2,"external_hard_bias_test_membrane: mode=(2,2)",MEMBRANE,M39x_external_reference_wave_1,"ER3_MEMBRANE; mode=(2,2); k from hard-coded Bessel zero / radius",1,7
membrane_0_3,2,"external_hard_bias_test_membrane: mode=(0,3)",MEMBRANE,M39x_external_reference_wave_1,"ER3_MEMBRANE; mode=(0,3); k from hard-coded Bessel zero / radius",1,8
