candidate_id,raw_index,candidate_nodes,near_distance,exact_match,uncolored_isomorphic_to_reference,face_type_preserving_isomorphic_to_reference,mapping_count,role_transport_allowed,role_transport_allowed_under_g5c,node_set_agreement,edge_set_agreement,classification_primary,candidate_gate_status,candidate_gate_basis,claim_boundary,source_files,notes
"candidate_000","2338804","H_01;H_02;H_03;H_04;H_05;H_06;H_08;H_09;H_10;H_12;H_14;H_15;P_00;P_01;P_02;P_03;P_04","2","False","False","False","0","False","False","True","True","near_decoy_distance_2","near_screen_only","near_distance present; exact_match false; typed isomorphism false; role transport false","near_distance is a screening marker only; C60 is a testbed, not the target.","runs/BMS-FU02g5e1/near_match_localization/near_match_candidates.csv;runs/BMS-FU02g5e2/near_match_decoy_classification/candidate_classification.csv;runs/BMS-FU02g5g2/narrow_per_index_replay_photo_certification/per_index_photo_certification.csv","G5G2 node/edge agreement does not open transport gate."
"candidate_001","2338805","H_01;H_02;H_03;H_04;H_05;H_06;H_08;H_09;H_10;H_12;H_14;H_15;P_00;P_01;P_02;P_03;P_05","2","False","False","False","0","False","False","True","True","near_decoy_distance_2","near_screen_only","near_distance present; exact_match false; typed isomorphism false; role transport false","near_distance is a screening marker only; C60 is a testbed, not the target.","runs/BMS-FU02g5e1/near_match_localization/near_match_candidates.csv;runs/BMS-FU02g5e2/near_match_decoy_classification/candidate_classification.csv;runs/BMS-FU02g5g2/narrow_per_index_replay_photo_certification/per_index_photo_certification.csv","G5G2 node/edge agreement does not open transport gate."
"candidate_002","2839553","H_01;H_02;H_03;H_04;H_05;H_06;H_08;H_10;H_11;H_12;H_14;H_15;P_00;P_01;P_02;P_03;P_04","2","False","False","False","0","False","False","True","True","near_decoy_distance_2","near_screen_only","near_distance present; exact_match false; typed isomorphism false; role transport false","near_distance is a screening marker only; C60 is a testbed, not the target.","runs/BMS-FU02g5e1/near_match_localization/near_match_candidates.csv;runs/BMS-FU02g5e2/near_match_decoy_classification/candidate_classification.csv;runs/BMS-FU02g5g2/narrow_per_index_replay_photo_certification/per_index_photo_certification.csv","G5G2 node/edge agreement does not open transport gate."
"candidate_003","18575893","H_01;H_02;H_03;H_04;H_07;H_08;H_09;H_10;H_11;H_12;H_16;H_17;P_00;P_02;P_03;P_04;P_07","2","False","False","False","0","False","False","True","True","near_decoy_distance_2","near_screen_only","near_distance present; exact_match false; typed isomorphism false; role transport false","near_distance is a screening marker only; C60 is a testbed, not the target.","runs/BMS-FU02g5e1/near_match_localization/near_match_candidates.csv;runs/BMS-FU02g5e2/near_match_decoy_classification/candidate_classification.csv;runs/BMS-FU02g5g2/narrow_per_index_replay_photo_certification/per_index_photo_certification.csv","G5G2 node/edge agreement does not open transport gate."
"candidate_004","26157529","H_01;H_02;H_03;H_05;H_06;H_07;H_08;H_09;H_10;H_14;H_15;H_16;P_00;P_01;P_02;P_03;P_06","2","False","False","False","0","False","False","True","True","near_decoy_distance_2","near_screen_only","near_distance present; exact_match false; typed isomorphism false; role transport false","near_distance is a screening marker only; C60 is a testbed, not the target.","runs/BMS-FU02g5e1/near_match_localization/near_match_candidates.csv;runs/BMS-FU02g5e2/near_match_decoy_classification/candidate_classification.csv;runs/BMS-FU02g5g2/narrow_per_index_replay_photo_certification/per_index_photo_certification.csv","G5G2 node/edge agreement does not open transport gate."
"candidate_005","26157530","H_01;H_02;H_03;H_05;H_06;H_07;H_08;H_09;H_10;H_14;H_15;H_16;P_00;P_01;P_02;P_03;P_07","0","False","False","False","0","False","False","True","True","coarse_signature_twin_but_not_exact","coarse_signature_degeneracy_stress_case","classification_primary marks coarse_signature_twin_but_not_exact; near_distance=0 but exact/isomorphism/transport false","near_distance=0 is not identity, isomorphism, exactness, or role transport.","runs/BMS-FU02g5e1/near_match_localization/near_match_candidates.csv;runs/BMS-FU02g5e2/near_match_decoy_classification/candidate_classification.csv;runs/BMS-FU02g5g/fu02g4c_raw_order_replay_certification/candidate_replay_certification.csv;runs/BMS-FU02g5g2/narrow_per_index_replay_photo_certification/per_index_photo_certification.csv","Stress case preserved despite G5G2 node/edge agreement."
"candidate_006","26161006","H_01;H_02;H_03;H_05;H_06;H_07;H_08;H_09;H_10;H_14;H_15;H_17;P_00;P_01;P_02;P_03;P_07","1","False","False","False","0","False","False","True","True","local_near_decoy_distance_1","near_screen_only","near_distance present; exact_match false; typed isomorphism false; role transport false","near_distance is a screening marker only; C60 is a testbed, not the target.","runs/BMS-FU02g5e1/near_match_localization/near_match_candidates.csv;runs/BMS-FU02g5e2/near_match_decoy_classification/candidate_classification.csv;runs/BMS-FU02g5g2/narrow_per_index_replay_photo_certification/per_index_photo_certification.csv","G5G2 node/edge agreement does not open transport gate."
"candidate_007","26167866","H_01;H_02;H_03;H_05;H_06;H_07;H_08;H_09;H_10;H_14;H_16;H_17;P_00;P_01;P_02;P_03;P_07","1","False","False","False","0","False","False","True","True","local_near_decoy_distance_1","near_screen_only","near_distance present; exact_match false; typed isomorphism false; role transport false","near_distance is a screening marker only; C60 is a testbed, not the target.","runs/BMS-FU02g5e1/near_match_localization/near_match_candidates.csv;runs/BMS-FU02g5e2/near_match_decoy_classification/candidate_classification.csv;runs/BMS-FU02g5g2/narrow_per_index_replay_photo_certification/per_index_photo_certification.csv","G5G2 node/edge agreement does not open transport gate."
"candidate_008","26187175","H_01;H_02;H_03;H_05;H_06;H_07;H_08;H_09;H_10;H_15;H_16;H_17;P_00;P_01;P_02;P_03;P_07","0","True","True","True","1","True","True","True","True","known_exact_spiegelklunker","exact_positive_control","exact_match true; typed isomorphism true; mapping_count=1; role transport allowed true","Exact positive control status is local to the C60 candidate gate and is not a global QSB proof.","runs/BMS-FU02g5e1/near_match_localization/near_match_candidates.csv;runs/BMS-FU02g5e2/near_match_decoy_classification/candidate_classification.csv;runs/BMS-FU02g5g/fu02g4c_raw_order_replay_certification/candidate_replay_certification.csv;runs/BMS-FU02g5g2/narrow_per_index_replay_photo_certification/per_index_photo_certification.csv","This row also satisfies role_transport_gate_open, but exact_positive_control is the more specific status."
"candidate_009","26187327","H_01;H_02;H_03;H_05;H_06;H_07;H_08;H_09;H_10;H_15;H_16;H_17;P_00;P_02;P_03;P_06;P_07","2","False","False","False","0","False","False","True","True","near_decoy_distance_2","near_screen_only","near_distance present; exact_match false; typed isomorphism false; role transport false","near_distance is a screening marker only; C60 is a testbed, not the target.","runs/BMS-FU02g5e1/near_match_localization/near_match_candidates.csv;runs/BMS-FU02g5e2/near_match_decoy_classification/candidate_classification.csv;runs/BMS-FU02g5g2/narrow_per_index_replay_photo_certification/per_index_photo_certification.csv","G5G2 node/edge agreement does not open transport gate."
