binding_id,source_block,source_path,artifact_type,variant_id,variant_family,threshold_or_control_setting,arm_or_comparison,primary_marker,secondary_markers,bound_source_field,bound_status_or_value,supports_readout,limits_readout,claim_boundary,open_gap,next_action,notes
"B03A_001","BMC12","runs/BMC-12/feature_leaveoneout_open/bmc12_feature_leaveoneout_summary.csv","csv_summary","baseline_all_features","baseline","tau=0.3","fixed_tau_baseline","density","edge_count;component_count;provisional_dominance_reading","case_id;edge_count;density;component_count;provisional_dominance_reading","baseline_all_features has edge_count=82 density=0.354978354978355 component_count=1 reading=baseline_reference","supports feature/backbone sensitivity as initial fixed-tau graph sensitivity context","limited by later reconciliation: BMC12 initial run used earlier feature source and is debugging history rather than final feature-dominance evidence","feature/backbone sensitivity is a methodical sensitivity-axis readout, not physical bridge proof","BMC12 baseline is superseded by BMC08c-compatible reconciliation in later BMC12b/c notes","Use as historical fixed-tau sensitivity context only","Source table directly exposes density and edge-count response; no physical claim."
"B03A_002","BMC12","runs/BMC-12/feature_leaveoneout_open/bmc12_feature_leaveoneout_summary.csv","csv_summary","drop_feature_shape_factor;drop_feature_spectral_index","leave_one_out","tau=0.3","fixed_tau_leave_one_out","density","edge_count;edge_retention_vs_baseline;new_edge_fraction_vs_baseline;provisional_dominance_reading","case_id;dropped_feature;edge_count;density;edge_retention_vs_baseline;new_edge_fraction_vs_baseline;provisional_dominance_reading","shape_factor and spectral_index drops have strongly_sensitive_to_drop readings in fixed-tau table","supports feature-sensitivity at fixed tau as a graph-diagnostic signal","fixed-tau leave-one-out is limited by densification and source reconciliation; not final feature hierarchy","feature/backbone sensitivity is a methodical sensitivity-axis readout, not physical bridge proof","fixed-tau densification means BMC12 rows cannot carry final per-arm backbone interpretation","Use BMC12b/c/e/f rows for bounded readout","Result-note context says provisional dominance labels are methodological diagnostics only."
"B03A_003","BMC12b","runs/BMC-12b/matched_leaveoneout_open/bmc12b_matched_leaveoneout_summary.csv","csv_summary","baseline_all_features_fixed_tau","density_matched","baseline_edge_count=81","matched_edge_count_baseline","cutoff_weight","density;edge_count;baseline_edge_overlap_fraction;jaccard_vs_baseline","case_id;matching_mode;edge_count;density;cutoff_weight","baseline_all_features_fixed_tau has edge_count=81 density=0.35064935064935066 cutoff_weight=0.3000692715798071","supports feature/backbone sensitivity by establishing graph-size-controlled comparison basis","does not yet import BMC09d backbone-arm decision logic","feature/backbone sensitivity is a methodical sensitivity-axis readout, not physical bridge proof","arm-level decision fields are not present in BMC12b summary","Bind BMC12c for backbone/off-backbone arm status","BMC12b controls fixed-threshold densification effect."
"B03A_004","BMC12b","runs/BMC-12b/matched_leaveoneout_open/bmc12b_matched_leaveoneout_summary.csv","csv_summary","matched_drop_feature_mode_frequency;matched_drop_feature_length_scale;matched_drop_feature_shape_factor;matched_drop_feature_spectral_index","density_matched","baseline_edge_count=81","matched_leave_one_out_vs_baseline","overlap_fraction","cutoff_weight;jaccard;component_count;provisional_structure_reading","case_id;dropped_feature;cutoff_weight;baseline_edge_overlap_fraction;jaccard_vs_baseline;component_count;provisional_structure_reading","mode_frequency overlap=0.8148148148148148 jaccard=0.6875 fragmentation; length_scale overlap=0.8641975308641975 jaccard=0.7608695652173914 fragmentation; shape_factor overlap=0.7777777777777778 jaccard=0.6363636363636364 high_structure_retention; spectral_index overlap=0.8765432098765432 jaccard=0.7802197802197802 high_structure_retention","supports controlled feature-source sensitivity after matching edge count","limits simple fixed-tau feature dominance language; overlap and fragmentation differ by dropped feature","feature/backbone sensitivity is a methodical sensitivity-axis readout, not physical bridge proof","BMC12b still lacks original backbone-arm decision fields","Use BMC12c variant summary for decision_label and dominant_arm binding","Concrete overlap_fraction and jaccard fields are source-bound."
"B03A_005","BMC12c","runs/BMC-12c/backbone_aware_matched_loo_open/bmc12c_decision_comparison_summary.csv","csv_decision_summary","baseline_all_features_fixed_tau","backbone_aware_matched","baseline_edge_count=81; BMC09d criteria","all_backbone_variants","backbone_localization","retained_variant_count;retained_fraction;bmc12c_decision_status","case_id;variant_count;retained_variant_count;retained_fraction;bmc12c_decision_status","baseline retained 3/3 variants; retained_fraction=1.0; bmc12c_decision_status=decision_retained","supports feature/backbone sensitivity by exactly retaining BMC09d-style backbone decision at reconciled baseline","does not prove physical bridge or global stability beyond the tested decision context","feature/backbone sensitivity is a methodical sensitivity-axis readout, not physical bridge proof","method dependence on top-k/top-alpha backbone definitions remains open","Carry as source-bound baseline decision row","Decision summary is source-bound, not result-note-only."
"B03A_006","BMC12c","runs/BMC-12c/backbone_aware_matched_loo_open/bmc12c_backbone_variant_summary_all_cases.csv","csv_variant_summary","baseline_all_features_fixed_tau::strength_topk_6;strength_topalpha_025;strength_topalpha_050","backbone_aware_matched","baseline_edge_count=81; decision arrangement_signal_min=0.05 dominance_gap_min=0.03","backbone_only_vs_full_graph_off_backbone_coupling","arrangement_signal","backbone_localization;off_backbone_localization;decision_label;dominant_arm","case_id;variant_name;decision_label;dominant_arm;full_graph_arrangement_signal;backbone_only_arrangement_signal;off_backbone_only_arrangement_signal;coupling_only_arrangement_signal","all three baseline variants have decision_label=backbone_localization_supported and dominant_arm=backbone_only","supports feature/backbone sensitivity as arm-specific graph-diagnostic baseline","does not establish physical bridge; only binds decision and arm status in existing CSV","feature/backbone sensitivity is a methodical sensitivity-axis readout, not physical bridge proof","not all possible backbone definitions are covered","Preserve variant-level fields in later summaries","Concrete arm fields are source-bound."
"B03A_007","BMC12c","runs/BMC-12c/backbone_aware_matched_loo_open/bmc12c_backbone_variant_summary_all_cases.csv","csv_variant_summary","matched_drop_feature_mode_frequency","backbone_aware_matched","baseline_edge_count=81; matched leave-one-out","topk/topalpha variants","backbone_localization","decision_label;dominant_arm;arrangement_signal fields","case_id;dropped_feature;variant_name;decision_label;dominant_arm;full_graph_arrangement_signal;backbone_only_arrangement_signal;coupling_only_arrangement_signal","mode_frequency drop: topk_6 and topalpha_025 shift to coupling_localization_supported/full_graph; topalpha_050 remains backbone_localization_supported/backbone_only","supports feature/backbone sensitivity by showing variant-dependent arm shift after feature removal","limits stable feature-role hierarchy; only 1/3 variants retain reference decision","feature/backbone sensitivity is a methodical sensitivity-axis readout, not physical bridge proof","causal feature importance is not established","Use as per-feature variant binding, not physical interpretation","Qualitative value is read from source CSV rows."
"B03A_008","BMC12c","runs/BMC-12c/backbone_aware_matched_loo_open/bmc12c_backbone_variant_summary_all_cases.csv","csv_variant_summary","matched_drop_feature_length_scale;matched_drop_feature_shape_factor;matched_drop_feature_spectral_index","backbone_aware_matched","baseline_edge_count=81; matched leave-one-out","topk/topalpha variants","backbone_localization","decision_label;dominant_arm;arrangement_signal fields","case_id;dropped_feature;variant_name;decision_label;dominant_arm;backbone_only_arrangement_signal;off_backbone_only_arrangement_signal;coupling_only_arrangement_signal","length_scale and shape_factor retain 1/3 variants; spectral_index retains 2/3 variants in BMC12c decision summary","supports local feature/backbone sensitivity at BMC09d reference edge count","limits simple feature-role hierarchy because no drop preserves full 3/3 and none fully destroys all structure at BMC12c N=81","feature/backbone sensitivity is a methodical sensitivity-axis readout, not physical bridge proof","exact per-row values for all variants are source-bound but not expanded in this compact binding row","Use source CSV for full per-variant expansion if needed","Compact binding row points to concrete CSV fields."
"B03A_009","BMC12e","runs/BMC-12e/edgecount_neighborhood_sweep_open/bmc12e_edgecount_sweep_decision_summary.csv","csv_decision_summary","baseline_all_features::N70_N75_N81","threshold_variant","edge_count_target=70,75,81","all_backbone_variants","backbone_localization","retained_variant_count;retained_fraction;bmc12e_decision_status","edge_count_target;case_id;retained_variant_count;retained_fraction;bmc12e_decision_status","baseline all-features retained 3/3 at N=70,75,81","supports feature/backbone sensitivity as sparse/local regime around the reference edge count","does not establish arbitrary graph-density stability","feature/backbone sensitivity is a methodical sensitivity-axis readout, not physical bridge proof","decision regime outside tested sparse/local range remains limited","Keep N-specific status in later readouts","BMC12e source-binds edge-count neighborhood regime."
"B03A_010","BMC12e","runs/BMC-12e/edgecount_neighborhood_sweep_open/bmc12e_edgecount_sweep_decision_summary.csv","csv_decision_summary","baseline_all_features::N87_N92","threshold_variant","edge_count_target=87,92","all_backbone_variants","backbone_localization","retained_variant_count;retained_fraction;bmc12e_decision_status","edge_count_target;case_id;retained_variant_count;retained_fraction;bmc12e_decision_status","baseline weakens at N=87 with 1/3 retained and fails at N=92 with 0/3 retained","limits feature/backbone sensitivity by showing graph-size regime dependence","limits global stability and arbitrary-density interpretation","feature/backbone sensitivity is a methodical sensitivity-axis readout, not physical bridge proof","no claim beyond tested edge-count neighborhood","Retain as explicit limiting row","This row is important for avoiding overclaiming."
"B03A_011","BMC12e","runs/BMC-12e/edgecount_neighborhood_sweep_open/bmc12e_edgecount_sweep_decision_summary.csv","csv_decision_summary","drop_feature_mode_frequency;drop_feature_length_scale;drop_feature_shape_factor;drop_feature_spectral_index","threshold_variant","edge_count_target=70,75,81,87,92","leave_one_out_by_edge_count","decision_label","retained_variant_count;retained_fraction;bmc12e_decision_status","edge_count_target;case_id;dropped_feature;retained_fraction;bmc12e_decision_status","N=81 pattern is local: drops have retained fractions 1/3,1/3,1/3,2/3; neighboring N values change substantially","supports feature/backbone sensitivity as local decision-point diagnostic","limits stable global feature-role hierarchy across edge-count neighborhood","feature/backbone sensitivity is a methodical sensitivity-axis readout, not physical bridge proof","feature roles remain edge-count-regime dependent","Use N-specific rows for any future stronger claim","Concrete N/case status fields are source-bound."
"B03A_012","BMC12e","runs/BMC-12e/edgecount_neighborhood_sweep_open/bmc12e_edgecount_sweep_variant_summary.csv","csv_variant_summary","N70_variant_rows","threshold_variant","edge_count_target=70","backbone/off_backbone/coupling arms","arrangement_signal","backbone_localization;off_backbone_localization;decision_label;dominant_arm","edge_count_target;variant_name;decision_label;dominant_arm;full_graph_arrangement_signal;backbone_only_arrangement_signal;off_backbone_only_arrangement_signal;coupling_only_arrangement_signal","N=70 variant rows expose arm-specific arrangement signals and decision labels for baseline and feature drops","supports source-bound arm-level inspection across edge count","does not by itself establish threshold robustness or physical bridge behavior","feature/backbone sensitivity is a methodical sensitivity-axis readout, not physical bridge proof","full compact table does not enumerate every N/variant row","Use CSV for complete per-variant extraction in any later expansion","Per-arm signals are directly bound fields."
