run_id,t,p_family,theta,alpha_star_chi_global,alpha_star_lambda2_global,alpha_star_wclust_global,alpha_coherent_global,coherence_score_global,alpha_star_chi_band,alpha_star_lambda2_band,alpha_star_wclust_band,alpha_coherent_band,coherence_score_band,chi_peak_value_global,lambda2_min_value_global,wclust_peak_value_global,chi_prominence_global,lambda2_prominence_global,wclust_prominence_global,delta_chi_lambda2_global,delta_chi_wclust_global,chi_peak_value_band,lambda2_min_value_band,wclust_peak_value_band,chi_prominence_band,lambda2_prominence_band,wclust_prominence_band,delta_chi_lambda2_band,delta_chi_wclust_band,preferred_scope,preferred_alpha_coherent,preferred_coherence_score,readout_in_band_flag,readout_label
M33_V0_alpha_peak_robustness,0.0,P0,1e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,0,R0
M33_V0_alpha_peak_robustness,0.0,P0,3e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,0,R0
M33_V0_alpha_peak_robustness,0.0,P0,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,0,R0
M33_V0_alpha_peak_robustness,0.0,P1,1e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,0,R0
M33_V0_alpha_peak_robustness,0.0,P1,3e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,0,R0
M33_V0_alpha_peak_robustness,0.0,P1,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,0,R0
M33_V0_alpha_peak_robustness,0.0,P2,1e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,0,R0
M33_V0_alpha_peak_robustness,0.0,P2,3e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,0,R0
M33_V0_alpha_peak_robustness,0.0,P2,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,0,R0
M33_V0_alpha_peak_robustness,0.0,P3,1e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,0,R0
M33_V0_alpha_peak_robustness,0.0,P3,3e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,0,R0
M33_V0_alpha_peak_robustness,0.0,P3,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,0,R0
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,1.0,1.0,1.1,1.0,0.06293473099348625,1.58,1.58,1.68,1.58,0.002230160290627701,0.24865193459759397,2.481399131683245e-07,0.28222572794193923,0.08259042215077267,3.9190423785155094e-08,0.021377078609159272,0.0,0.10000000000000009,0.6201038463738089,3.9936129431198e-08,0.3652250601138756,0.021197241630189545,6.847719799064435e-09,0.0241316472508733,0.0,0.09999999999999987,band,1.58,0.002230160290627701,1,R3
M33_V0_alpha_peak_robustness,2.0,P0,3e-09,1.0,1.0,1.1,1.0,0.06293473099348625,1.58,1.58,1.68,1.58,0.0023107285538403327,0.24865193459759397,2.481399131683245e-07,0.28222572794193923,0.08259042215077267,3.9190423785155094e-08,0.021377078609159272,0.0,0.10000000000000009,0.6197667195663478,3.468175461231022e-08,0.3652250601138756,0.02127780661418488,1.0126937094487086e-08,0.0241316472508733,0.0,0.09999999999999987,band,1.58,0.0023107285538403327,1,R3
M33_V0_alpha_peak_robustness,2.0,P0,1e-08,1.0,1.0,1.1,1.0,0.06305578414805649,1.58,1.58,1.58,1.58,0.03328587645055657,0.24877298083572824,2.4122347720303194e-07,0.28222572794193923,0.08271146838890694,4.6106859750447655e-08,0.021377078609159272,0.0,0.10000000000000009,0.6260457270057523,1.6167384257070157e-08,0.3472415755651652,0.014764902220759879,1.4402502996695741e-08,0.07408383930917478,0.0,0.0,band,1.58,0.03328587645055657,1,R3
M33_V0_alpha_peak_robustness,2.0,P1,1e-09,1.58,1.58,1.68,1.58,-0.014165117151321207,1.58,1.58,1.68,1.58,-0.014165117151321207,0.6184113292281868,3.763158678393997e-08,0.3001422397034766,0.008552130851121054,6.4535731800050816e-09,0.009130982175938107,0.0,0.09999999999999987,0.6184113292281868,3.763158678393997e-08,0.3001422397034766,0.008552130851121054,6.4535731800050816e-09,0.009130982175938107,0.0,0.09999999999999987,band,1.58,-0.014165117151321207,1,R1
M33_V0_alpha_peak_robustness,2.0,P1,3e-09,1.58,1.58,1.68,1.58,-0.014433056258469964,1.58,1.58,1.68,1.58,-0.014433056258469964,0.6191779452887833,3.1782222451953405e-08,0.3001422397034766,0.008284188683032045,9.514513429873353e-09,0.009130982175938107,0.0,0.09999999999999987,0.6191779452887833,3.1782222451953405e-08,0.3001422397034766,0.008284188683032045,9.514513429873353e-09,0.009130982175938107,0.0,0.09999999999999987,band,1.58,-0.014433056258469964,1,R1
M33_V0_alpha_peak_robustness,2.0,P1,1e-08,1.58,1.58,1.58,1.58,0.055642942724195094,1.58,1.58,1.58,1.58,0.055642942724195094,0.626338577251846,7.744054512336908e-09,0.4332811009080953,0.010278016824210257,1.9353925652464723e-08,0.18145962618423672,0.0,0.0,0.626338577251846,7.744054512336908e-09,0.4332811009080953,0.010278016824210257,1.9353925652464723e-08,0.18145962618423672,0.0,0.0,band,1.58,0.055642942724195094,1,R3
M33_V0_alpha_peak_robustness,2.0,P2,1e-09,2.6,2.6,2.7,2.6,0.06139956827429796,1.48,1.48,1.5,1.48,0.009321160808713114,0.6903678202570632,1.3521581585246097e-07,0.20451150219213393,0.0803389135397975,8.814974086360701e-09,0.02424258367810561,0.0,0.10000000000000009,0.557143952763421,1.1986439267480662e-07,0.22412909435058537,0.011931778772087731,3.9505581461365504e-08,0.009557370124175707,0.0,0.020000000000000018,band,1.48,0.009321160808713114,1,R3
M33_V0_alpha_peak_robustness,2.0,P2,3e-09,2.6,2.6,2.7,2.6,0.061644187894246166,1.48,1.48,1.42,1.48,-0.00023636573965496975,0.6931867009914814,1.3300726684357476e-07,0.20451150219213393,0.08315779427421566,4.719473689987506e-09,0.013945555602227405,0.0,0.10000000000000009,0.556884631066437,1.1684334182866294e-07,0.262663494879155,0.011672457075103781,4.252663230750919e-08,0.012364538634435818,0.0,0.06000000000000005,band,1.48,-0.00023636573965496975,1,R1
M33_V0_alpha_peak_robustness,2.0,P2,1e-08,2.6,2.6,2.7,2.6,0.060938682558008134,1.58,1.58,1.58,1.58,0.0337370391193341,0.6948663914330754,1.2495378738309412e-07,0.20451150219213393,0.08483748471580965,1.122919896237364e-08,0.004404746451998148,0.0,0.10000000000000009,0.6610105999552294,1.6027510028128557e-08,0.33240052768979567,0.004284733760651749,1.5342576473103458e-08,0.11780916006442352,0.0,0.0,band,1.58,0.0337370391193341,1,R3
