run_id,t,p_family,theta,scope,rank_in_scope,alpha_chi,alpha_lambda2,alpha_wclust,alpha_coherent,chi_value,lambda2_value,wclust_value,chi_prominence,lambda2_prominence,wclust_prominence,delta_chi_lambda2,delta_chi_wclust,coherence_score,is_band_candidate
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,global,1,1.0,1.0,1.1,1.0,0.24865193459759397,2.481399131683245e-07,0.28222572794193923,0.08259042215077267,3.9190423785155094e-08,0.021377078609159272,0.0,0.10000000000000009,0.06293473099348625,0
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,band,1,1.58,1.58,1.68,1.58,0.6201038463738089,3.9936129431198e-08,0.3652250601138756,0.021197241630189545,6.847719799064435e-09,0.0241316472508733,0.0,0.09999999999999987,0.002230160290627701,1
M33_V0_alpha_peak_robustness,2.0,P0,3e-09,global,1,1.0,1.0,1.1,1.0,0.24865193459759397,2.481399131683245e-07,0.28222572794193923,0.08259042215077267,3.9190423785155094e-08,0.021377078609159272,0.0,0.10000000000000009,0.06293473099348625,0
M33_V0_alpha_peak_robustness,2.0,P0,3e-09,band,1,1.58,1.58,1.68,1.58,0.6197667195663478,3.468175461231022e-08,0.3652250601138756,0.02127780661418488,1.0126937094487086e-08,0.0241316472508733,0.0,0.09999999999999987,0.0023107285538403327,1
M33_V0_alpha_peak_robustness,2.0,P0,1e-08,global,1,1.0,1.0,1.1,1.0,0.24877298083572824,2.4122347720303194e-07,0.28222572794193923,0.08271146838890694,4.6106859750447655e-08,0.021377078609159272,0.0,0.10000000000000009,0.06305578414805649,0
M33_V0_alpha_peak_robustness,2.0,P0,1e-08,band,1,1.58,1.58,1.58,1.58,0.6260457270057523,1.6167384257070157e-08,0.3472415755651652,0.014764902220759879,1.4402502996695741e-08,0.07408383930917478,0.0,0.0,0.03328587645055657,1
M33_V0_alpha_peak_robustness,2.0,P1,1e-09,band,1,1.58,1.58,1.68,1.58,0.6184113292281868,3.763158678393997e-08,0.3001422397034766,0.008552130851121054,6.4535731800050816e-09,0.009130982175938107,0.0,0.09999999999999987,-0.014165117151321207,1
M33_V0_alpha_peak_robustness,2.0,P1,1e-09,global,2,1.0,0.9,0.8,0.95,0.27064804189320124,1.623075791247588e-07,0.3864143640880437,0.01633778962633209,5.008342928178823e-08,0.13388628218372844,0.09999999999999998,0.1499999999999999,-0.03769058974430649,0
M33_V0_alpha_peak_robustness,2.0,P1,1e-09,band,2,1.58,1.7,1.68,1.6400000000000001,0.6184113292281868,1.5358965124354452e-07,0.3001422397034766,0.008552130851121054,4.761090398158665e-08,0.009130982175938107,0.11999999999999988,0.039999999999999813,-0.05916507599399033,1
M33_V0_alpha_peak_robustness,2.0,P1,1e-09,band,3,1.58,1.44,1.46,1.51,0.6184113292281868,1.4818004450363112e-07,0.3009110280321736,0.008552130851121054,5.235360421887637e-08,0.009977891781402792,0.14000000000000012,0.050000000000000044,-0.0714533438499241,1
M33_V0_alpha_peak_robustness,2.0,P1,3e-09,band,1,1.58,1.58,1.68,1.58,0.6191779452887833,3.1782222451953405e-08,0.3001422397034766,0.008284188683032045,9.514513429873353e-09,0.009130982175938107,0.0,0.09999999999999987,-0.014433056258469964,1
M33_V0_alpha_peak_robustness,2.0,P1,3e-09,global,2,1.0,0.9,0.8,0.95,0.27064804189320124,1.623075791247588e-07,0.3864143640880437,0.016335170056288706,5.008342928178823e-08,0.13388628218372844,0.09999999999999998,0.1499999999999999,-0.03769320931434987,0
M33_V0_alpha_peak_robustness,2.0,P1,3e-09,band,2,1.58,1.7,1.68,1.6400000000000001,0.6191779452887833,1.5212435337925956e-07,0.3001422397034766,0.008284188683032045,4.907620184587161e-08,0.009130982175938107,0.11999999999999988,0.039999999999999813,-0.05943301669678148,1
M33_V0_alpha_peak_robustness,2.0,P1,3e-09,band,3,1.58,1.44,1.46,1.51,0.6191779452887833,1.4818004450363112e-07,0.3009110280321736,0.008284188683032045,5.235360421887637e-08,0.009977891781402792,0.14000000000000012,0.050000000000000044,-0.07172128601801311,1
M33_V0_alpha_peak_robustness,2.0,P1,1e-08,band,1,1.58,1.58,1.58,1.58,0.626338577251846,7.744054512336908e-09,0.4332811009080953,0.010278016824210257,1.9353925652464723e-08,0.18145962618423672,0.0,0.0,0.055642942724195094,1
M33_V0_alpha_peak_robustness,2.0,P1,1e-08,global,2,1.0,0.9,0.8,0.95,0.2706366633431623,1.528831803405541e-07,0.3864143640880437,0.014102714644273928,5.418004205310713e-08,0.10907306991962679,0.09999999999999998,0.1499999999999999,-0.04612896369577729,0
M33_V0_alpha_peak_robustness,2.0,P1,1e-08,band,2,1.58,1.7,1.68,1.6400000000000001,0.626338577251846,1.4791208897963888e-07,0.3106382071007438,0.010278016824210257,4.848877514892992e-08,0.009626074360343684,0.11999999999999988,0.039999999999999813,-0.05731541609692857,1
M33_V0_alpha_peak_robustness,2.0,P1,1e-08,band,3,1.58,1.44,1.46,1.51,0.626338577251846,1.4818004450363112e-07,0.31064855485443793,0.010278016824210257,4.419924754381035e-08,0.008304009409811242,0.14000000000000012,0.050000000000000044,-0.07014593662408947,1
M33_V0_alpha_peak_robustness,2.0,P2,1e-09,global,1,2.6,2.6,2.7,2.6,0.6903678202570632,1.3521581585246097e-07,0.20451150219213393,0.0803389135397975,8.814974086360701e-09,0.02424258367810561,0.0,0.10000000000000009,0.06139956827429796,0
M33_V0_alpha_peak_robustness,2.0,P2,1e-09,band,1,1.48,1.48,1.5,1.48,0.557143952763421,1.1986439267480662e-07,0.22412909435058537,0.011931778772087731,3.9505581461365504e-08,0.009557370124175707,0.0,0.020000000000000018,0.009321160808713114,1
M33_V0_alpha_peak_robustness,2.0,P2,1e-09,band,2,1.58,1.58,1.64,1.58,0.654697651924668,4.4456013654818115e-08,0.22462882686739397,0.010539456480880838,6.965291789067498e-09,0.011996665320689992,0.0,0.05999999999999983,-0.0014613702236548325,1
M33_V0_alpha_peak_robustness,2.0,P2,1e-09,global,4,1.36,1.34,1.32,1.35,0.37215431051307224,1.2732397450392475e-07,0.2149525959889768,0.009075029755239716,2.7357080905682856e-08,0.011251265124174958,0.020000000000000018,0.030000000000000027,-0.0056121266066356534,0
M33_V0_alpha_peak_robustness,2.0,P2,1e-09,global,5,1.1,1.0,1.1,1.05,0.3421239012874756,1.3879528985179146e-07,0.16686921725674897,0.05163183856022102,1.3309500725246197e-08,0.002466130563013841,0.10000000000000009,0.050000000000000044,-0.01025161548952485,0
M33_V0_alpha_peak_robustness,2.0,P2,1e-09,global,6,1.1,1.2,1.1,1.15,0.3421239012874756,1.490117615697812e-07,0.16686921725674897,0.05163183856022102,5.976782959470249e-10,0.002466130563013841,0.09999999999999987,0.04999999999999982,-0.010251628201347111,0
M33_V0_alpha_peak_robustness,2.0,P2,1e-09,band,3,1.48,1.44,1.42,1.46,0.557143952763421,1.4050427999526255e-07,0.25037402770924816,0.011931778772087731,1.8865694140909576e-08,7.507146452895297e-05,0.040000000000000036,0.040000000000000036,-0.01804943449608592,1
M33_V0_alpha_peak_robustness,2.0,P2,1e-09,band,4,1.58,1.66,1.64,1.62,0.654697651924668,1.1865339196183319e-07,0.22462882686739397,0.010539456480880838,4.120662205612018e-08,0.011996665320689992,0.07999999999999985,0.019999999999999796,-0.03146133598232448,1
M33_V0_alpha_peak_robustness,2.0,P2,1e-09,band,5,1.36,1.44,1.42,1.4,0.37215431051307224,1.4050427999526255e-07,0.25037402770924816,0.009075029755239716,1.8865694140909576e-08,7.507146452895297e-05,0.07999999999999985,0.020000000000000018,-0.035906183512933836,1
M33_V0_alpha_peak_robustness,2.0,P2,1e-09,band,6,1.48,1.58,1.5,1.53,0.557143952763421,4.4456013654818115e-08,0.22412909435058537,0.011931778772087731,6.965291789067498e-09,0.009557370124175707,0.10000000000000009,0.030000000000000027,-0.043178871731576605,1
M33_V0_alpha_peak_robustness,2.0,P2,1e-09,band,7,1.58,1.48,1.5,1.53,0.654697651924668,1.1986439267480662e-07,0.22412909435058537,0.010539456480880838,3.9505581461365504e-08,0.009557370124175707,0.10000000000000009,0.030000000000000027,-0.04457116148249383,1
M33_V0_alpha_peak_robustness,2.0,P2,1e-09,band,8,1.58,1.7,1.64,1.6400000000000001,0.654697651924668,1.4487222937318227e-07,0.22462882686739397,0.010539456480880838,1.49877846447711e-08,0.011996665320689992,0.11999999999999988,2.220446049250313e-16,-0.04646136220116202,1
M33_V0_alpha_peak_robustness,2.0,P2,1e-09,band,9,1.36,1.48,1.42,1.42,0.37215431051307224,1.1986439267480662e-07,0.25037402770924816,0.009075029755239716,3.9505581461365504e-08,7.507146452895297e-05,0.11999999999999988,0.0,-0.05090616287304653,1
M33_V0_alpha_peak_robustness,2.0,P2,1e-09,band,10,1.58,1.44,1.5,1.51,0.654697651924668,1.4050427999526255e-07,0.22412909435058537,0.010539456480880838,1.8865694140909576e-08,0.009557370124175707,0.14000000000000012,0.010000000000000009,-0.05957118212238116,1
M33_V0_alpha_peak_robustness,2.0,P2,1e-09,band,11,1.48,1.34,1.42,1.4100000000000001,0.557143952763421,1.2732397450392475e-07,0.25037402770924816,0.011931778772087731,2.7357080905682856e-08,7.507146452895297e-05,0.1399999999999999,0.009999999999999787,-0.06054942600469902,1
M33_V0_alpha_peak_robustness,2.0,P2,3e-09,global,1,2.6,2.6,2.7,2.6,0.6931867009914814,1.3300726684357476e-07,0.20451150219213393,0.08315779427421566,4.719473689987506e-09,0.013945555602227405,0.0,0.10000000000000009,0.061644187894246166,0
M33_V0_alpha_peak_robustness,2.0,P2,3e-09,band,1,1.48,1.48,1.42,1.48,0.556884631066437,1.1684334182866294e-07,0.262663494879155,0.011672457075103781,4.252663230750919e-08,0.012364538634435818,0.0,0.06000000000000005,-0.00023636573965496975,1
M33_V0_alpha_peak_robustness,2.0,P2,3e-09,global,3,1.1,1.0,1.1,1.05,0.3419729281456636,1.3879528985179146e-07,0.17417434741141288,0.051480865418409016,1.3154649648726505e-08,0.009771260717677754,0.10000000000000009,0.050000000000000044,-0.008576306247521953,0
M33_V0_alpha_peak_robustness,2.0,P2,3e-09,global,4,1.36,1.34,1.3,1.35,0.3732730415532316,1.2350112270306276e-07,0.21584101278284762,0.009239261871027138,3.117993270654484e-08,0.0008884167938708054,0.020000000000000018,0.050000000000000044,-0.013038602750572474,0
M33_V0_alpha_peak_robustness,2.0,P2,3e-09,band,2,1.58,1.58,1.68,1.58,0.6536877742513549,3.913886194699253e-08,0.23057272472109278,0.009529578807567773,1.0250740658095472e-08,0.0028232075835297743,0.0,0.09999999999999987,-0.014764609045809092,1
M33_V0_alpha_peak_robustness,2.0,P2,3e-09,band,3,1.48,1.44,1.42,1.46,0.556884631066437,1.4050427999526255e-07,0.262663494879155,0.011672457075103781,1.8865694140909576e-08,0.012364538634435818,0.040000000000000036,0.040000000000000036,-0.01523638940059315,1
M33_V0_alpha_peak_robustness,2.0,P2,3e-09,global,7,1.36,1.3,1.3,1.33,0.3732730415532316,1.4827225277737423e-07,0.21584101278284762,0.009239261871027138,7.395087924069527e-10,0.0008884167938708054,0.06000000000000005,0.030000000000000027,-0.0280386331909964,0
M33_V0_alpha_peak_robustness,2.0,P2,3e-09,band,4,1.36,1.44,1.42,1.4,0.3732730415532316,1.4050427999526255e-07,0.262663494879155,0.009239261871027138,1.8865694140909576e-08,0.012364538634435818,0.07999999999999985,0.020000000000000018,-0.0326695846046697,1
M33_V0_alpha_peak_robustness,2.0,P2,3e-09,band,5,1.58,1.66,1.68,1.62,0.6536877742513549,1.170361391685432e-07,0.23057272472109278,0.009529578807567773,4.2823874849410165e-08,0.0028232075835297743,0.07999999999999985,0.05999999999999983,-0.044764576472674816,1
M33_V0_alpha_peak_robustness,2.0,P2,3e-09,band,6,1.36,1.48,1.42,1.42,0.3732730415532316,1.1684334182866294e-07,0.262663494879155,0.009239261871027138,4.252663230750919e-08,0.012364538634435818,0.11999999999999988,0.0,-0.047669560943731544,1
M33_V0_alpha_peak_robustness,2.0,P2,3e-09,band,7,1.48,1.34,1.42,1.4100000000000001,0.556884631066437,1.2350112270306276e-07,0.262663494879155,0.011672457075103781,3.117993270654484e-08,0.012364538634435818,0.1399999999999999,0.009999999999999787,-0.05773637708635446,1
M33_V0_alpha_peak_robustness,2.0,P2,3e-09,band,8,1.58,1.7,1.68,1.6400000000000001,0.6536877742513549,1.4487222937318227e-07,0.23057272472109278,0.009529578807567773,1.49877846447711e-08,0.0028232075835297743,0.11999999999999988,0.039999999999999813,-0.05976460430876503,1
M33_V0_alpha_peak_robustness,2.0,P2,3e-09,band,9,1.48,1.58,1.42,1.53,0.556884631066437,3.913886194699253e-08,0.262663494879155,0.011672457075103781,1.0250740658095472e-08,0.012364538634435818,0.10000000000000009,0.1100000000000001,-0.06273639801554667,1
M33_V0_alpha_peak_robustness,2.0,P2,3e-09,band,10,1.58,1.48,1.42,1.53,0.6536877742513549,1.1684334182866294e-07,0.262663494879155,0.009529578807567773,4.252663230750919e-08,0.012364538634435818,0.10000000000000009,0.1100000000000001,-0.06487924400719103,1
M33_V0_alpha_peak_robustness,2.0,P2,3e-09,band,11,1.58,1.44,1.42,1.51,0.6536877742513549,1.4050427999526255e-07,0.262663494879155,0.009529578807567773,1.8865694140909576e-08,0.012364538634435818,0.14000000000000012,0.09000000000000008,-0.07987926766812922,1
M33_V0_alpha_peak_robustness,2.0,P2,1e-08,global,1,2.6,2.6,2.7,2.6,0.6948663914330754,1.2495378738309412e-07,0.20451150219213393,0.08483748471580965,1.122919896237364e-08,0.004404746451998148,0.0,0.10000000000000009,0.060938682558008134,0
M33_V0_alpha_peak_robustness,2.0,P2,1e-08,band,1,1.58,1.58,1.58,1.58,0.6610105999552294,1.6027510028128557e-08,0.33240052768979567,0.004284733760651749,1.5342576473103458e-08,0.11780916006442352,0.0,0.0,0.0337370391193341,1
M33_V0_alpha_peak_robustness,2.0,P2,1e-08,band,2,1.48,1.48,1.48,1.48,0.5654020349190894,1.0514505426901392e-07,0.2540410876124343,0.00979642397813607,4.2771515529646256e-08,0.015339019749152721,0.0,0.0,0.01363122168693978,1
M33_V0_alpha_peak_robustness,2.0,P2,1e-08,global,4,1.1,1.0,1.1,1.05,0.34610236404093786,1.326908599784653e-07,0.18957439314366512,0.05283356419850116,8.210999195992879e-09,0.013520916928885518,0.10000000000000009,0.050000000000000044,-0.0062861983582783235,0
M33_V0_alpha_peak_robustness,2.0,P2,1e-08,global,5,1.1,1.2,1.1,1.15,0.34610236404093786,1.3988589688213148e-07,0.18957439314366512,0.05283356419850116,1.0159622923266956e-09,0.013520916928885518,0.09999999999999987,0.04999999999999982,-0.0062862055533150565,0
M33_V0_alpha_peak_robustness,2.0,P2,1e-08,global,6,1.36,1.34,1.34,1.35,0.372468828118461,1.0882261795115559e-07,0.24124233468799688,0.0041181622398101525,2.723243484490356e-08,0.006783910134780496,0.020000000000000018,0.010000000000000009,-0.00668583299405989,0
M33_V0_alpha_peak_robustness,2.0,P2,1e-08,global,7,1.36,1.38,1.4,1.37,0.372468828118461,1.5027362258915736e-07,0.27158758010924056,0.0041181622398101525,1.101965885532297e-08,0.008924085230085532,0.019999999999999796,0.029999999999999805,-0.011150805433009458,0
M33_V0_alpha_peak_robustness,2.0,P2,1e-08,band,3,1.48,1.44,1.48,1.46,0.5654020349190894,1.2770326022854239e-07,0.2540410876124343,0.00979642397813607,2.0213309570117792e-08,0.015339019749152721,0.040000000000000036,0.020000000000000018,-0.011368800871266202,1
M33_V0_alpha_peak_robustness,2.0,P2,1e-08,band,4,1.36,1.44,1.4,1.4,0.372468828118461,1.2770326022854239e-07,0.27158758010924056,0.0041181622398101525,2.0213309570117792e-08,0.008924085230085532,0.07999999999999985,0.0,-0.03365079623935882,1
M33_V0_alpha_peak_robustness,2.0,P2,1e-08,band,5,1.58,1.66,1.66,1.62,0.6610105999552294,1.0656674615024387e-07,0.2535213678953762,0.004284733760651749,3.901841836798979e-08,0.01510708852145759,0.07999999999999985,0.039999999999999813,-0.04193845509056536,1
M33_V0_alpha_peak_robustness,2.0,P2,1e-08,band,6,1.48,1.38,1.4,1.43,0.5654020349190894,1.5027362258915736e-07,0.27158758010924056,0.00979642397813607,1.101965885532297e-08,0.008924085230085532,0.10000000000000009,0.030000000000000027,-0.045472543694683745,1
M33_V0_alpha_peak_robustness,2.0,P2,1e-08,band,7,1.48,1.58,1.48,1.53,0.5654020349190894,1.6027510028128557e-08,0.2540410876124343,0.00979642397813607,1.5342576473103458e-08,0.015339019749152721,0.10000000000000009,0.050000000000000044,-0.04886880574199933,1
M33_V0_alpha_peak_robustness,2.0,P2,1e-08,band,8,1.58,1.48,1.48,1.53,0.6610105999552294,1.0514505426901392e-07,0.2540410876124343,0.004284733760651749,4.2771515529646256e-08,0.015339019749152721,0.10000000000000009,0.050000000000000044,-0.054380468530544596,1
M33_V0_alpha_peak_robustness,2.0,P2,1e-08,band,9,1.58,1.7,1.66,1.6400000000000001,0.6610105999552294,1.3876754061989928e-07,0.2535213678953762,0.004284733760651749,6.817623898334382e-09,0.01510708852145759,0.11999999999999988,0.019999999999999796,-0.05693848729135985,1
M33_V0_alpha_peak_robustness,2.0,P2,1e-08,band,10,1.36,1.48,1.4,1.42,0.372468828118461,1.0514505426901392e-07,0.27158758010924056,0.0041181622398101525,4.2771515529646256e-08,0.008924085230085532,0.11999999999999988,0.020000000000000018,-0.05865077368115288,1
M33_V0_alpha_peak_robustness,2.0,P2,1e-08,band,11,1.48,1.34,1.4,1.4100000000000001,0.5654020349190894,1.0882261795115559e-07,0.27158758010924056,0.00979642397813607,2.723243484490356e-08,0.008924085230085532,0.1399999999999999,0.010000000000000231,-0.060472527481907706,1
M33_V0_alpha_peak_robustness,2.0,P2,1e-08,band,12,1.58,1.44,1.48,1.51,0.6610105999552294,1.2770326022854239e-07,0.2540410876124343,0.004284733760651749,2.0213309570117792e-08,0.015339019749152721,0.14000000000000012,0.030000000000000027,-0.06938049108875056,1
M33_V0_alpha_peak_robustness,2.0,P3,1e-09,global,1,2.6,2.6,2.5,2.6,0.36965322070175793,1.1789565920499875e-07,0.4444917595776953,0.13962451098434878,5.284946439475715e-08,0.19774954971227987,0.0,0.10000000000000009,0.1640619512618831,0
M33_V0_alpha_peak_robustness,2.0,P3,1e-09,global,2,0.5,0.5,0.4,0.5,0.5112813877712444,1.573659459206353e-07,0.2677547646620758,0.1491595826085811,2.7969870472587484e-09,0.04815773287177,0.0,0.09999999999999998,0.13619901862351066,0
M33_V0_alpha_peak_robustness,2.0,P3,1e-09,global,3,2.2,2.1,2.2,2.1500000000000004,0.3647380269180608,9.478080056271831e-08,0.23715997960285726,0.13419197766753832,3.631621958919929e-08,0.04865445885803621,0.10000000000000009,0.04999999999999982,0.08385562869826696,0
M33_V0_alpha_peak_robustness,2.0,P3,1e-09,global,4,1.0,0.9,0.9,0.95,0.08639501781904407,1.2534197185710897e-07,0.2712599215360303,0.04130247434101714,5.8516979156836723e-08,0.031617672225437515,0.09999999999999998,0.04999999999999993,-0.013293049085644298,0
M33_V0_alpha_peak_robustness,2.0,P3,1e-09,band,1,1.54,1.5,1.52,1.52,0.2830347085484283,1.3565741024134066e-07,0.22246164851626124,0.003642769641782395,1.371122751093791e-08,0.0024218964996946535,0.040000000000000036,0.0,-0.015751742522066448,1
M33_V0_alpha_peak_robustness,2.0,P3,1e-09,global,6,1.0,1.1,1.2,1.05,0.08639501781904407,1.2503071154012463e-07,0.2987482236180122,0.04130247434101714,1.056575555834882e-08,0.08048725214081157,0.10000000000000009,0.1499999999999999,-0.02607570205802444,0
M33_V0_alpha_peak_robustness,2.0,P3,1e-09,band,2,1.54,1.6,1.52,1.57,0.2830347085484283,1.5064143529255085e-07,0.22246164851626124,0.003642769641782395,3.717933739017826e-09,0.0024218964996946535,0.06000000000000005,0.050000000000000044,-0.03825175251536024,1
M33_V0_alpha_peak_robustness,2.0,P3,1e-09,band,3,1.54,1.44,1.48,1.49,0.2830347085484283,1.493834638728048e-07,0.2956255314074932,0.003642769641782395,9.62377497632642e-09,0.018549908285444006,0.10000000000000009,0.010000000000000009,-0.04421974366308167,1
M33_V0_alpha_peak_robustness,2.0,P3,1e-09,band,4,1.54,1.68,1.64,1.6099999999999999,0.2830347085484283,1.0682918746140042e-07,0.3286460470234891,0.003642769641782395,2.124194514337037e-08,0.04752789884179964,0.1399999999999999,0.030000000000000027,-0.061975234405822505,1
M33_V0_alpha_peak_robustness,2.0,P3,3e-09,global,1,2.6,2.6,2.5,2.6,0.37464667669760277,1.1400589575090594e-07,0.4444917595776953,0.1446179669801936,5.673922784884996e-08,0.15916422736855929,0.0,0.10000000000000009,0.15940908056156125,0
M33_V0_alpha_peak_robustness,2.0,P3,3e-09,global,2,0.5,0.5,0.4,0.5,0.5120293134812633,1.573651475610423e-07,0.2677547646620758,0.1499075083186,2.7977854068517727e-09,0.03421031795347021,0.0,0.09999999999999998,0.13346009060475297,0
M33_V0_alpha_peak_robustness,2.0,P3,3e-09,global,3,2.2,2.1,2.2,2.1500000000000004,0.3647380269180608,9.322788125406638e-08,0.23715997960285726,0.1351499970410447,3.786913889785122e-08,0.033297497213133076,0.10000000000000009,0.04999999999999982,0.08097440921346688,0
M33_V0_alpha_peak_robustness,2.0,P3,3e-09,global,4,1.0,0.9,0.9,0.95,0.08543652323444824,1.2289131486650577e-07,0.30003515538400144,0.04062472164361254,6.040156730816441e-08,0.048706324323796735,0.09999999999999998,0.04999999999999993,-0.009698636873870937,0
M33_V0_alpha_peak_robustness,2.0,P3,3e-09,band,1,1.54,1.5,1.48,1.52,0.2830347085484283,1.3219639863560724e-07,0.30892889397087764,0.003642769641782395,1.6824620585839794e-08,0.009877695406096565,0.040000000000000036,0.040000000000000036,-0.023887789682072905,1
M33_V0_alpha_peak_robustness,2.0,P3,3e-09,band,2,1.54,1.6,1.64,1.57,0.2830347085484283,1.506386754910815e-07,0.3430057193358734,0.003642769641782395,3.7193082395498517e-09,0.03247421466753814,0.06000000000000005,0.06999999999999984,-0.03573867297202482,1
M33_V0_alpha_peak_robustness,2.0,P3,3e-09,global,7,1.0,1.1,1.2,1.05,0.08543652323444824,1.206008202693693e-07,0.2987482236180122,0.04062472164361254,1.4995646829104142e-08,0.03880569344249524,0.10000000000000009,0.1499999999999999,-0.037173840000116844,0
M33_V0_alpha_peak_robustness,2.0,P3,3e-09,band,3,1.54,1.44,1.48,1.49,0.2830347085484283,1.468228861518299e-07,0.30892889397087764,0.003642769641782395,1.0041244694025434e-08,0.009877695406096565,0.10000000000000009,0.010000000000000009,-0.04638779646544881,1
M33_V0_alpha_peak_robustness,2.0,P3,3e-09,band,4,1.54,1.68,1.64,1.6099999999999999,0.2830347085484283,1.0682918746140042e-07,0.3430057193358734,0.003642769641782395,1.7889613497834253e-08,0.03247421466753814,0.1399999999999999,0.030000000000000027,-0.06573865880171953,1
M33_V0_alpha_peak_robustness,2.0,P3,1e-08,global,1,2.6,2.6,2.5,2.6,0.37231793961240117,1.0417917143986541e-07,0.43909772313741413,0.1496964204834073,5.821528752867117e-08,0.1537701909282781,0.0,0.10000000000000009,0.16313902643076433,0
M33_V0_alpha_peak_robustness,2.0,P3,1e-08,global,2,0.5,0.4,0.4,0.45,0.5120293134812633,1.572845554520994e-07,0.29105584139847923,0.14187267026277067,8.059210894287778e-11,0.052187232440805836,0.09999999999999998,0.04999999999999999,0.09241947845356425,0
M33_V0_alpha_peak_robustness,2.0,P3,1e-08,global,3,2.2,2.1,2.2,2.1500000000000004,0.36391584632119167,7.309409424912425e-08,0.2769115673994883,0.13252112464928642,4.862892778284257e-08,0.05022167880344111,0.10000000000000009,0.04999999999999982,0.08257659297907446,0
M33_V0_alpha_peak_robustness,2.0,P3,1e-08,global,4,0.5,0.6,0.7,0.55,0.5120293134812633,1.54326109856074e-07,0.26496586545711415,0.14187267026277067,3.039037704968297e-09,0.012728996092908451,0.09999999999999998,0.1499999999999999,0.057554922325035535,0
M33_V0_alpha_peak_robustness,2.0,P3,1e-08,band,1,1.52,1.5,1.48,1.51,0.2869740681122843,1.2471178570773417e-07,0.31654090611411245,0.003939359563855993,1.213061056711072e-08,0.005820429792551096,0.020000000000000018,0.030000000000000027,-0.01210552085739568,1
M33_V0_alpha_peak_robustness,2.0,P3,1e-08,global,6,1.0,0.9,0.9,0.95,0.07764000206119184,1.204849766544701e-07,0.2945841664415239,0.02857590812459005,6.279601208877095e-08,0.042959054066125546,0.09999999999999998,0.04999999999999993,-0.023184265562866443,0
