run_id,t,p_family,theta,alpha_coherent_global,alpha_coherent_band,coherence_score_global,coherence_score_band,preferred_scope,preferred_alpha_coherent,stability_label
M33_V0_alpha_peak_robustness,0.0,P0,1e-09,,,,,none,,R0
M33_V0_alpha_peak_robustness,0.0,P0,3e-09,,,,,none,,R0
M33_V0_alpha_peak_robustness,0.0,P0,1e-08,,,,,none,,R0
M33_V0_alpha_peak_robustness,0.0,P1,1e-09,,,,,none,,R0
M33_V0_alpha_peak_robustness,0.0,P1,3e-09,,,,,none,,R0
M33_V0_alpha_peak_robustness,0.0,P1,1e-08,,,,,none,,R0
M33_V0_alpha_peak_robustness,0.0,P2,1e-09,,,,,none,,R0
M33_V0_alpha_peak_robustness,0.0,P2,3e-09,,,,,none,,R0
M33_V0_alpha_peak_robustness,0.0,P2,1e-08,,,,,none,,R0
M33_V0_alpha_peak_robustness,0.0,P3,1e-09,,,,,none,,R0
M33_V0_alpha_peak_robustness,0.0,P3,3e-09,,,,,none,,R0
M33_V0_alpha_peak_robustness,0.0,P3,1e-08,,,,,none,,R0
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,1.0,1.58,0.06293473099348625,0.002230160290627701,band,1.58,R3
M33_V0_alpha_peak_robustness,2.0,P0,3e-09,1.0,1.58,0.06293473099348625,0.0023107285538403327,band,1.58,R3
M33_V0_alpha_peak_robustness,2.0,P0,1e-08,1.0,1.58,0.06305578414805649,0.03328587645055657,band,1.58,R3
M33_V0_alpha_peak_robustness,2.0,P1,1e-09,1.58,1.58,-0.014165117151321207,-0.014165117151321207,band,1.58,R1
M33_V0_alpha_peak_robustness,2.0,P1,3e-09,1.58,1.58,-0.014433056258469964,-0.014433056258469964,band,1.58,R1
M33_V0_alpha_peak_robustness,2.0,P1,1e-08,1.58,1.58,0.055642942724195094,0.055642942724195094,band,1.58,R3
M33_V0_alpha_peak_robustness,2.0,P2,1e-09,2.6,1.48,0.06139956827429796,0.009321160808713114,band,1.48,R3
M33_V0_alpha_peak_robustness,2.0,P2,3e-09,2.6,1.48,0.061644187894246166,-0.00023636573965496975,band,1.48,R1
M33_V0_alpha_peak_robustness,2.0,P2,1e-08,2.6,1.58,0.060938682558008134,0.0337370391193341,band,1.58,R3
M33_V0_alpha_peak_robustness,2.0,P3,1e-09,2.6,1.52,0.1640619512618831,-0.015751742522066448,band,1.52,R1
