run_id,t,p_family,theta,preferred_scope,preferred_alpha_coherent,preferred_coherence_score,readout_label,branch_id,branch_center,branch_left,branch_right,distance_to_branch_center,in_branch_flag,source_alpha_reference,delta_source_branch,source_link_flag
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,band,1.58,0.0022301602906277,R3,B2,1.6,1.55,1.66,0.020000000000000018,1,,,0
M33_V0_alpha_peak_robustness,2.0,P0,3e-09,band,1.58,0.0023107285538403,R3,B2,1.6,1.55,1.66,0.020000000000000018,1,,,0
M33_V0_alpha_peak_robustness,2.0,P0,1e-08,band,1.58,0.0332858764505565,R3,B2,1.6,1.55,1.66,0.020000000000000018,1,,,0
M33_V0_alpha_peak_robustness,2.0,P1,1e-09,band,1.58,-0.0141651171513212,R1,B2,1.6,1.55,1.66,0.020000000000000018,1,2.9,1.3199999999999998,0
M33_V0_alpha_peak_robustness,2.0,P1,3e-09,band,1.58,-0.0144330562584699,R1,B2,1.6,1.55,1.66,0.020000000000000018,1,2.9,1.3199999999999998,0
M33_V0_alpha_peak_robustness,2.0,P1,1e-08,band,1.58,0.055642942724195,R3,B2,1.6,1.55,1.66,0.020000000000000018,1,2.9,1.3199999999999998,0
M33_V0_alpha_peak_robustness,2.0,P2,1e-09,band,1.48,0.0093211608087131,R3,,,,,,0,2.9,1.42,0
M33_V0_alpha_peak_robustness,2.0,P2,3e-09,band,1.48,-0.0002363657396549,R1,,,,,,0,2.9,1.42,0
M33_V0_alpha_peak_robustness,2.0,P2,1e-08,band,1.58,0.0337370391193341,R3,B2,1.6,1.55,1.66,0.020000000000000018,1,2.9,1.3199999999999998,0
M33_V0_alpha_peak_robustness,2.0,P3,1e-09,band,1.52,-0.0157517425220664,R1,,,,,,0,1.78,0.26,0
M33_V0_alpha_peak_robustness,2.0,P3,3e-09,band,1.52,-0.0238877896820729,R1,,,,,,0,1.78,0.26,0
M33_V0_alpha_peak_robustness,2.0,P3,1e-08,band,1.51,-0.0121055208573956,R1,,,,,,0,1.78,0.27,0
M33_V0_alpha_peak_robustness,5.0,P0,1e-09,band,1.41,-0.0726740394380842,R1,B1,1.42,1.38,1.46,0.010000000000000009,1,1.2,0.20999999999999996,0
