run_id,branch_id,p_family,theta,t_min,t_max,alpha_at_t_min,alpha_at_t_max,delta_alpha,monotonicity_flag,drift_label
M33_V0_alpha_peak_robustness,B1,P0,1e-09,5.0,20.0,1.41,1.42,0.010000000000000009,1,stable
M33_V0_alpha_peak_robustness,B1,P0,3e-09,5.0,20.0,1.41,1.42,0.010000000000000009,1,stable
M33_V0_alpha_peak_robustness,B1,P1,1e-09,5.0,20.0,1.42,1.41,-0.010000000000000009,1,stable
M33_V0_alpha_peak_robustness,B1,P1,3e-09,5.0,20.0,1.42,1.41,-0.010000000000000009,1,stable
M33_V0_alpha_peak_robustness,B1,P1,1e-08,5.0,20.0,1.42,1.41,-0.010000000000000009,1,stable
M33_V0_alpha_peak_robustness,B1,P2,1e-09,5.0,40.0,1.4,1.42,0.020000000000000018,1,stable
M33_V0_alpha_peak_robustness,B1,P2,1e-08,5.0,20.0,1.4,1.42,0.020000000000000018,1,stable
M33_V0_alpha_peak_robustness,B2,P0,1e-09,2.0,10.0,1.58,1.58,0.0,1,stable
M33_V0_alpha_peak_robustness,B2,P0,3e-09,2.0,10.0,1.58,1.58,0.0,1,stable
M33_V0_alpha_peak_robustness,B2,P0,1e-08,2.0,10.0,1.58,1.58,0.0,1,stable
M33_V0_alpha_peak_robustness,B2,P1,1e-09,2.0,10.0,1.58,1.58,0.0,1,stable
M33_V0_alpha_peak_robustness,B2,P1,3e-09,2.0,10.0,1.58,1.58,0.0,1,stable
M33_V0_alpha_peak_robustness,B2,P1,1e-08,2.0,10.0,1.58,1.58,0.0,1,stable
M33_V0_alpha_peak_robustness,B2,P2,1e-08,2.0,40.0,1.58,1.63,0.04999999999999982,1,stable
M33_V0_alpha_peak_robustness,B2,P3,1e-09,10.0,40.0,1.57,1.57,0.0,0,mixed
M33_V0_alpha_peak_robustness,B2,P3,3e-09,10.0,40.0,1.57,1.57,0.0,0,mixed
M33_V0_alpha_peak_robustness,B2,P3,1e-08,10.0,40.0,1.64,1.57,-0.06999999999999984,0,mixed
M33_V0_alpha_peak_robustness,B3,P2,1e-09,10.0,20.0,1.78,1.73,-0.050000000000000044,1,stable
M33_V0_alpha_peak_robustness,B3,P2,3e-09,10.0,20.0,1.78,1.73,-0.050000000000000044,1,stable
