run_id,t,p_family,theta,preferred_branch,preferred_alpha,source_alpha_reference,delta_source_branch,source_feature,source_label,source_link_flag
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,B2,1.58,,,I_abs,Q0,0
M33_V0_alpha_peak_robustness,2.0,P0,3e-09,B2,1.58,,,I_abs,Q0,0
M33_V0_alpha_peak_robustness,2.0,P0,1e-08,B2,1.58,,,I_abs,Q0,0
M33_V0_alpha_peak_robustness,2.0,P1,1e-09,B2,1.58,2.9,1.3199999999999998,sign_imbalance,Q0,0
M33_V0_alpha_peak_robustness,2.0,P1,3e-09,B2,1.58,2.9,1.3199999999999998,sign_imbalance,Q0,0
M33_V0_alpha_peak_robustness,2.0,P1,1e-08,B2,1.58,2.9,1.3199999999999998,sign_imbalance,Q0,0
M33_V0_alpha_peak_robustness,2.0,P2,1e-09,,1.48,2.9,1.42,sign_imbalance,Q0,0
M33_V0_alpha_peak_robustness,2.0,P2,3e-09,,1.48,2.9,1.42,sign_imbalance,Q0,0
M33_V0_alpha_peak_robustness,2.0,P2,1e-08,B2,1.58,2.9,1.3199999999999998,sign_imbalance,Q0,0
M33_V0_alpha_peak_robustness,2.0,P3,1e-09,,1.52,1.78,0.26,I_abs,Q2,0
M33_V0_alpha_peak_robustness,2.0,P3,3e-09,,1.52,1.78,0.26,I_abs,Q2,0
M33_V0_alpha_peak_robustness,2.0,P3,1e-08,,1.51,1.78,0.27,I_abs,Q2,0
M33_V0_alpha_peak_robustness,5.0,P0,1e-09,B1,1.41,1.2,0.20999999999999996,sign_imbalance,Q0,0
M33_V0_alpha_peak_robustness,5.0,P0,3e-09,B1,1.41,1.2,0.20999999999999996,sign_imbalance,Q0,0
M33_V0_alpha_peak_robustness,5.0,P0,1e-08,,2.9,1.2,1.7,sign_imbalance,Q0,0
M33_V0_alpha_peak_robustness,5.0,P1,1e-09,B1,1.42,1.2,0.21999999999999997,sign_imbalance,Q0,0
M33_V0_alpha_peak_robustness,5.0,P1,3e-09,B1,1.42,1.2,0.21999999999999997,sign_imbalance,Q0,0
M33_V0_alpha_peak_robustness,5.0,P1,1e-08,B1,1.42,1.2,0.21999999999999997,sign_imbalance,Q0,0
M33_V0_alpha_peak_robustness,5.0,P2,1e-09,B1,1.4,1.0,0.3999999999999999,sign_imbalance,Q0,0
M33_V0_alpha_peak_robustness,5.0,P2,3e-09,B1,1.4,1.0,0.3999999999999999,sign_imbalance,Q0,0
M33_V0_alpha_peak_robustness,5.0,P2,1e-08,B1,1.4,1.0,0.3999999999999999,sign_imbalance,Q0,0
M33_V0_alpha_peak_robustness,5.0,P3,1e-09,B1,1.45,1.68,0.22999999999999998,I_abs,Q2,0
M33_V0_alpha_peak_robustness,5.0,P3,3e-09,B1,1.45,1.68,0.22999999999999998,I_abs,Q2,0
M33_V0_alpha_peak_robustness,5.0,P3,1e-08,B1,1.45,1.68,0.22999999999999998,I_abs,Q2,0
M33_V0_alpha_peak_robustness,10.0,P0,1e-09,B2,1.58,0.6,0.9800000000000001,sign_imbalance,Q0,0
M33_V0_alpha_peak_robustness,10.0,P0,3e-09,B2,1.58,0.6,0.9800000000000001,sign_imbalance,Q0,0
M33_V0_alpha_peak_robustness,10.0,P0,1e-08,B2,1.58,0.6,0.9800000000000001,sign_imbalance,Q0,0
M33_V0_alpha_peak_robustness,10.0,P1,1e-09,B2,1.58,0.6,0.9800000000000001,sign_imbalance,Q0,0
M33_V0_alpha_peak_robustness,10.0,P1,3e-09,B2,1.58,0.6,0.9800000000000001,sign_imbalance,Q0,0
M33_V0_alpha_peak_robustness,10.0,P1,1e-08,B2,1.58,0.6,0.9800000000000001,sign_imbalance,Q0,0
M33_V0_alpha_peak_robustness,10.0,P2,1e-09,B3,1.78,0.5,1.28,sign_imbalance,Q0,0
M33_V0_alpha_peak_robustness,10.0,P2,3e-09,B3,1.78,0.5,1.28,sign_imbalance,Q0,0
M33_V0_alpha_peak_robustness,10.0,P2,1e-08,B3,1.78,0.5,1.28,sign_imbalance,Q0,0
M33_V0_alpha_peak_robustness,10.0,P3,1e-09,B2,1.57,1.64,0.06999999999999984,sign_imbalance,Q2,1
M33_V0_alpha_peak_robustness,10.0,P3,3e-09,B2,1.57,1.64,0.06999999999999984,sign_imbalance,Q2,1
M33_V0_alpha_peak_robustness,10.0,P3,1e-08,B2,1.64,1.64,0.0,sign_imbalance,Q2,1
M33_V0_alpha_peak_robustness,20.0,P0,1e-09,B1,1.42,2.2,0.7800000000000002,lambda_max_kneg,Q0,0
M33_V0_alpha_peak_robustness,20.0,P0,3e-09,B1,1.42,2.2,0.7800000000000002,lambda_max_kneg,Q0,0
M33_V0_alpha_peak_robustness,20.0,P0,1e-08,B1,1.42,2.2,0.7800000000000002,lambda_max_kneg,Q0,0
M33_V0_alpha_peak_robustness,20.0,P1,1e-09,B1,1.41,2.2,0.7900000000000003,lambda_max_kneg,Q0,0
M33_V0_alpha_peak_robustness,20.0,P1,3e-09,B1,1.41,2.2,0.7900000000000003,lambda_max_kneg,Q0,0
M33_V0_alpha_peak_robustness,20.0,P1,1e-08,B1,1.41,2.2,0.7900000000000003,lambda_max_kneg,Q0,0
M33_V0_alpha_peak_robustness,20.0,P2,1e-09,B3,1.73,0.9,0.83,sign_imbalance,Q0,0
M33_V0_alpha_peak_robustness,20.0,P2,3e-09,B3,1.73,0.9,0.83,sign_imbalance,Q0,0
M33_V0_alpha_peak_robustness,20.0,P2,1e-08,B1,1.42,0.9,0.5199999999999999,sign_imbalance,Q0,0
M33_V0_alpha_peak_robustness,20.0,P3,1e-09,B2,1.66,1.66,0.0,sign_imbalance,Q2,1
M33_V0_alpha_peak_robustness,20.0,P3,3e-09,B2,1.66,1.66,0.0,sign_imbalance,Q2,1
M33_V0_alpha_peak_robustness,20.0,P3,1e-08,B2,1.66,1.66,0.0,sign_imbalance,Q2,1
M33_V0_alpha_peak_robustness,40.0,P0,1e-09,B3,1.8,1.1,0.7,sign_imbalance,Q0,0
M33_V0_alpha_peak_robustness,40.0,P0,3e-09,B3,1.8,1.1,0.7,sign_imbalance,Q0,0
M33_V0_alpha_peak_robustness,40.0,P0,1e-08,B3,1.8,1.1,0.7,sign_imbalance,Q0,0
M33_V0_alpha_peak_robustness,40.0,P1,1e-09,B3,1.8,0.8,1.0,sign_imbalance,Q0,0
M33_V0_alpha_peak_robustness,40.0,P1,3e-09,B3,1.8,0.8,1.0,sign_imbalance,Q0,0
