run_id,t,p_family,theta,packet_model,source_feature,best_p0,best_sigma_p,best_alpha_source,best_branch_source,alpha_pref_readout,branch_pref_readout,delta_alpha,branch_match_flag,alpha_match_flag,best_loss_total,fit_label
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,abs,0.0,0.5,1.58,S2,1.58,S2,0.0,1,1,-1.008772612536676,P2
M33_V0_alpha_peak_robustness,2.0,P0,3e-09,gaussian,abs,0.0,0.5,1.58,S2,1.58,S2,0.0,1,1,-1.0088128966682823,P2
M33_V0_alpha_peak_robustness,2.0,P0,1e-08,gaussian,abs,0.0,0.5,1.58,S2,1.58,S2,0.0,1,1,-1.0243004706166405,P2
M33_V0_alpha_peak_robustness,2.0,P1,1e-09,gaussian,neg,1.0,0.8,1.58,S2,1.58,S2,0.0,1,1,-1.009382269779756,P2
M33_V0_alpha_peak_robustness,2.0,P1,3e-09,gaussian,neg,1.0,0.8,1.58,S2,1.58,S2,0.0,1,1,-1.0092483002261818,P2
M33_V0_alpha_peak_robustness,2.0,P1,1e-08,gaussian,neg,1.0,0.8,1.58,S2,1.58,S2,0.0,1,1,-1.0442862997175142,P2
M33_V0_alpha_peak_robustness,2.0,P2,1e-09,gaussian,neg,0.0,1.0,1.48,,1.48,,0.0,0,1,-0.014561193841121978,P1
M33_V0_alpha_peak_robustness,2.0,P2,3e-09,gaussian,neg,0.0,1.0,1.48,,1.48,,0.0,0,1,-0.00978243056693795,P1
M33_V0_alpha_peak_robustness,2.0,P2,1e-08,gaussian,neg,-1.0,0.8,1.58,S2,1.58,S2,0.0,1,1,-1.0333497980723905,P2
M33_V0_alpha_peak_robustness,2.0,P3,1e-09,gaussian,neg,0.5,1.0,1.52,,1.52,,0.0,0,1,-0.00030798177811597327,P1
M33_V0_alpha_peak_robustness,2.0,P3,3e-09,gaussian,neg,0.5,1.0,1.52,,1.52,,0.0,0,1,0.0037600418018872706,P1
M33_V0_alpha_peak_robustness,2.0,P3,1e-08,gaussian,neg,1.0,0.5,1.51,,1.51,,0.0,0,1,-0.00021652969439822645,P1
M33_V0_alpha_peak_robustness,5.0,P0,1e-09,gaussian,neg,-0.5,0.3,1.45,S1,1.41,S1,0.040000000000000036,1,1,-0.940390017897068,P2
M33_V0_alpha_peak_robustness,5.0,P0,3e-09,gaussian,neg,-0.5,0.3,1.45,S1,1.41,S1,0.040000000000000036,1,1,-0.9405098018412611,P2
M33_V0_alpha_peak_robustness,5.0,P0,1e-08,gaussian,neg,-2.0,0.5,1.78,S3,2.9,,1.1199999999999999,0,0,2.0191139019267172,P1
M33_V0_alpha_peak_robustness,5.0,P1,1e-09,gaussian,neg,-0.5,0.3,1.45,S1,1.42,S1,0.030000000000000027,1,1,-0.9800336805569632,P2
M33_V0_alpha_peak_robustness,5.0,P1,3e-09,gaussian,neg,-0.5,0.3,1.45,S1,1.42,S1,0.030000000000000027,1,1,-0.9805282941134849,P2
M33_V0_alpha_peak_robustness,5.0,P1,1e-08,gaussian,neg,-0.5,0.3,1.45,S1,1.42,S1,0.030000000000000027,1,1,-0.9826258174235076,P2
M33_V0_alpha_peak_robustness,5.0,P2,1e-09,gaussian,neg,1.0,0.3,1.45,S1,1.4,S1,0.050000000000000044,1,1,-0.9744121904562901,P2
M33_V0_alpha_peak_robustness,5.0,P2,3e-09,gaussian,neg,1.0,0.3,1.45,S1,1.4,S1,0.050000000000000044,1,1,-0.9743669269935215,P2
M33_V0_alpha_peak_robustness,5.0,P2,1e-08,gaussian,neg,1.0,0.3,1.45,S1,1.4,S1,0.050000000000000044,1,1,-0.9736090727649441,P2
M33_V0_alpha_peak_robustness,5.0,P3,1e-09,gaussian,neg,0.0,0.8,1.45,S1,1.45,S1,0.0,1,1,-1.0602261297191278,P2
M33_V0_alpha_peak_robustness,5.0,P3,3e-09,gaussian,neg,0.0,0.8,1.45,S1,1.45,S1,0.0,1,1,-1.060191019938775,P2
M33_V0_alpha_peak_robustness,5.0,P3,1e-08,gaussian,neg,0.0,0.8,1.45,S1,1.45,S1,0.0,1,1,-1.066421824639479,P2
M33_V0_alpha_peak_robustness,10.0,P0,1e-09,gaussian,abs,0.0,0.5,1.58,S2,1.58,S2,0.0,1,1,-1.092485991177866,P2
M33_V0_alpha_peak_robustness,10.0,P0,3e-09,gaussian,abs,0.0,0.5,1.58,S2,1.58,S2,0.0,1,1,-1.092485991177866,P2
M33_V0_alpha_peak_robustness,10.0,P0,1e-08,gaussian,abs,0.0,0.5,1.58,S2,1.58,S2,0.0,1,1,-1.1046517821798907,P2
M33_V0_alpha_peak_robustness,10.0,P1,1e-09,gaussian,neg,1.0,0.8,1.58,S2,1.58,S2,0.0,1,1,-1.0494479642567551,P2
