run_id,t,p_family,theta,packet_model,source_feature,p0,sigma_p,alpha_pref_source_model,branch_pref_source_model,source_score_model,alpha_pref_readout,branch_pref_readout,readout_score,delta_alpha,branch_match_flag,alpha_match_flag,loss_total
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-4.0,0.3,1.8,S3,0.0,1.58,S2,0.0022301602906277,0.21999999999999997,0,0,1.218884919854686
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-4.0,0.5,1.8,S3,0.0,1.58,S2,0.0022301602906277,0.21999999999999997,0,0,1.218884919854686
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-4.0,0.8,1.8,S3,0.0,1.58,S2,0.0022301602906277,0.21999999999999997,0,0,1.218884919854686
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-4.0,1.0,1.8,S3,0.0,1.58,S2,0.0022301602906277,0.21999999999999997,0,0,1.218884919854686
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-4.0,1.3,1.8,S3,0.0,1.58,S2,0.0022301602906277,0.21999999999999997,0,0,1.218884919854686
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-4.0,1.7,1.8,S3,0.0,1.58,S2,0.0022301602906277,0.21999999999999997,0,0,1.218884919854686
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-4.0,2.2,1.8,S3,0.0,1.58,S2,0.0022301602906277,0.21999999999999997,0,0,1.218884919854686
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-4.0,3.0,1.8,S3,0.0,1.58,S2,0.0022301602906277,0.21999999999999997,0,0,1.218884919854686
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-3.5,0.3,1.8,S3,0.0,1.58,S2,0.0022301602906277,0.21999999999999997,0,0,1.218884919854686
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-3.5,0.5,1.8,S3,0.0,1.58,S2,0.0022301602906277,0.21999999999999997,0,0,1.218884919854686
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-3.5,0.8,1.8,S3,0.0,1.58,S2,0.0022301602906277,0.21999999999999997,0,0,1.218884919854686
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-3.5,1.0,1.8,S3,0.0,1.58,S2,0.0022301602906277,0.21999999999999997,0,0,1.218884919854686
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-3.5,1.3,1.8,S3,0.0,1.58,S2,0.0022301602906277,0.21999999999999997,0,0,1.218884919854686
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-3.5,1.7,1.8,S3,0.0,1.58,S2,0.0022301602906277,0.21999999999999997,0,0,1.218884919854686
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-3.5,2.2,1.8,S3,0.0,1.58,S2,0.0022301602906277,0.21999999999999997,0,0,1.218884919854686
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-3.5,3.0,1.8,S3,0.0,1.58,S2,0.0022301602906277,0.21999999999999997,0,0,1.218884919854686
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-3.0,0.3,1.8,S3,0.0,1.58,S2,0.0022301602906277,0.21999999999999997,0,0,1.218884919854686
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-3.0,0.5,1.8,S3,0.0,1.58,S2,0.0022301602906277,0.21999999999999997,0,0,1.218884919854686
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-3.0,0.8,1.8,S3,0.0,1.58,S2,0.0022301602906277,0.21999999999999997,0,0,1.218884919854686
