run_id,t,p_family,theta,packet_model,source_feature,best_p0,best_sigma_p,best_alpha_source,best_branch_source,alpha_pref_readout,branch_pref_readout,delta_alpha,branch_match_flag,alpha_match_flag,best_loss_total,fit_label
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,0.0,0.5,1.52,,1.58,S2,0.06000000000000005,0,1,0.058884919854079204,K1
M33_V0_alpha_peak_robustness,2.0,P0,3e-09,gaussian,neg,0.0,0.5,1.52,,1.58,S2,0.06000000000000005,0,1,0.0588446357224729,K1
M33_V0_alpha_peak_robustness,2.0,P0,1e-08,gaussian,neg,0.0,0.5,1.52,,1.58,S2,0.06000000000000005,0,1,0.0433570617741148,K1
M33_V0_alpha_peak_robustness,2.0,P1,1e-09,gaussian,neg,3.5,0.3,1.58,S2,1.58,S2,0.0,1,1,-0.9929174437481456,K2
M33_V0_alpha_peak_robustness,2.0,P1,3e-09,gaussian,neg,3.5,0.3,1.58,S2,1.58,S2,0.0,1,1,-0.9927834741945714,K2
M33_V0_alpha_peak_robustness,2.0,P1,1e-08,gaussian,neg,3.5,0.3,1.58,S2,1.58,S2,0.0,1,1,-1.0278214736859037,K2
M33_V0_alpha_peak_robustness,2.0,P2,1e-09,gaussian,neg,4.0,3.0,1.5,,1.48,,0.020000000000000018,0,1,0.015339418403140435,K1
M33_V0_alpha_peak_robustness,2.0,P2,3e-09,gaussian,neg,4.0,3.0,1.5,,1.48,,0.020000000000000018,0,1,0.020118181677324435,K1
M33_V0_alpha_peak_robustness,2.0,P2,1e-08,gaussian,neg,-4.0,0.3,1.58,S2,1.58,S2,0.0,1,1,-1.0168685218834732,K2
M33_V0_alpha_peak_robustness,2.0,P3,1e-09,gaussian,neg,-3.5,1.7,1.52,,1.52,,0.0,0,1,0.00787587120785618,K1
M33_V0_alpha_peak_robustness,2.0,P3,3e-09,gaussian,neg,-3.5,1.7,1.52,,1.52,,0.0,0,1,0.01194389478785943,K1
M33_V0_alpha_peak_robustness,2.0,P3,1e-08,gaussian,neg,-3.5,1.7,1.52,,1.51,,0.010000000000000009,0,1,0.016052760375520787,K1
M33_V0_alpha_peak_robustness,5.0,P0,1e-09,gaussian,neg,-1.0,0.3,1.3,,1.41,S1,0.10999999999999988,0,1,0.14633701971904198,K1
M33_V0_alpha_peak_robustness,5.0,P0,3e-09,gaussian,neg,-1.0,0.3,1.3,,1.41,S1,0.10999999999999988,0,1,0.14621723577484888,K1
M33_V0_alpha_peak_robustness,5.0,P0,1e-08,gaussian,neg,-3.5,2.2,1.78,S3,2.9,,1.1199999999999999,0,0,2.0395034091963944,K0
M33_V0_alpha_peak_robustness,5.0,P1,1e-09,gaussian,abs,0.0,1.0,1.52,,1.42,S1,0.10000000000000009,0,1,0.10669335671619545,K1
M33_V0_alpha_peak_robustness,5.0,P1,3e-09,gaussian,abs,0.0,1.0,1.52,,1.42,S1,0.10000000000000009,0,1,0.10619874315967374,K1
