run_id,t,p_family,theta,packet_model,source_feature,p0,sigma_p,alpha_pref_source_model,branch_pref_source_model,source_score_model,alpha_pref_readout,branch_pref_readout,readout_score,delta_alpha,branch_match_flag,alpha_match_flag,loss_total
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-4.0,0.3,1.88,,1.548666969619303e-09,1.58,S2,0.0022301602906277,0.2999999999999998,0,0,1.2988849190803524
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-4.0,0.5,1.88,,1.548596489129816e-09,1.58,S2,0.0022301602906277,0.2999999999999998,0,0,1.2988849190803877
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-4.0,0.8,1.88,,1.5151487475113453e-09,1.58,S2,0.0022301602906277,0.2999999999999998,0,0,1.2988849190971115
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-4.0,1.0,1.88,,1.404152213259205e-09,1.58,S2,0.0022301602906277,0.2999999999999998,0,0,1.2988849191526097
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-4.0,1.3,1.88,,1.1402239177608706e-09,1.58,S2,0.0022301602906277,0.2999999999999998,0,0,1.298884919284574
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-4.0,1.7,1.88,,8.189595470449652e-10,1.58,S2,0.0022301602906277,0.2999999999999998,0,0,1.2988849194452061
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-4.0,2.2,1.86,,5.714018761115331e-10,1.58,S2,0.0022301602906277,0.28,0,0,1.278884919568985
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-4.0,3.0,1.74,S3,4.0642404051165353e-10,1.58,S2,0.0022301602906277,0.15999999999999992,0,0,1.1588849196514739
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-3.5,0.3,1.88,,1.5486669692747724e-09,1.58,S2,0.0022301602906277,0.2999999999999998,0,0,1.2988849190803524
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-3.5,0.5,1.88,,1.5481381124145394e-09,1.58,S2,0.0022301602906277,0.2999999999999998,0,0,1.2988849190806169
