run_id,t,p_family,theta,packet_model,source_feature,p0,sigma_p,alpha_candidate,candidate_value,candidate_prominence,source_branch_id,source_branch_center,delta_to_branch_center
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-4.0,0.3,1.88,3.0999163209690113e-07,1.548666969619303e-09,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-4.0,0.5,1.88,3.0997752424492587e-07,1.548596489129816e-09,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-4.0,0.8,1.88,3.032791921097731e-07,1.5151487475113453e-09,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-4.0,1.0,1.88,2.809858459936759e-07,1.404152213259205e-09,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-4.0,1.3,1.88,2.276966201870132e-07,1.1402239177608706e-09,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-4.0,1.7,1.88,1.636596373608161e-07,8.189595470449652e-10,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-4.0,2.2,1.86,1.1604794040360846e-07,5.714018761115331e-10,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-4.0,3.0,1.74,7.635227043403607e-08,4.0642404051165353e-10,S3,1.77,0.030000000000000027
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-3.5,0.3,1.88,3.099916320279271e-07,1.5486669692747724e-09,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-3.5,0.5,1.88,3.0988577238670606e-07,1.5481381124145394e-09,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-3.5,0.8,1.88,2.9422162791264536e-07,1.4699513797473764e-09,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-3.5,1.0,1.88,2.596828905596797e-07,1.2981656739969332e-09,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-3.5,1.3,1.88,1.992065996531917e-07,9.977148271903417e-10,,,
