run_id,t,p_family,theta,source_feature,best_alpha_source,hard_branch_source,hard_branch_readout,nearest_branch_source,nearest_branch_readout,dist_to_S1,dist_to_S2,dist_to_S3,nearest_branch_match_flag,hard_to_nearest_upgrade_flag
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,neg,1.52,,S2,S2,S2,0.10000000000000009,0.08000000000000007,0.25,1,1
M33_V0_alpha_peak_robustness,2.0,P0,3e-09,neg,1.52,,S2,S2,S2,0.10000000000000009,0.08000000000000007,0.25,1,1
M33_V0_alpha_peak_robustness,2.0,P0,1e-08,neg,1.52,,S2,S2,S2,0.10000000000000009,0.08000000000000007,0.25,1,1
M33_V0_alpha_peak_robustness,2.0,P1,1e-09,neg,1.58,S2,S2,S2,S2,0.16000000000000014,0.020000000000000018,0.18999999999999995,1,0
M33_V0_alpha_peak_robustness,2.0,P1,3e-09,neg,1.58,S2,S2,S2,S2,0.16000000000000014,0.020000000000000018,0.18999999999999995,1,0
M33_V0_alpha_peak_robustness,2.0,P1,1e-08,neg,1.58,S2,S2,S2,S2,0.16000000000000014,0.020000000000000018,0.18999999999999995,1,0
M33_V0_alpha_peak_robustness,2.0,P2,1e-09,neg,1.5,,,S1,S1,0.08000000000000007,0.10000000000000009,0.27,1,1
M33_V0_alpha_peak_robustness,2.0,P2,3e-09,neg,1.5,,,S1,S1,0.08000000000000007,0.10000000000000009,0.27,1,1
M33_V0_alpha_peak_robustness,2.0,P2,1e-08,neg,1.58,S2,S2,S2,S2,0.16000000000000014,0.020000000000000018,0.18999999999999995,1,0
M33_V0_alpha_peak_robustness,2.0,P3,1e-09,neg,1.52,,,S2,S2,0.10000000000000009,0.08000000000000007,0.25,1,1
M33_V0_alpha_peak_robustness,2.0,P3,3e-09,neg,1.52,,,S2,S2,0.10000000000000009,0.08000000000000007,0.25,1,1
M33_V0_alpha_peak_robustness,2.0,P3,1e-08,neg,1.52,,,S2,S1,0.10000000000000009,0.08000000000000007,0.25,0,0
M33_V0_alpha_peak_robustness,5.0,P0,1e-09,neg,1.3,,S1,S1,S1,0.11999999999999988,0.30000000000000004,0.47,1,1
M33_V0_alpha_peak_robustness,5.0,P0,3e-09,neg,1.3,,S1,S1,S1,0.11999999999999988,0.30000000000000004,0.47,1,1
M33_V0_alpha_peak_robustness,5.0,P0,1e-08,neg,1.78,S3,,S3,S3,0.3600000000000001,0.17999999999999994,0.010000000000000009,1,1
M33_V0_alpha_peak_robustness,5.0,P1,1e-09,abs,1.52,,S1,S2,S1,0.10000000000000009,0.08000000000000007,0.25,0,0
M33_V0_alpha_peak_robustness,5.0,P1,3e-09,abs,1.52,,S1,S2,S1,0.10000000000000009,0.08000000000000007,0.25,0,0
M33_V0_alpha_peak_robustness,5.0,P1,1e-08,abs,1.52,,S1,S2,S1,0.10000000000000009,0.08000000000000007,0.25,0,0
M33_V0_alpha_peak_robustness,5.0,P2,1e-09,abs,1.4,S1,S1,S1,S1,0.020000000000000018,0.20000000000000018,0.3700000000000001,1,0
M33_V0_alpha_peak_robustness,5.0,P2,3e-09,abs,1.4,S1,S1,S1,S1,0.020000000000000018,0.20000000000000018,0.3700000000000001,1,0
M33_V0_alpha_peak_robustness,5.0,P2,1e-08,abs,1.4,S1,S1,S1,S1,0.020000000000000018,0.20000000000000018,0.3700000000000001,1,0
M33_V0_alpha_peak_robustness,5.0,P3,1e-09,neg,1.46,S1,S1,S1,S1,0.040000000000000036,0.14000000000000012,0.31000000000000005,1,0
M33_V0_alpha_peak_robustness,5.0,P3,3e-09,neg,1.46,S1,S1,S1,S1,0.040000000000000036,0.14000000000000012,0.31000000000000005,1,0
M33_V0_alpha_peak_robustness,5.0,P3,1e-08,neg,1.46,S1,S1,S1,S1,0.040000000000000036,0.14000000000000012,0.31000000000000005,1,0
M33_V0_alpha_peak_robustness,10.0,P0,1e-09,abs,1.68,,S2,S2,S2,0.26,0.07999999999999985,0.09000000000000008,1,1
M33_V0_alpha_peak_robustness,10.0,P0,3e-09,abs,1.68,,S2,S2,S2,0.26,0.07999999999999985,0.09000000000000008,1,1
M33_V0_alpha_peak_robustness,10.0,P0,1e-08,abs,1.68,,S2,S2,S2,0.26,0.07999999999999985,0.09000000000000008,1,1
M33_V0_alpha_peak_robustness,10.0,P1,1e-09,abs,1.52,,S2,S2,S2,0.10000000000000009,0.08000000000000007,0.25,1,1
M33_V0_alpha_peak_robustness,10.0,P1,3e-09,abs,1.52,,S2,S2,S2,0.10000000000000009,0.08000000000000007,0.25,1,1
M33_V0_alpha_peak_robustness,10.0,P1,1e-08,abs,1.52,,S2,S2,S2,0.10000000000000009,0.08000000000000007,0.25,1,1
M33_V0_alpha_peak_robustness,10.0,P2,1e-09,neg,1.78,S3,S3,S3,S3,0.3600000000000001,0.17999999999999994,0.010000000000000009,1,0
M33_V0_alpha_peak_robustness,10.0,P2,3e-09,neg,1.78,S3,S3,S3,S3,0.3600000000000001,0.17999999999999994,0.010000000000000009,1,0
M33_V0_alpha_peak_robustness,10.0,P2,1e-08,neg,1.78,S3,S3,S3,S3,0.3600000000000001,0.17999999999999994,0.010000000000000009,1,0
M33_V0_alpha_peak_robustness,10.0,P3,1e-09,neg,1.56,S2,S2,S2,S2,0.14000000000000012,0.040000000000000036,0.20999999999999996,1,0
M33_V0_alpha_peak_robustness,10.0,P3,3e-09,neg,1.56,S2,S2,S2,S2,0.14000000000000012,0.040000000000000036,0.20999999999999996,1,0
M33_V0_alpha_peak_robustness,10.0,P3,1e-08,neg,1.64,S2,S2,S2,S2,0.21999999999999997,0.039999999999999813,0.13000000000000012,1,0
M33_V0_alpha_peak_robustness,20.0,P0,1e-09,abs,1.38,S1,S1,S1,S1,0.040000000000000036,0.2200000000000002,0.3900000000000001,1,0
M33_V0_alpha_peak_robustness,20.0,P0,3e-09,abs,1.38,S1,S1,S1,S1,0.040000000000000036,0.2200000000000002,0.3900000000000001,1,0
