run_id,t,p_family,theta,source_feature,class_mode,class_label,n_pairs_in_class,sum_pair_weight,sum_contrib_primary,mean_contrib_primary,max_contrib_primary,class_rank,cumulative_class_contrib
M33_V0_alpha_peak_robustness,2.0,P1,1e-09,neg,delta_p,dp=-2,5,0.9999999997766336,1.6215227524227038e-07,3.243045504845407e-08,1.6215227524227038e-07,1,1.0
M33_V0_alpha_peak_robustness,2.0,P1,1e-09,neg,delta_p,dp=-1,5,3.338237794619358e-15,7.103696713881868e-48,1.4207393427763737e-48,7.103696713881868e-48,2,1.0
M33_V0_alpha_peak_robustness,2.0,P1,1e-09,neg,delta_p,dp=-5,2,3.7200759751898963e-44,3.407508134455119e-52,1.7037540672275595e-52,3.407508134455119e-52,3,1.0
M33_V0_alpha_peak_robustness,2.0,P1,1e-09,neg,delta_p,dp=-7,1,3.0911147858810796e-97,3.8768655765212484e-106,3.8768655765212484e-106,3.8768655765212484e-106,4,1.0
M33_V0_alpha_peak_robustness,2.0,P1,1e-09,neg,delta_p,dp=-3,4,2.2336314357042476e-10,1.4763223150055353e-134,3.6908057875138384e-135,1.4763223150055353e-134,5,1.0
M33_V0_alpha_peak_robustness,2.0,P1,1e-09,neg,delta_p,dp=-4,3,7.456392879583304e-25,0.0,0.0,0.0,6,1.0
M33_V0_alpha_peak_robustness,2.0,P1,1e-09,neg,delta_p,dp=-6,1,2.773834801911028e-68,0.0,0.0,0.0,7,1.0
M33_V0_alpha_peak_robustness,2.0,P1,1e-09,neg,delta_p2,dp2=-12,2,0.9999999997766336,1.6215227524227038e-07,8.107613762113519e-08,1.6215227524227038e-07,1,1.0
M33_V0_alpha_peak_robustness,2.0,P1,1e-09,neg,delta_p2,dp2=-4,1,1.1143831575914239e-29,1.8168428216393583e-36,1.8168428216393583e-36,1.8168428216393583e-36,2,1.0
M33_V0_alpha_peak_robustness,2.0,P1,1e-09,neg,delta_p2,dp2=-1,1,2.489121252771551e-39,7.103696713881868e-48,7.103696713881868e-48,7.103696713881868e-48,3,1.0
M33_V0_alpha_peak_robustness,2.0,P1,1e-09,neg,delta_p2,dp2=-15,2,2.2336314357042476e-10,3.407508134455119e-52,1.7037540672275595e-52,3.407508134455119e-52,4,1.0
M33_V0_alpha_peak_robustness,2.0,P1,1e-09,neg,delta_p2,dp2=0,2,1.2418498222008293e-58,2.026031848327237e-65,1.0130159241636185e-65,2.026031848327237e-65,5,1.0
M33_V0_alpha_peak_robustness,2.0,P1,1e-09,neg,delta_p2,dp2=1,1,4.145590012638098e-73,1.1831088744067665e-81,1.1831088744067665e-81,1.1831088744067665e-81,6,1.0
M33_V0_alpha_peak_robustness,2.0,P1,1e-09,neg,delta_p2,dp2=4,1,3.091114785881044e-97,5.039621849307381e-104,5.039621849307381e-104,5.039621849307381e-104,7,1.0
M33_V0_alpha_peak_robustness,2.0,P1,1e-09,neg,delta_p2,dp2=-7,1,3.0911147858810796e-97,3.8768655765212484e-106,3.8768655765212484e-106,3.8768655765212484e-106,8,1.0
M33_V0_alpha_peak_robustness,2.0,P1,1e-09,neg,delta_p2,dp2=9,1,3.444686256337123e-126,1.4763223150055353e-134,1.4763223150055353e-134,1.4763223150055353e-134,9,1.0
M33_V0_alpha_peak_robustness,2.0,P1,1e-09,neg,delta_p2,dp2=8,2,1.0318876208039836e-111,2.796221719347356e-152,1.398110859673678e-152,2.796221719347356e-152,10,1.0
M33_V0_alpha_peak_robustness,2.0,P1,1e-09,neg,delta_p2,dp2=5,2,4.619775689395004e-102,1.8279431492725795e-177,9.139715746362897e-178,1.8279431492725795e-177,11,1.0
M33_V0_alpha_peak_robustness,2.0,P1,1e-09,neg,delta_p2,dp2=-16,1,7.456392879583304e-25,0.0,0.0,0.0,12,1.0
M33_V0_alpha_peak_robustness,2.0,P1,1e-09,neg,delta_p2,dp2=-3,2,3.338237794619358e-15,0.0,0.0,0.0,13,1.0
M33_V0_alpha_peak_robustness,2.0,P1,1e-09,neg,delta_p2,dp2=3,2,9.259720173838204e-83,0.0,0.0,0.0,14,1.0
M33_V0_alpha_peak_robustness,5.0,P0,1e-09,neg,delta_p,dp=-1,6,0.9980707112798057,3.0046844394387894e-07,5.007807399064649e-08,1.5383588527100637e-07,1,0.9990503078897941
M33_V0_alpha_peak_robustness,5.0,P0,1e-09,neg,delta_p,dp=-2,5,0.0019292884972620871,2.856237565075546e-10,5.7124751301510915e-11,2.8561600940216814e-10,2,0.9999999999710457
M33_V0_alpha_peak_robustness,5.0,P0,1e-09,neg,delta_p,dp=-3,4,2.2293221160192536e-10,8.708137636916474e-18,2.1770344092291184e-18,5.471207483347785e-18,3,1.0
M33_V0_alpha_peak_robustness,5.0,P0,1e-09,neg,delta_p,dp=-4,3,6.4403275282866515e-18,0.0,0.0,0.0,4,1.0
M33_V0_alpha_peak_robustness,5.0,P0,1e-09,neg,delta_p,dp=-5,2,5.561165954919732e-30,0.0,0.0,0.0,5,1.0
M33_V0_alpha_peak_robustness,5.0,P0,1e-09,neg,delta_p,dp=-6,1,7.176885267518304e-47,0.0,0.0,0.0,6,1.0
M33_V0_alpha_peak_robustness,5.0,P0,1e-09,neg,delta_p2,dp2=1,1,0.49903535552843675,1.5383588527100637e-07,1.5383588527100637e-07,1.5383588527100637e-07,1,0.5115005972913547
M33_V0_alpha_peak_robustness,5.0,P0,1e-09,neg,delta_p2,dp2=3,2,0.49903535563990287,1.4663255861437274e-07,7.331627930718637e-08,1.4663255860890154e-07,2,0.9990503076952837
M33_V0_alpha_peak_robustness,5.0,P0,1e-09,neg,delta_p2,dp2=4,1,0.0019292308312463563,2.8561600940216814e-10,2.8561600940216814e-10,2.8561600940216814e-10,3,0.9999999740175973
M33_V0_alpha_peak_robustness,5.0,P0,1e-09,neg,delta_p2,dp2=0,3,2.8833007865422406e-08,4.703998114271865e-15,1.567999371423955e-15,4.703998114271865e-15,4,0.9999999896582772
M33_V0_alpha_peak_robustness,5.0,P0,1e-09,neg,delta_p2,dp2=8,2,2.883300787186254e-08,3.043107272177908e-15,1.521553636088954e-15,3.043107272177908e-15,5,0.9999999997765352
M33_V0_alpha_peak_robustness,5.0,P0,1e-09,neg,delta_p2,dp2=-1,1,1.1146610578851398e-10,3.4361266933232626e-17,3.4361266933232626e-17,3.4361266933232626e-17,6,0.9999999998907856
M33_V0_alpha_peak_robustness,5.0,P0,1e-09,neg,delta_p2,dp2=5,2,1.1146610578851398e-10,2.960973292125736e-17,1.480486646062868e-17,2.960973292125736e-17,7,0.9999999999892373
M33_V0_alpha_peak_robustness,5.0,P0,1e-09,neg,delta_p2,dp2=9,1,1.1146610578851398e-10,3.2369301523466235e-18,3.2369301523466235e-18,3.2369301523466235e-18,8,1.0
M33_V0_alpha_peak_robustness,5.0,P0,1e-09,neg,delta_p2,dp2=-3,2,2.4897419801598377e-20,1.2220661046863691e-27,6.110330523431846e-28,1.2220661030523206e-27,9,1.0
M33_V0_alpha_peak_robustness,5.0,P0,1e-09,neg,delta_p2,dp2=-4,1,9.625143661040922e-23,1.424969515257682e-29,1.424969515257682e-29,1.424969515257682e-29,10,1.0
M33_V0_alpha_peak_robustness,5.0,P0,1e-09,neg,delta_p2,dp2=-9,1,1.242159509607701e-39,3.6071804472509405e-47,3.6071804472509405e-47,3.6071804472509405e-47,11,1.0
M33_V0_alpha_peak_robustness,5.0,P0,1e-09,neg,delta_p2,dp2=-8,2,3.213101836228169e-37,7.574662987831646e-54,3.787331493915823e-54,7.574662987831646e-54,12,1.0
M33_V0_alpha_peak_robustness,5.0,P0,1e-09,neg,delta_p2,dp2=-5,2,1.242159509607701e-39,1.6462358550251992e-65,8.231179275125996e-66,1.6462358550251992e-65,13,1.0
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p,dp=-1.1,2,0.9591653418366898,1.1008041882456901e-07,5.5040209412284505e-08,7.381004839481204e-08,1,0.9881046849509532
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p,dp=-2.2,1,0.038825893049062594,1.323607714932935e-09,1.323607714932935e-09,1.323607714932935e-09,2,0.9999856624956223
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p,dp=-3,1,0.0002320244257802501,1.030718068798585e-12,1.030718068798585e-12,1.030718068798585e-12,3,0.9999949144349182
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p,dp=-0.8,1,9.62397669063791e-05,5.65808451678379e-13,5.65808451678379e-13,5.65808451678379e-13,4,0.9999999932490058
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p,dp=-3.1,1,6.389128848401999e-09,6.181629798284411e-16,6.181629798284411e-16,6.181629798284411e-16,5,0.9999999987977649
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p,dp=-4.2,1,8.82142147179887e-10,7.487553154356814e-17,7.487553154356814e-17,7.487553154356814e-17,6,0.9999999994698632
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p,dp=-2,1,3.6589748832431564e-10,5.904873921082345e-17,5.904873921082345e-17,5.904873921082345e-17,7,0.999999999999897
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p,dp=-1.2,1,2.1866117674512793e-12,1.1480990085449561e-20,1.1480990085449561e-20,1.1480990085449561e-20,8,1.0
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p,dp=-4.6,1,3.2558352845664134e-19,2.5690227089922775e-26,2.5690227089922775e-26,2.5690227089922775e-26,9,1.0
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p,dp=-5.7,1,4.495306945499785e-20,2.3050761670511757e-27,2.3050761670511757e-27,2.3050761670511757e-27,10,1.0
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p,dp=-3.5,1,1.8645765037568366e-20,1.8213301790844222e-27,1.8213301790844222e-27,1.8213301790844222e-27,11,1.0
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p,dp=-2.7,1,1.1142751875940987e-22,6.404893797816717e-30,6.404893797816717e-30,6.404893797816717e-30,12,1.0
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p,dp=-1.5,1,4.236403573580995e-28,6.32829618827925e-36,6.32829618827925e-36,6.32829618827925e-36,13,1.0
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p,dp=-3.2,1,1.724739773969599e-44,0.0,0.0,0.0,14,1.0
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p,dp=-1.9,1,0.0016804932822059176,0.0,0.0,0.0,15,1.0
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p,dp=-1.7,1,8.789099024336973e-55,0.0,0.0,0.0,16,1.0
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p,dp=-4.4,1,4.536476994722361e-39,0.0,0.0,0.0,17,1.0
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p,dp=-5.2,1,7.59113054689502e-37,0.0,0.0,0.0,18,1.0
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p,dp=-6.3,1,1.3255273052370253e-35,0.0,0.0,0.0,19,1.0
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p,dp=-7.4,1,1.8301454406883918e-36,0.0,0.0,0.0,20,1.0
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p2,dp2=5.39,1,0.6779593773129801,7.381004839481204e-08,7.381004839481204e-08,7.381004839481204e-08,1,0.6625343125883215
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p2,dp2=2.97,1,0.2812059645237097,3.6270370429756974e-08,3.6270370429756974e-08,3.6270370429756974e-08,2,0.9881046849509532
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p2,dp2=8.36,1,0.038825893049062594,1.323607714932935e-09,1.323607714932935e-09,1.323607714932935e-09,3,0.9999856624956223
