run_id,case_label,t,p_family,theta,source_feature,branch_label,class_mode,class_label,class_rank,sum_contrib_primary,normalized_class_contrib,is_top1_class,is_top3_class,is_top5_class
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,2.0,P1,1e-09,neg,,delta_p,dp=-2,1,1.621522752422704e-07,1.0,1,1,1
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,2.0,P1,1e-09,neg,,delta_p,dp=-1,2,7.103696713881867e-48,4.380880072924226e-41,0,1,1
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,2.0,P1,1e-09,neg,,delta_p,dp=-5,3,3.407508134455119e-52,2.101424805396032e-45,0,1,1
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,2.0,P1,1e-09,neg,,delta_p,dp=-7,4,3.876865576521248e-106,2.390879542534235e-99,0,0,1
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,2.0,P1,1e-09,neg,,delta_p,dp=-3,5,1.4763223150055353e-134,9.104542707154581e-128,0,0,1
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,2.0,P1,1e-09,neg,,delta_p,dp=-4,6,0.0,0.0,0,0,0
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,2.0,P1,1e-09,neg,,delta_p,dp=-6,7,0.0,0.0,0,0,0
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,2.0,P1,1e-09,neg,,delta_p2,dp2=-12,1,1.621522752422704e-07,1.0,1,1,1
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,2.0,P1,1e-09,neg,,delta_p2,dp2=-4,2,1.8168428216393583e-36,1.1204547200616384e-29,0,1,1
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,2.0,P1,1e-09,neg,,delta_p2,dp2=-1,3,7.103696713881867e-48,4.380880072924226e-41,0,1,1
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,2.0,P1,1e-09,neg,,delta_p2,dp2=-15,4,3.407508134455119e-52,2.101424805396032e-45,0,0,1
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,2.0,P1,1e-09,neg,,delta_p2,dp2=0,5,2.026031848327237e-65,1.2494624853707166e-58,0,0,1
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,2.0,P1,1e-09,neg,,delta_p2,dp2=1,6,1.1831088744067663e-81,7.296282908390233e-75,0,0,0
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,2.0,P1,1e-09,neg,,delta_p2,dp2=4,7,5.039621849307381e-104,3.1079562971149946e-97,0,0,0
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,2.0,P1,1e-09,neg,,delta_p2,dp2=-7,8,3.876865576521248e-106,2.390879542534235e-99,0,0,0
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,2.0,P1,1e-09,neg,,delta_p2,dp2=9,9,1.4763223150055353e-134,9.104542707154581e-128,0,0,0
