run_id,case_label_a,case_label_b,branch_a,branch_b,class_mode,top_k,class_overlap_count,class_overlap_fraction_a,class_overlap_fraction_b,weighted_class_overlap,relation_type
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,t=40.0__pf=P3__th=1e-09,S2,S2,delta_p,1,0,0.0,0.0,0.0,within_branch
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,t=40.0__pf=P3__th=1e-09,S2,S2,delta_p,3,0,0.0,0.0,0.0,within_branch
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,t=40.0__pf=P3__th=1e-09,S2,S2,delta_p,5,1,0.2,0.2,9.104542707154581e-128,within_branch
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,t=5.0__pf=P0__th=1e-09,S2,S1,delta_p,1,0,0.0,0.0,0.0,between_branch
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,t=5.0__pf=P0__th=1e-09,S2,S1,delta_p,3,2,0.6666666666666666,0.6666666666666666,0.0009496920812516661,between_branch
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,t=5.0__pf=P0__th=1e-09,S2,S1,delta_p,5,4,0.8,0.8,0.0009496920812516661,between_branch
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,t=5.0__pf=P0__th=1e-09,S2,S1,delta_p,1,0,0.0,0.0,0.0,between_branch
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,t=5.0__pf=P0__th=1e-09,S2,S1,delta_p,3,1,0.3333333333333333,0.3333333333333333,2.895434699602949e-11,between_branch
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,t=5.0__pf=P0__th=1e-09,S2,S1,delta_p,5,1,0.2,0.2,2.895434699602949e-11,between_branch
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,t=40.0__pf=P3__th=1e-09,S2,S2,delta_p2,1,0,0.0,0.0,0.0,within_branch
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,t=40.0__pf=P3__th=1e-09,S2,S2,delta_p2,3,0,0.0,0.0,0.0,within_branch
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,t=40.0__pf=P3__th=1e-09,S2,S2,delta_p2,5,0,0.0,0.0,0.0,within_branch
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,t=5.0__pf=P0__th=1e-09,S2,S1,delta_p2,1,0,0.0,0.0,0.0,between_branch
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,t=5.0__pf=P0__th=1e-09,S2,S1,delta_p2,3,0,0.0,0.0,0.0,between_branch
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,t=5.0__pf=P0__th=1e-09,S2,S1,delta_p2,5,1,0.2,0.2,1.2494624853707166e-58,between_branch
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,t=5.0__pf=P0__th=1e-09,S2,S1,delta_p2,1,0,0.0,0.0,0.0,between_branch
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,t=5.0__pf=P0__th=1e-09,S2,S1,delta_p2,3,0,0.0,0.0,0.0,between_branch
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,t=5.0__pf=P0__th=1e-09,S2,S1,delta_p2,5,0,0.0,0.0,0.0,between_branch
