run_id,t,p_family,theta,source_feature,best_p0,best_sigma_p,best_alpha_source,best_branch_source,alpha_pref_readout,branch_pref_readout,pair_i,pair_j,p_i,p_j,delta_p,delta_p2,pair_weight,kbar_ij,kbar_abs_ij,kbar_sign,contrib_neg,contrib_abs,contrib_signed,contrib_primary,case_label,branch_basis,branch_label,pair_rank_primary,cumulative_primary
M33_V0_alpha_peak_robustness,20.0,P2,1e-08,abs,4.0,1.0,1.42,,1.42,,5,6,3.0,6.0,-3.0,-27.0,0.9061974913509033,5.1390714849840896e-08,5.1390714849840896e-08,1,0.0,4.657013687565544e-08,4.657013687565544e-08,4.657013687565544e-08,t=20.0__pf=P2__th=1e-08,nearest_branch_readout,S1,1,0.8004415110952051
M33_V0_alpha_peak_robustness,20.0,P2,1e-08,abs,4.0,1.0,1.42,,1.42,,4,5,1.0,3.0,-2.0,-8.0,0.07438521983051943,-1.4296542106585766e-07,1.4296542106585766e-07,-1,1.0634514274146595e-08,1.0634514274146595e-08,-1.0634514274146595e-08,1.0634514274146595e-08,t=20.0__pf=P2__th=1e-08,nearest_branch_readout,S1,2,0.9832261719625268
M33_V0_alpha_peak_robustness,20.0,P2,1e-08,abs,4.0,1.0,1.42,,1.42,,4,6,1.0,6.0,-5.0,-35.0,0.016597586013459963,-5.384649033862016e-08,5.384649033862016e-08,-1,8.937217549181891e-10,8.937217549181891e-10,-8.937217549181891e-10,8.937217549181891e-10,t=20.0__pf=P2__th=1e-08,nearest_branch_readout,S1,3,0.998587346311562
M33_V0_alpha_peak_robustness,20.0,P2,1e-08,abs,4.0,1.0,1.42,,1.42,,3,5,0.0,3.0,-3.0,-9.0,0.0022462390041756448,-2.7755970258280804e-08,2.7755970258280804e-08,-1,6.234654299288949e-11,6.234654299288949e-11,-6.234654299288949e-11,6.234654299288949e-11,t=20.0__pf=P2__th=1e-08,nearest_branch_readout,S1,4,0.9996589506578846
M33_V0_alpha_peak_robustness,20.0,P2,1e-08,abs,4.0,1.0,1.42,,1.42,,3,6,0.0,6.0,-6.0,-36.0,0.0005012036687333612,-3.634662538304356e-08,3.634662538304356e-08,-1,1.8217061988058543e-11,1.8217061988058543e-11,-1.8217061988058543e-11,1.8217061988058543e-11,t=20.0__pf=P2__th=1e-08,nearest_branch_readout,S1,5,0.9999720631716909
M33_V0_alpha_peak_robustness,20.0,P2,1e-08,abs,4.0,1.0,1.42,,1.42,,3,4,0.0,1.0,-1.0,-1.0,4.114130245827098e-05,-1.9470885431749352e-08,1.9470885431749352e-08,-1,8.010575866779422e-13,8.010575866779422e-13,-8.010575866779422e-13,8.010575866779422e-13,t=20.0__pf=P2__th=1e-08,nearest_branch_readout,S1,6,0.9999858316462579
M33_V0_alpha_peak_robustness,20.0,P2,1e-08,abs,4.0,1.0,1.42,,1.42,,2,5,-1.0,3.0,-4.0,-8.0,2.4953461321452088e-05,2.6426246402949664e-08,2.6426246402949664e-08,1,0.0,6.594263174871668e-13,6.594263174871668e-13,6.594263174871668e-13,t=20.0__pf=P2__th=1e-08,nearest_branch_readout,S1,7,0.9999971657808221
M33_V0_alpha_peak_robustness,20.0,P2,1e-08,abs,4.0,1.0,1.42,,1.42,,2,6,-1.0,6.0,-7.0,-35.0,5.567869820913254e-06,-1.5759817372992813e-08,1.5759817372992813e-08,-1,8.774861153419108e-14,8.774861153419108e-14,-8.774861153419108e-14,8.774861153419108e-14,t=20.0__pf=P2__th=1e-08,nearest_branch_readout,S1,8,0.999998673992649
M33_V0_alpha_peak_robustness,20.0,P2,1e-08,abs,4.0,1.0,1.42,,1.42,,2,4,-1.0,1.0,-2.0,0.0,4.570385865877121e-07,-1.631462848492157e-07,1.631462848492157e-07,-1,7.456414743452181e-14,7.456414743452181e-14,-7.456414743452181e-14,7.456414743452181e-14,t=20.0__pf=P2__th=1e-08,nearest_branch_readout,S1,9,0.9999999555916059
M33_V0_alpha_peak_robustness,20.0,P2,1e-08,abs,4.0,1.0,1.42,,1.42,,1,5,-2.0,3.0,-5.0,-5.0,1.0197909301932822e-07,2.0568541390930672e-08,2.0568541390930672e-08,1,0.0,2.0975611957776215e-15,2.0975611957776215e-15,2.0975611957776215e-15,t=20.0__pf=P2__th=1e-08,nearest_branch_readout,S1,10,0.9999999916442175
M33_V0_alpha_peak_robustness,20.0,P2,1e-08,abs,4.0,1.0,1.42,,1.42,,2,3,-1.0,0.0,-1.0,1.0,1.3801369437983653e-08,-1.94708853762382e-08,1.94708853762382e-08,-1,2.6872488236209673e-16,2.6872488236209673e-16,-2.6872488236209673e-16,2.6872488236209673e-16,t=20.0__pf=P2__th=1e-08,nearest_branch_readout,S1,11,0.9999999962630262
