run_id,case_label,branch_label,t,p_family,theta,source_feature,best_alpha_source,best_sigma_p,diversity_group,group_rank,group_weight,is_group_representative,selection_mode,top3_share,effective_pair_count,group_size
M33_V0_alpha_peak_robustness,t=20.0__pf=P2__th=1e-08,S1,20.0,P2,1e-08,abs,1.42,1.0,S1|20.0|P2|abs,1,1.0,1,full,,,
M33_V0_alpha_peak_robustness,t=20.0__pf=P2__th=1e-08,S1,20.0,P2,1e-08,abs,1.42,1.0,S1|20.0|P2|abs,1,1.0,1,pruned,0.998587346311562,1.4829005463284974,1.0
M33_V0_alpha_peak_robustness,t=20.0__pf=P2__th=1e-08,S1,20.0,P2,1e-08,abs,1.42,1.0,S1|20.0|P2|abs,1,1.0,1,weighted,0.998587346311562,1.4829005463284974,1.0
M33_V0_alpha_peak_robustness,t=40.0__pf=P2__th=1e-09,S1,40.0,P2,1e-09,neg,1.42,0.8,S1|40.0|P2|neg,1,1.0,1,full,,,
M33_V0_alpha_peak_robustness,t=40.0__pf=P2__th=1e-09,S1,40.0,P2,1e-09,neg,1.42,0.8,S1|40.0|P2|neg,1,1.0,1,pruned,0.9930964220315388,1.6845972987073528,1.0
M33_V0_alpha_peak_robustness,t=40.0__pf=P2__th=1e-09,S1,40.0,P2,1e-09,neg,1.42,0.8,S1|40.0|P2|neg,1,1.0,1,weighted,0.9930964220315388,1.6845972987073528,1.0
M33_V0_alpha_peak_robustness,t=5.0__pf=P0__th=1e-09,S1,5.0,P0,1e-09,neg,1.3,0.3,S1|5.0|P0|neg,1,1.0,1,full,,,
M33_V0_alpha_peak_robustness,t=5.0__pf=P0__th=1e-09,S1,5.0,P0,1e-09,neg,1.3,0.3,S1|5.0|P0|neg,1,1.0,1,pruned,0.999999973999406,2.002649573504858,1.0
M33_V0_alpha_peak_robustness,t=5.0__pf=P0__th=1e-09,S1,5.0,P0,1e-09,neg,1.3,0.3,S1|5.0|P0|neg,1,1.0,1,weighted,0.999999973999406,2.002649573504858,1.0
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,S2,2.0,P1,1e-09,neg,1.58,0.3,S2|2.0|P1|neg,1,0.5,1,full,,,
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,S2,2.0,P1,1e-09,neg,1.58,0.3,S2|2.0|P1|neg,1,0.5,1,pruned,1.0,1.0,2.0
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=1e-09,S2,2.0,P1,1e-09,neg,1.58,0.3,S2|2.0|P1|neg,1,0.5,1,weighted,1.0,1.0,2.0
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=3e-09,S2,2.0,P1,3e-09,neg,1.58,0.3,S2|2.0|P1|neg,2,0.5,0,full,,,
M33_V0_alpha_peak_robustness,t=2.0__pf=P1__th=3e-09,S2,2.0,P1,3e-09,neg,1.58,0.3,S2|2.0|P1|neg,2,0.5,0,weighted,1.0,1.0,2.0
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,S2,40.0,P3,1e-09,neg,1.58,0.5,S2|40.0|P3|neg,1,1.0,1,full,,,
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,S2,40.0,P3,1e-09,neg,1.58,0.5,S2|40.0|P3|neg,1,1.0,1,pruned,0.9999856624956222,1.834562996569662,1.0
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,S2,40.0,P3,1e-09,neg,1.58,0.5,S2|40.0|P3|neg,1,1.0,1,weighted,0.9999856624956222,1.834562996569662,1.0
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=1e-08,S3,10.0,P2,1e-08,neg,1.78,0.3,S3|10.0|P2|neg,1,0.3333333333333333,1,full,,,
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=1e-08,S3,10.0,P2,1e-08,neg,1.78,0.3,S3|10.0|P2|neg,1,0.3333333333333333,1,pruned,1.0,1.0,3.0
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=1e-08,S3,10.0,P2,1e-08,neg,1.78,0.3,S3|10.0|P2|neg,1,0.3333333333333333,1,weighted,1.0,1.0,3.0
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=1e-09,S3,10.0,P2,1e-09,neg,1.78,0.3,S3|10.0|P2|neg,2,0.3333333333333333,0,full,,,
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=1e-09,S3,10.0,P2,1e-09,neg,1.78,0.3,S3|10.0|P2|neg,2,0.3333333333333333,0,weighted,1.0,1.0,3.0
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=3e-09,S3,10.0,P2,3e-09,neg,1.78,0.3,S3|10.0|P2|neg,3,0.3333333333333333,0,full,,,
M33_V0_alpha_peak_robustness,t=10.0__pf=P2__th=3e-09,S3,10.0,P2,3e-09,neg,1.78,0.3,S3|10.0|P2|neg,3,0.3333333333333333,0,weighted,1.0,1.0,3.0
