run_id,mode,branch_label,sigma_factor,n_cases_effective,pair_separability_score,delta_p_separability_score,delta_p2_separability_score,signature_label
M33_V0_alpha_peak_robustness,pruned,S1,0.5,3.0,0.04472991318074243,0.3328171511198163,0.16335562199276077,class_specific
M33_V0_alpha_peak_robustness,pruned,S2,0.5,2.0,-0.2542186543586423,-0.12513508353626462,0.0,weak_or_none
M33_V0_alpha_peak_robustness,pruned,S3,0.5,1.0,,,,weak_or_none
M33_V0_alpha_peak_robustness,pruned,S1,0.75,3.0,0.03125096892427759,0.32004156567151404,0.1828259120686235,class_specific
M33_V0_alpha_peak_robustness,pruned,S2,0.75,2.0,-0.27053882124912026,-0.13248124386852428,0.0,weak_or_none
M33_V0_alpha_peak_robustness,pruned,S3,0.75,1.0,,,,weak_or_none
M33_V0_alpha_peak_robustness,pruned,S1,1.0,3.0,0.05731614832000595,0.27491258502789073,0.21860306563945522,class_specific
M33_V0_alpha_peak_robustness,pruned,S2,1.0,2.0,-0.26426457105109874,-0.1582060538213251,0.0,weak_or_none
M33_V0_alpha_peak_robustness,pruned,S3,1.0,1.0,,,,weak_or_none
M33_V0_alpha_peak_robustness,pruned,S1,1.25,3.0,0.09019876520262496,0.23217081992686261,0.24394984386947605,class_specific
M33_V0_alpha_peak_robustness,pruned,S2,1.25,2.0,-0.2454247257857427,-0.18442732948698595,0.0,weak_or_none
M33_V0_alpha_peak_robustness,pruned,S3,1.25,1.0,,,,weak_or_none
M33_V0_alpha_peak_robustness,pruned,S1,1.5,3.0,0.1120736122840465,0.21067157079744137,0.25734932815948014,class_specific
M33_V0_alpha_peak_robustness,pruned,S2,1.5,2.0,-0.22951032540727784,-0.20144831425430612,0.0,weak_or_none
M33_V0_alpha_peak_robustness,pruned,S3,1.5,1.0,,,,weak_or_none
M33_V0_alpha_peak_robustness,pruned,S1,2.0,3.0,0.11825599250322216,0.2072885762198863,0.2519836168077533,class_specific
M33_V0_alpha_peak_robustness,pruned,S2,2.0,2.0,-0.2013171068823323,-0.21873944992587147,0.0,weak_or_none
M33_V0_alpha_peak_robustness,pruned,S3,2.0,1.0,,,,weak_or_none
M33_V0_alpha_peak_robustness,pruned,S1,3.0,3.0,0.09276625886332648,0.22156589131591053,0.1960327128543602,class_specific
M33_V0_alpha_peak_robustness,pruned,S2,3.0,2.0,-0.15163177623001364,-0.21212116286720328,-1.1293572105315172e-07,weak_or_none
M33_V0_alpha_peak_robustness,pruned,S3,3.0,1.0,,,,weak_or_none
M33_V0_alpha_peak_robustness,weighted,S1,0.5,3.0,0.04472991318074243,0.3328171511198163,0.16335562199276077,class_specific
M33_V0_alpha_peak_robustness,weighted,S2,0.5,2.0,-0.054218654358642315,0.07486491646373539,0.2,class_specific
M33_V0_alpha_peak_robustness,weighted,S3,0.5,1.0,0.8067764288878052,0.7997838663419767,1.0,pair_specific
M33_V0_alpha_peak_robustness,weighted,S1,0.75,3.0,0.03125096892427759,0.32004156567151404,0.1828259120686235,class_specific
M33_V0_alpha_peak_robustness,weighted,S2,0.75,2.0,-0.07053882124912025,0.06751875613147573,0.2,class_specific
M33_V0_alpha_peak_robustness,weighted,S3,0.75,1.0,0.8399727836612302,0.7880300188204102,1.0,pair_specific
M33_V0_alpha_peak_robustness,weighted,S1,1.0,3.0,0.05731614832000595,0.27491258502789073,0.21860306563945522,class_specific
M33_V0_alpha_peak_robustness,weighted,S2,1.0,2.0,-0.06426457105109873,0.04179394617867491,0.2,class_specific
M33_V0_alpha_peak_robustness,weighted,S3,1.0,1.0,0.8674931374823357,0.7468740146673891,1.0,pair_specific
M33_V0_alpha_peak_robustness,weighted,S1,1.25,3.0,0.09019876520262496,0.23217081992686261,0.24394984386947605,class_specific
M33_V0_alpha_peak_robustness,weighted,S2,1.25,2.0,-0.04542472578574269,0.015572670513014086,0.2,class_specific
M33_V0_alpha_peak_robustness,weighted,S3,1.25,1.0,0.8840723480026319,0.7049735541029891,1.0,pair_specific
M33_V0_alpha_peak_robustness,weighted,S1,1.5,3.0,0.1120736122840465,0.21067157079744134,0.25734932815948014,class_specific
M33_V0_alpha_peak_robustness,weighted,S2,1.5,2.0,-0.029510325407277854,-0.00144831425430611,0.19999999999999998,class_specific
M33_V0_alpha_peak_robustness,weighted,S3,1.5,1.0,0.8942773075026872,0.6779326562307738,0.9999999999999998,pair_specific
M33_V0_alpha_peak_robustness,weighted,S1,2.0,3.0,0.11825599250322216,0.2072885762198863,0.2519836168077533,class_specific
M33_V0_alpha_peak_robustness,weighted,S2,2.0,2.0,-0.0013171068824898158,-0.018739449925871454,0.19999999999984247,class_specific
M33_V0_alpha_peak_robustness,weighted,S3,2.0,1.0,0.9063702486392633,0.6500168801201918,0.9999999999998568,pair_specific
M33_V0_alpha_peak_robustness,weighted,S1,3.0,3.0,0.09276625886332648,0.22156589131591053,0.1960327128543602,class_specific
M33_V0_alpha_peak_robustness,weighted,S2,3.0,2.0,0.04836798095571099,-0.022401355571507492,0.19999964425000358,class_specific
M33_V0_alpha_peak_robustness,weighted,S3,3.0,1.0,0.9257269048995631,0.6092041457049118,0.9999984304230521,pair_specific
