run_id,case_label,branch_label,mode,sigma_factor,sigma_p_test,t,p_family,theta,source_feature,best_p0,sigma_p_base,best_alpha_source,diversity_group,group_weight,class_mode,class_label,class_rank,sum_contrib_primary,normalized_class_contrib
M33_V0_alpha_peak_robustness,t=20.0__pf=P2__th=1e-08,S1,pruned,0.5,0.5,20.0,P2,1e-08,abs,4.0,1.0,1.42,S1|20.0|P2|abs,1.0,delta_p,dp=-3,1,5.138837603728135e-08,0.9998735985959357
M33_V0_alpha_peak_robustness,t=20.0__pf=P2__th=1e-08,S1,pruned,0.5,0.5,20.0,P2,1e-08,abs,4.0,1.0,1.42,S1|20.0|P2|abs,1.0,delta_p,dp=-2,2,6.4903246839337784e-12,0.0001262835060806918
M33_V0_alpha_peak_robustness,t=20.0__pf=P2__th=1e-08,S1,pruned,0.5,0.5,20.0,P2,1e-08,abs,4.0,1.0,1.42,S1|20.0|P2|abs,1.0,delta_p,dp=-5,3,6.059348422163598e-15,1.1789791737376422e-07
M33_V0_alpha_peak_robustness,t=20.0__pf=P2__th=1e-08,S1,pruned,0.5,0.5,20.0,P2,1e-08,abs,4.0,1.0,1.42,S1|20.0|P2|abs,1.0,delta_p,dp=-6,4,3.4010253760650875e-21,6.617441032219471e-14
M33_V0_alpha_peak_robustness,t=20.0__pf=P2__th=1e-08,S1,pruned,0.5,0.5,20.0,P2,1e-08,abs,4.0,1.0,1.42,S1|20.0|P2|abs,1.0,delta_p,dp=-1,5,8.271545439092034e-26,1.6094106375602629e-18
M33_V0_alpha_peak_robustness,t=20.0__pf=P2__th=1e-08,S1,pruned,0.5,0.5,20.0,P2,1e-08,abs,4.0,1.0,1.42,S1|20.0|P2|abs,1.0,delta_p,dp=-4,6,1.5193137727823564e-26,2.956158272614349e-19
M33_V0_alpha_peak_robustness,t=20.0__pf=P2__th=1e-08,S1,pruned,0.5,0.5,20.0,P2,1e-08,abs,4.0,1.0,1.42,S1|20.0|P2|abs,1.0,delta_p,dp=-7,7,2.2459303491433312e-29,4.369950236926328e-22
M33_V0_alpha_peak_robustness,t=20.0__pf=P2__th=1e-08,S1,pruned,0.5,0.5,20.0,P2,1e-08,abs,4.0,1.0,1.42,S1|20.0|P2|abs,1.0,delta_p,dp=-8,8,3.3252587896169365e-39,6.47002051558302e-32
M33_V0_alpha_peak_robustness,t=20.0__pf=P2__th=1e-08,S1,pruned,0.5,0.5,20.0,P2,1e-08,abs,4.0,1.0,1.42,S1|20.0|P2|abs,1.0,delta_p,dp=-10,9,1.8871696386407923e-63,3.6719025648520704e-56
M33_V0_alpha_peak_robustness,t=20.0__pf=P2__th=1e-08,S1,pruned,0.5,0.5,20.0,P2,1e-08,abs,4.0,1.0,1.42,S1|20.0|P2|abs,1.0,delta_p2,dp2=-27,1,5.138837603623357e-08,0.999873598575549
