run_id,case_id,reference_mode,class_mode,top_k,branch_label_none,branch_label_quadratic,class_overlap_none_vs_quadratic,weighted_class_shift,identity_preserved_flag
config_m33_v0,P0__k0=-4__sk=0.3__t=2__nu=0.02,pruned,delta_p,1,S3,S3,1.0,0.0,1
config_m33_v0,P0__k0=-4__sk=0.3__t=2__nu=0.02,pruned,delta_p,3,S3,S3,1.0,0.0,1
config_m33_v0,P0__k0=-4__sk=0.3__t=2__nu=0.02,pruned,delta_p,5,S3,S3,1.0,0.0,1
config_m33_v0,P0__k0=-4__sk=0.3__t=2__nu=0.02,pruned,delta_p,10,S3,S3,1.0,0.0,1
config_m33_v0,P0__k0=-4__sk=0.3__t=2__nu=0.02,pruned,delta_p2,1,S3,S3,1.0,0.0,1
config_m33_v0,P0__k0=-4__sk=0.3__t=2__nu=0.02,pruned,delta_p2,3,S3,S3,1.0,0.0,1
config_m33_v0,P0__k0=-4__sk=0.3__t=2__nu=0.02,pruned,delta_p2,5,S3,S3,1.0,0.0,1
config_m33_v0,P0__k0=-4__sk=0.3__t=2__nu=0.02,pruned,delta_p2,10,S3,S3,1.0,0.0,1
config_m33_v0,P0__k0=-4__sk=0.3__t=5__nu=0.02,pruned,delta_p,1,S3,S3,1.0,0.0,1
config_m33_v0,P0__k0=-4__sk=0.3__t=5__nu=0.02,pruned,delta_p,3,S3,S3,1.0,0.0,1
config_m33_v0,P0__k0=-4__sk=0.3__t=5__nu=0.02,pruned,delta_p,5,S3,S3,1.0,0.0,1
config_m33_v0,P0__k0=-4__sk=0.3__t=5__nu=0.02,pruned,delta_p,10,S3,S3,1.0,0.0,1
config_m33_v0,P0__k0=-4__sk=0.3__t=5__nu=0.02,pruned,delta_p2,1,S3,S3,1.0,0.0,1
config_m33_v0,P0__k0=-4__sk=0.3__t=5__nu=0.02,pruned,delta_p2,3,S3,S3,1.0,0.0,1
config_m33_v0,P0__k0=-4__sk=0.3__t=5__nu=0.02,pruned,delta_p2,5,S3,S3,1.0,0.0,1
config_m33_v0,P0__k0=-4__sk=0.3__t=5__nu=0.02,pruned,delta_p2,10,S3,S3,1.0,0.0,1
config_m33_v0,P0__k0=-4__sk=0.3__t=10__nu=0.02,pruned,delta_p,1,S3,S3,1.0,0.0,1
config_m33_v0,P0__k0=-4__sk=0.3__t=10__nu=0.02,pruned,delta_p,3,S3,S3,1.0,0.0,1
config_m33_v0,P0__k0=-4__sk=0.3__t=10__nu=0.02,pruned,delta_p,5,S3,S3,1.0,0.0,1
config_m33_v0,P0__k0=-4__sk=0.3__t=10__nu=0.02,pruned,delta_p,10,S3,S3,1.0,0.0,1
config_m33_v0,P0__k0=-4__sk=0.3__t=10__nu=0.02,pruned,delta_p2,1,S3,S3,1.0,0.0,1
config_m33_v0,P0__k0=-4__sk=0.3__t=10__nu=0.02,pruned,delta_p2,3,S3,S3,1.0,0.0,1
config_m33_v0,P0__k0=-4__sk=0.3__t=10__nu=0.02,pruned,delta_p2,5,S3,S3,1.0,0.0,1
config_m33_v0,P0__k0=-4__sk=0.3__t=10__nu=0.02,pruned,delta_p2,10,S3,S3,1.0,0.0,1
config_m33_v0,P0__k0=-4__sk=0.5__t=2__nu=0.02,pruned,delta_p,1,S3,S3,1.0,0.0,1
config_m33_v0,P0__k0=-4__sk=0.5__t=2__nu=0.02,pruned,delta_p,3,S3,S3,1.0,0.0,1
config_m33_v0,P0__k0=-4__sk=0.5__t=2__nu=0.02,pruned,delta_p,5,S3,S3,1.0,0.0,1
config_m33_v0,P0__k0=-4__sk=0.5__t=2__nu=0.02,pruned,delta_p,10,S3,S3,1.0,0.0,1
config_m33_v0,P0__k0=-4__sk=0.5__t=2__nu=0.02,pruned,delta_p2,1,S3,S3,1.0,-5.551115123125783e-16,1
config_m33_v0,P0__k0=-4__sk=0.5__t=2__nu=0.02,pruned,delta_p2,3,S3,S3,1.0,-5.551115123125783e-16,1
config_m33_v0,P0__k0=-4__sk=0.5__t=2__nu=0.02,pruned,delta_p2,5,S3,S3,1.0,-5.551115123125783e-16,1
config_m33_v0,P0__k0=-4__sk=0.5__t=2__nu=0.02,pruned,delta_p2,10,S3,S3,1.0,-5.551115123125783e-16,1
config_m33_v0,P0__k0=-4__sk=0.5__t=5__nu=0.02,pruned,delta_p,1,S3,S3,1.0,0.0,1
config_m33_v0,P0__k0=-4__sk=0.5__t=5__nu=0.02,pruned,delta_p,3,S3,S3,1.0,0.0,1
config_m33_v0,P0__k0=-4__sk=0.5__t=5__nu=0.02,pruned,delta_p,5,S3,S3,1.0,0.0,1
config_m33_v0,P0__k0=-4__sk=0.5__t=5__nu=0.02,pruned,delta_p,10,S3,S3,1.0,0.0,1
config_m33_v0,P0__k0=-4__sk=0.5__t=5__nu=0.02,pruned,delta_p2,1,S3,S3,1.0,7.771561172376096e-16,1
config_m33_v0,P0__k0=-4__sk=0.5__t=5__nu=0.02,pruned,delta_p2,3,S3,S3,1.0,7.771561172376096e-16,1
config_m33_v0,P0__k0=-4__sk=0.5__t=5__nu=0.02,pruned,delta_p2,5,S3,S3,1.0,7.771561172376096e-16,1
config_m33_v0,P0__k0=-4__sk=0.5__t=5__nu=0.02,pruned,delta_p2,10,S3,S3,1.0,7.771561172376096e-16,1
config_m33_v0,P0__k0=-4__sk=0.5__t=10__nu=0.02,pruned,delta_p,1,S3,S3,1.0,0.0,1
config_m33_v0,P0__k0=-4__sk=0.5__t=10__nu=0.02,pruned,delta_p,3,S3,S3,1.0,0.0,1
config_m33_v0,P0__k0=-4__sk=0.5__t=10__nu=0.02,pruned,delta_p,5,S3,S3,1.0,0.0,1
config_m33_v0,P0__k0=-4__sk=0.5__t=10__nu=0.02,pruned,delta_p,10,S3,S3,1.0,0.0,1
config_m33_v0,P0__k0=-4__sk=0.5__t=10__nu=0.02,pruned,delta_p2,1,S3,S3,1.0,-2.220446049250313e-16,1
config_m33_v0,P0__k0=-4__sk=0.5__t=10__nu=0.02,pruned,delta_p2,3,S3,S3,1.0,-2.220446049250313e-16,1
config_m33_v0,P0__k0=-4__sk=0.5__t=10__nu=0.02,pruned,delta_p2,5,S3,S3,1.0,-2.220446049250313e-16,1
config_m33_v0,P0__k0=-4__sk=0.5__t=10__nu=0.02,pruned,delta_p2,10,S3,S3,1.0,-2.220446049250313e-16,1
config_m33_v0,P0__k0=-4__sk=0.8__t=2__nu=0.02,pruned,delta_p,1,S3,S3,1.0,-8.325673483966511e-12,1
config_m33_v0,P0__k0=-4__sk=0.8__t=2__nu=0.02,pruned,delta_p,3,S3,S3,1.0,-8.325673483966511e-12,1
config_m33_v0,P0__k0=-4__sk=0.8__t=2__nu=0.02,pruned,delta_p,5,S3,S3,1.0,-8.325673483966511e-12,1
config_m33_v0,P0__k0=-4__sk=0.8__t=2__nu=0.02,pruned,delta_p,10,S3,S3,1.0,-8.325673483966511e-12,1
config_m33_v0,P0__k0=-4__sk=0.8__t=2__nu=0.02,pruned,delta_p2,1,S3,S3,1.0,-9.685249408031282e-07,1
config_m33_v0,P0__k0=-4__sk=0.8__t=2__nu=0.02,pruned,delta_p2,3,S3,S3,1.0,-9.685249408031282e-07,1
config_m33_v0,P0__k0=-4__sk=0.8__t=2__nu=0.02,pruned,delta_p2,5,S3,S3,1.0,-9.685249408031282e-07,1
config_m33_v0,P0__k0=-4__sk=0.8__t=2__nu=0.02,pruned,delta_p2,10,S3,S3,1.0,-9.685249408031282e-07,1
config_m33_v0,P0__k0=-4__sk=0.8__t=5__nu=0.02,pruned,delta_p,1,S3,S3,1.0,-6.098199722970321e-11,1
config_m33_v0,P0__k0=-4__sk=0.8__t=5__nu=0.02,pruned,delta_p,3,S3,S3,1.0,-6.098199722970321e-11,1
config_m33_v0,P0__k0=-4__sk=0.8__t=5__nu=0.02,pruned,delta_p,5,S3,S3,1.0,-6.098199722970321e-11,1
config_m33_v0,P0__k0=-4__sk=0.8__t=5__nu=0.02,pruned,delta_p,10,S3,S3,1.0,-6.098199722970321e-11,1
config_m33_v0,P0__k0=-4__sk=0.8__t=5__nu=0.02,pruned,delta_p2,1,S3,S3,1.0,1.8994904372737764e-06,1
config_m33_v0,P0__k0=-4__sk=0.8__t=5__nu=0.02,pruned,delta_p2,3,S3,S3,1.0,1.8994904372737764e-06,1
config_m33_v0,P0__k0=-4__sk=0.8__t=5__nu=0.02,pruned,delta_p2,5,S3,S3,1.0,1.8994904372737764e-06,1
config_m33_v0,P0__k0=-4__sk=0.8__t=5__nu=0.02,pruned,delta_p2,10,S3,S3,1.0,1.8994904372737764e-06,1
config_m33_v0,P0__k0=-4__sk=0.8__t=10__nu=0.02,pruned,delta_p,1,S3,S3,1.0,-8.764100556390986e-13,1
config_m33_v0,P0__k0=-4__sk=0.8__t=10__nu=0.02,pruned,delta_p,3,S3,S3,1.0,-8.764100556390986e-13,1
config_m33_v0,P0__k0=-4__sk=0.8__t=10__nu=0.02,pruned,delta_p,5,S3,S3,1.0,-8.764100556390986e-13,1
config_m33_v0,P0__k0=-4__sk=0.8__t=10__nu=0.02,pruned,delta_p,10,S3,S3,1.0,-8.764100556390986e-13,1
