run_id,reference_mode,branch_from,branch_to,n_cases,fraction,mode
config_m33_v0,pruned,NONE,NONE,235,0.9791666666666666,hard
config_m33_v0,pruned,NONE,S2,2,0.008333333333333333,hard
config_m33_v0,pruned,NONE,S3,1,0.004166666666666667,hard
config_m33_v0,pruned,S3,S3,2,0.008333333333333333,hard
config_m33_v0,weighted,NONE,NONE,230,0.9583333333333334,hard
config_m33_v0,weighted,NONE,S1,2,0.008333333333333333,hard
config_m33_v0,weighted,NONE,S2,1,0.004166666666666667,hard
config_m33_v0,weighted,S1,NONE,1,0.004166666666666667,hard
config_m33_v0,weighted,S1,S1,5,0.020833333333333332,hard
config_m33_v0,weighted,S2,NONE,1,0.004166666666666667,hard
config_m33_v0,pruned,S2,S2,32,0.13333333333333333,nearest
config_m33_v0,pruned,S2,S3,2,0.008333333333333333,nearest
config_m33_v0,pruned,S3,S2,2,0.008333333333333333,nearest
config_m33_v0,pruned,S3,S3,204,0.85,nearest
config_m33_v0,weighted,S1,S1,216,0.9,nearest
config_m33_v0,weighted,S1,S2,3,0.0125,nearest
config_m33_v0,weighted,S2,S1,2,0.008333333333333333,nearest
config_m33_v0,weighted,S2,S2,19,0.07916666666666666,nearest
config_m33_v0,pruned,S2,S2,32,0.13333333333333333,soft
config_m33_v0,pruned,S2,S3,2,0.008333333333333333,soft
config_m33_v0,pruned,S3,S2,2,0.008333333333333333,soft
config_m33_v0,pruned,S3,S3,204,0.85,soft
config_m33_v0,weighted,S1,S1,216,0.9,soft
config_m33_v0,weighted,S1,S2,3,0.0125,soft
config_m33_v0,weighted,S2,S1,2,0.008333333333333333,soft
config_m33_v0,weighted,S2,S2,19,0.07916666666666666,soft
