run_id,case_id,reference_mode,top_k,pair_i,pair_j,present_in_none,present_in_quadratic,rank_none,rank_quadratic,weight_none,weight_quadratic,rank_shift,weight_shift,migration_type
config_m33_v0,P0__k0=-4__sk=0.3__t=2__nu=0.02,pruned,1,0,1,1,1,1,1,1.0,1.0,0,0.0,shared
config_m33_v0,P0__k0=-4__sk=0.3__t=2__nu=0.02,pruned,3,0,1,1,1,1,1,1.0,1.0,0,0.0,shared
config_m33_v0,P0__k0=-4__sk=0.3__t=2__nu=0.02,pruned,3,0,2,1,1,2,2,1.260349568095895e-18,3.0320609544828174e-18,0,1.7717113863869225e-18,shared
config_m33_v0,P0__k0=-4__sk=0.3__t=2__nu=0.02,pruned,3,1,2,1,1,3,3,1.1143831578403409e-29,1.4925345913517722e-29,0,3.7815143351143136e-30,shared
config_m33_v0,P0__k0=-4__sk=0.3__t=2__nu=0.02,pruned,5,0,1,1,1,1,1,1.0,1.0,0,0.0,shared
config_m33_v0,P0__k0=-4__sk=0.3__t=2__nu=0.02,pruned,5,0,2,1,1,2,2,1.260349568095895e-18,3.0320609544828174e-18,0,1.7717113863869225e-18,shared
config_m33_v0,P0__k0=-4__sk=0.3__t=2__nu=0.02,pruned,5,0,3,1,1,4,4,8.583283837728854e-44,1.3101840104166393e-43,0,4.518556266437539e-44,shared
config_m33_v0,P0__k0=-4__sk=0.3__t=2__nu=0.02,pruned,5,1,2,1,1,3,3,1.1143831578403409e-29,1.4925345913517722e-29,0,3.7815143351143136e-30,shared
config_m33_v0,P0__k0=-4__sk=0.3__t=2__nu=0.02,pruned,5,1,3,1,1,5,5,8.114919044855144e-55,1.7415298380104028e-54,0,9.300379335248884e-55,shared
config_m33_v0,P0__k0=-4__sk=0.3__t=2__nu=0.02,pruned,10,0,1,1,1,1,1,1.0,1.0,0,0.0,shared
config_m33_v0,P0__k0=-4__sk=0.3__t=2__nu=0.02,pruned,10,0,2,1,1,2,2,1.260349568095895e-18,3.0320609544828174e-18,0,1.7717113863869225e-18,shared
config_m33_v0,P0__k0=-4__sk=0.3__t=2__nu=0.02,pruned,10,0,3,1,1,4,4,8.583283837728854e-44,1.3101840104166393e-43,0,4.518556266437539e-44,shared
config_m33_v0,P0__k0=-4__sk=0.3__t=2__nu=0.02,pruned,10,0,4,1,1,7,7,3.484032227407433e-77,7.592128303583165e-77,0,4.1080960761757326e-77,shared
config_m33_v0,P0__k0=-4__sk=0.3__t=2__nu=0.02,pruned,10,0,5,1,1,10,10,3.1094998962063375e-116,6.315500778335198e-116,0,3.2060008821288606e-116,shared
config_m33_v0,P0__k0=-4__sk=0.3__t=2__nu=0.02,pruned,10,1,2,1,1,3,3,1.1143831578403409e-29,1.4925345913517722e-29,0,3.7815143351143136e-30,shared
config_m33_v0,P0__k0=-4__sk=0.3__t=2__nu=0.02,pruned,10,1,3,1,1,5,5,8.114919044855144e-55,1.7415298380104028e-54,0,9.300379335248884e-55,shared
config_m33_v0,P0__k0=-4__sk=0.3__t=2__nu=0.02,pruned,10,1,4,1,1,8,8,3.193046800010306e-87,5.602633373052287e-87,0,2.4095865730419808e-87,shared
config_m33_v0,P0__k0=-4__sk=0.3__t=2__nu=0.02,pruned,10,2,3,1,1,6,6,4.145590013564104e-73,6.923578098432527e-73,0,2.7779880848684228e-73,shared
