family_id,family_role,pair_i,pair_j,p_i,p_j,delta_p,delta_p_abs,delta_p2,delta_p2_abs,sum_p,mean_p,delta_p2_bucket,branch_identity,identity_strength,branch_match_frac,sigma_light_score
F1,control,0,1,-4.0,-2.0,-2.0,2.0,12.0,12.0,-6.0,-3.0,positive,positive,0.6,0.6499999999999999,0.6
F1,control,0,2,-4.0,-1.0,-3.0,3.0,15.0,15.0,-5.0,-2.5,positive,positive,0.75,0.725,0.75
F1,control,0,3,-4.0,0.0,-4.0,4.0,16.0,16.0,-4.0,-2.0,positive,positive,0.8,0.75,0.8
F1,control,0,4,-4.0,1.0,-5.0,5.0,15.0,15.0,-3.0,-1.5,positive,positive,0.75,0.725,0.75
F1,control,0,5,-4.0,2.0,-6.0,6.0,12.0,12.0,-2.0,-1.0,positive,positive,0.6,0.6499999999999999,0.6
F1,control,0,6,-4.0,4.0,-8.0,8.0,0.0,0.0,0.0,0.0,zero,control_like,0.0,0.35,0.0
F1,control,1,2,-2.0,-1.0,-1.0,1.0,3.0,3.0,-3.0,-1.5,positive,positive,0.15,0.425,0.15
F1,control,1,3,-2.0,0.0,-2.0,2.0,4.0,4.0,-2.0,-1.0,positive,positive,0.2,0.44999999999999996,0.2
F1,control,1,4,-2.0,1.0,-3.0,3.0,3.0,3.0,-1.0,-0.5,positive,positive,0.15,0.425,0.15
F1,control,1,5,-2.0,2.0,-4.0,4.0,0.0,0.0,0.0,0.0,zero,control_like,0.0,0.35,0.0
F1,control,1,6,-2.0,4.0,-6.0,6.0,-12.0,12.0,2.0,1.0,large_negative,large_negative,0.6,0.6499999999999999,0.6
F1,control,2,3,-1.0,0.0,-1.0,1.0,1.0,1.0,-1.0,-0.5,positive,positive,0.05,0.375,0.05
F1,control,2,4,-1.0,1.0,-2.0,2.0,0.0,0.0,0.0,0.0,zero,control_like,0.0,0.35,0.0
F1,control,2,5,-1.0,2.0,-3.0,3.0,-3.0,3.0,1.0,0.5,compact_negative,compact_negative,0.15,0.425,0.15
F1,control,2,6,-1.0,4.0,-5.0,5.0,-15.0,15.0,3.0,1.5,large_negative,large_negative,0.75,0.725,0.75
F1,control,3,4,0.0,1.0,-1.0,1.0,-1.0,1.0,1.0,0.5,compact_negative,compact_negative,0.05,0.375,0.05
F1,control,3,5,0.0,2.0,-2.0,2.0,-4.0,4.0,2.0,1.0,compact_negative,compact_negative,0.2,0.44999999999999996,0.2
F1,control,3,6,0.0,4.0,-4.0,4.0,-16.0,16.0,4.0,2.0,large_negative,large_negative,0.8,0.75,0.8
F1,control,4,5,1.0,2.0,-1.0,1.0,-3.0,3.0,3.0,1.5,compact_negative,compact_negative,0.15,0.425,0.15
F1,control,4,6,1.0,4.0,-3.0,3.0,-15.0,15.0,5.0,2.5,large_negative,large_negative,0.75,0.725,0.75
F1,control,5,6,2.0,4.0,-2.0,2.0,-12.0,12.0,6.0,3.0,large_negative,large_negative,0.6,0.6499999999999999,0.6
F2,compact_negative,0,1,-3.0,-2.0,-1.0,1.0,5.0,5.0,-5.0,-2.5,positive,positive,0.25,0.475,0.25
F2,compact_negative,0,2,-3.0,-0.5,-2.5,2.5,8.75,8.75,-3.5,-1.75,positive,positive,0.4375,0.56875,0.4375
F2,compact_negative,0,3,-3.0,0.0,-3.0,3.0,9.0,9.0,-3.0,-1.5,positive,positive,0.45,0.575,0.45
F2,compact_negative,0,4,-3.0,1.0,-4.0,4.0,8.0,8.0,-2.0,-1.0,positive,positive,0.4,0.55,0.4
F2,compact_negative,0,5,-3.0,2.5,-5.5,5.5,2.75,2.75,-0.5,-0.25,positive,positive,0.1375,0.41874999999999996,0.1375
F2,compact_negative,0,6,-3.0,4.0,-7.0,7.0,-7.0,7.0,1.0,0.5,compact_negative,compact_negative,0.35,0.5249999999999999,0.35
F2,compact_negative,1,2,-2.0,-0.5,-1.5,1.5,3.75,3.75,-2.5,-1.25,positive,positive,0.1875,0.44375,0.1875
F2,compact_negative,1,3,-2.0,0.0,-2.0,2.0,4.0,4.0,-2.0,-1.0,positive,positive,0.2,0.44999999999999996,0.2
F2,compact_negative,1,4,-2.0,1.0,-3.0,3.0,3.0,3.0,-1.0,-0.5,positive,positive,0.15,0.425,0.15
F2,compact_negative,1,5,-2.0,2.5,-4.5,4.5,-2.25,2.25,0.5,0.25,compact_negative,compact_negative,0.1125,0.40625,0.1125
F2,compact_negative,1,6,-2.0,4.0,-6.0,6.0,-12.0,12.0,2.0,1.0,large_negative,large_negative,0.6,0.6499999999999999,0.6
F2,compact_negative,2,3,-0.5,0.0,-0.5,0.5,0.25,0.25,-0.5,-0.25,positive,positive,0.0125,0.35624999999999996,0.0125
F2,compact_negative,2,4,-0.5,1.0,-1.5,1.5,-0.75,0.75,0.5,0.25,compact_negative,compact_negative,0.0375,0.36874999999999997,0.0375
F2,compact_negative,2,5,-0.5,2.5,-3.0,3.0,-6.0,6.0,2.0,1.0,compact_negative,compact_negative,0.3,0.5,0.3
F2,compact_negative,2,6,-0.5,4.0,-4.5,4.5,-15.75,15.75,3.5,1.75,large_negative,large_negative,0.7875,0.7437499999999999,0.7875
F2,compact_negative,3,4,0.0,1.0,-1.0,1.0,-1.0,1.0,1.0,0.5,compact_negative,compact_negative,0.05,0.375,0.05
F2,compact_negative,3,5,0.0,2.5,-2.5,2.5,-6.25,6.25,2.5,1.25,compact_negative,compact_negative,0.3125,0.50625,0.3125
F2,compact_negative,3,6,0.0,4.0,-4.0,4.0,-16.0,16.0,4.0,2.0,large_negative,large_negative,0.8,0.75,0.8
F2,compact_negative,4,5,1.0,2.5,-1.5,1.5,-5.25,5.25,3.5,1.75,compact_negative,compact_negative,0.2625,0.48124999999999996,0.2625
F2,compact_negative,4,6,1.0,4.0,-3.0,3.0,-15.0,15.0,5.0,2.5,large_negative,large_negative,0.75,0.725,0.75
