run_id,t,p_family,theta,alpha_star_source,alpha_coherent_global,alpha_coherent_band,preferred_scope,preferred_alpha_coherent,delta_source_global,delta_source_band,delta_source_preferred,source_peak_flag,readout_peak_flag,coherent_peak_flag,t0_control_flag,asymmetry_valid_flag,combined_label
M33_V0_alpha_peak_robustness,0.0,P0,1e-09,,,,none,,,,,0,0,0,1,1,Q0
M33_V0_alpha_peak_robustness,0.0,P0,3e-09,,,,none,,,,,0,0,0,1,1,Q0
M33_V0_alpha_peak_robustness,0.0,P0,1e-08,,,,none,,,,,0,0,0,1,1,Q0
M33_V0_alpha_peak_robustness,0.0,P1,1e-09,,,,none,,,,,0,0,0,1,1,Q0
M33_V0_alpha_peak_robustness,0.0,P1,3e-09,,,,none,,,,,0,0,0,1,1,Q0
M33_V0_alpha_peak_robustness,0.0,P1,1e-08,,,,none,,,,,0,0,0,1,1,Q0
M33_V0_alpha_peak_robustness,0.0,P2,1e-09,,,,none,,,,,0,0,0,1,1,Q0
M33_V0_alpha_peak_robustness,0.0,P2,3e-09,,,,none,,,,,0,0,0,1,1,Q0
M33_V0_alpha_peak_robustness,0.0,P2,1e-08,,,,none,,,,,0,0,0,1,1,Q0
M33_V0_alpha_peak_robustness,0.0,P3,1e-09,,,,none,,,,,0,0,0,1,1,Q0
M33_V0_alpha_peak_robustness,0.0,P3,3e-09,,,,none,,,,,0,0,0,1,1,Q0
M33_V0_alpha_peak_robustness,0.0,P3,1e-08,,,,none,,,,,0,0,0,1,1,Q0
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,,1.0,1.58,band,1.58,,,,0,1,0,1,1,Q0
M33_V0_alpha_peak_robustness,2.0,P0,3e-09,,1.0,1.58,band,1.58,,,,0,1,0,1,1,Q0
M33_V0_alpha_peak_robustness,2.0,P0,1e-08,,1.0,1.58,band,1.58,,,,0,1,0,1,1,Q0
M33_V0_alpha_peak_robustness,2.0,P1,1e-09,2.9,1.58,1.58,band,1.58,1.3199999999999998,1.3199999999999998,1.3199999999999998,0,1,0,1,1,Q0
M33_V0_alpha_peak_robustness,2.0,P1,3e-09,2.9,1.58,1.58,band,1.58,1.3199999999999998,1.3199999999999998,1.3199999999999998,0,1,0,1,1,Q0
M33_V0_alpha_peak_robustness,2.0,P1,1e-08,2.9,1.58,1.58,band,1.58,1.3199999999999998,1.3199999999999998,1.3199999999999998,0,1,0,1,1,Q0
M33_V0_alpha_peak_robustness,2.0,P2,1e-09,2.9,2.6,1.48,band,1.48,0.2999999999999998,1.42,1.42,0,1,0,1,1,Q0
M33_V0_alpha_peak_robustness,2.0,P2,3e-09,2.9,2.6,1.48,band,1.48,0.2999999999999998,1.42,1.42,0,1,0,1,1,Q0
M33_V0_alpha_peak_robustness,2.0,P2,1e-08,2.9,2.6,1.58,band,1.58,0.2999999999999998,1.3199999999999998,1.3199999999999998,0,1,0,1,1,Q0
M33_V0_alpha_peak_robustness,2.0,P3,1e-09,1.78,2.6,1.52,band,1.52,0.8200000000000001,0.26,0.26,1,1,0,1,1,Q1
M33_V0_alpha_peak_robustness,2.0,P3,3e-09,1.78,2.6,1.52,band,1.52,0.8200000000000001,0.26,0.26,1,1,0,1,1,Q1
M33_V0_alpha_peak_robustness,2.0,P3,1e-08,1.78,2.6,1.51,band,1.51,0.8200000000000001,0.27,0.27,1,1,0,1,1,Q1
M33_V0_alpha_peak_robustness,5.0,P0,1e-09,1.2,2.9,1.4100000000000001,band,1.4100000000000001,1.7,0.2100000000000002,0.2100000000000002,0,1,0,1,1,Q0
M33_V0_alpha_peak_robustness,5.0,P0,3e-09,1.2,2.9,1.4100000000000001,band,1.4100000000000001,1.7,0.2100000000000002,0.2100000000000002,0,1,0,1,1,Q0
M33_V0_alpha_peak_robustness,5.0,P0,1e-08,1.2,2.9,,global,2.9,1.7,,1.7,0,1,0,1,1,Q0
