family_id,variant_id,block_id,model_class,block_positive_flag,dominant_marker,interpretation_note,extra
ER1_RING,RING_SIGNED,ring_special_case,ring_schrodinger_quadratic,1,delta_p,Ring-Sonderfall spricht für Richtungs-/Degenerazie-/Regularitätsbeitrag.,"{'sign_sensitivity_flag': 1, 'degeneracy_sensitivity_flag': 0, 'ladder_regular_flag': 0, 'delta_p2_blind_to_direction_flag': 1}"
ER1_RING,RING_ABS,ring_special_case,ring_schrodinger_quadratic,0,delta_p,Ring-Sonderfall aktuell ohne klaren Richtungs-/Degeneraziehinweis.,"{'sign_sensitivity_flag': 0, 'degeneracy_sensitivity_flag': 0, 'ladder_regular_flag': 0, 'delta_p2_blind_to_direction_flag': 0}"
ER1_RING,RING_DEGEN_SAFE,ring_special_case,ring_schrodinger_quadratic,0,delta_p,Ring-Sonderfall aktuell ohne klaren Richtungs-/Degeneraziehinweis.,"{'sign_sensitivity_flag': 0, 'degeneracy_sensitivity_flag': 0, 'ladder_regular_flag': 0, 'delta_p2_blind_to_direction_flag': 0}"
ER1_RING,RING_SIGNED,dispersion_corrected_energy,ring_schrodinger_quadratic,1,delta_p,Dispersiontest stützt modellabhängige Energie/Eigenwert-Lesart.,"{'energy_marker_best': 'delta_p2', 'eigenvalue_marker_best': 'delta_p2', 'energy_vs_eigenvalue_margin': 0.0}"
ER1_RING,RING_ABS,dispersion_corrected_energy,ring_schrodinger_quadratic,1,delta_p,Dispersiontest stützt modellabhängige Energie/Eigenwert-Lesart.,"{'energy_marker_best': 'delta_p2', 'eigenvalue_marker_best': 'delta_p2', 'energy_vs_eigenvalue_margin': 0.0}"
ER1_RING,RING_DEGEN_SAFE,dispersion_corrected_energy,ring_schrodinger_quadratic,1,delta_p,Dispersiontest stützt modellabhängige Energie/Eigenwert-Lesart.,"{'energy_marker_best': 'delta_p2', 'eigenvalue_marker_best': 'delta_p2', 'energy_vs_eigenvalue_margin': 0.0}"
ER1_RING,RING_SIGNED,irregularity,ring_schrodinger_quadratic,0,delta_p,Irregularitätsblock aktuell ohne klare Strukturkopplung.,"{'spacing_mean': 1.2, 'spacing_std': 0.4, 'spacing_cv': 0.33333333333333337, 'spacing_ratio_mean': 0.75, 'simple_unfolding_density': 7.199999999999999, 'simple_rigidity_surrogate': 0.16, 'delta_p_effect': 0.5977153639905991, 'p_sum_effect': 0.0, 'product_effect': 0.0, 'interaction_gain_flag': 0}"
ER1_RING,RING_ABS,irregularity,ring_schrodinger_quadratic,1,delta_p,Irregularitätsblock stützt Struktur-/Spacing-Lesart.,"{'spacing_mean': 0.4, 'spacing_std': 0.48989794855663565, 'spacing_cv': 1.2247448713915892, 'spacing_ratio_mean': 0.0, 'simple_unfolding_density': 7.199999999999999, 'simple_rigidity_surrogate': 0.24000000000000005, 'delta_p_effect': 0.7071067811865475, 'p_sum_effect': 0.0, 'product_effect': 0.6488856845230501, 'interaction_gain_flag': 0}"
ER1_RING,RING_DEGEN_SAFE,irregularity,ring_schrodinger_quadratic,1,delta_p,Irregularitätsblock stützt Struktur-/Spacing-Lesart.,"{'spacing_mean': 1.2, 'spacing_std': 0.4, 'spacing_cv': 0.33333333333333337, 'spacing_ratio_mean': 0.75, 'simple_unfolding_density': 7.199999999999999, 'simple_rigidity_surrogate': 0.16, 'delta_p_effect': 0.7071067811865475, 'p_sum_effect': 0.0, 'product_effect': 0.6488856845230501, 'interaction_gain_flag': 0}"
ER2_CAVITY,CAVITY_STANDARD,dispersion_corrected_energy,cavity_helmholtz_linear_energy,1,abs_delta_k,Dispersiontest stützt modellabhängige Energie/Eigenwert-Lesart.,"{'energy_marker_best': 'delta_k', 'eigenvalue_marker_best': 'delta_k2', 'energy_vs_eigenvalue_margin': -0.011411351172878781}"
ER2_CAVITY,CAVITY_STANDARD,irregularity,cavity_helmholtz_linear_energy,0,abs_delta_k,Irregularitätsblock aktuell ohne klare Strukturkopplung.,"{'spacing_mean': 0.5842053096316764, 'spacing_std': 0.13758452075231867, 'spacing_cv': 0.23550713847339305, 'spacing_ratio_mean': 0.7924491734087854, 'simple_unfolding_density': 9.142857142857142, 'simple_rigidity_surrogate': 0.018929500350645206, 'delta_p_effect': 0.4361603081926553, 'p_sum_effect': 0.08477221734566119, 'product_effect': 0.4247489570197765, 'interaction_gain_flag': 0}"
ER3_MEMBRANE,MEMBRANE_STANDARD,dispersion_corrected_energy,membrane_helmholtz_bessel,1,delta_k,Dispersiontest stützt modellabhängige Energie/Eigenwert-Lesart.,"{'energy_marker_best': 'delta_k', 'eigenvalue_marker_best': 'delta_k2', 'energy_vs_eigenvalue_margin': -0.0466931857673577}"
ER3_MEMBRANE,MEMBRANE_STANDARD,irregularity,membrane_helmholtz_bessel,0,delta_k,Irregularitätsblock aktuell ohne klare Strukturkopplung.,"{'spacing_mean': 0.892700336457143, 'spacing_std': 0.4582063705162735, 'spacing_cv': 0.5132812790625303, 'spacing_ratio_mean': 0.5027529366967777, 'simple_unfolding_density': 9.142857142857142, 'simple_rigidity_surrogate': 0.20995307798169652, 'delta_p_effect': 0.5456342884113906, 'p_sum_effect': 0.16135982866827656, 'product_effect': 0.4989411026440329, 'interaction_gain_flag': 0}"
