pair_set_id,feature_name,mean_relative_contribution,mean_weighted_difference
FSW_CORE_VS_AO_JUMP,simple_rigidity_surrogate,0.39099591520819926,0.6809594700212138
FSW_CORE_VS_AO_JUMP,grid_deviation_score,0.30200979939766875,0.5259009009009005
FSW_CORE_VS_AO_JUMP,delta_p2_relative_gain_vs_type_A,0.17098763513979337,0.29854368932038855
FSW_CORE_VS_AO_JUMP,distance_to_type_D,0.1222888732404822,0.2128579066175596
FSW_CORE_VS_AO_JUMP,spacing_cv,0.013717777013856458,0.0241444721691682
FSW_CORE_VS_AO_PREJUMP,simple_rigidity_surrogate,0.3012331548112305,0.3931407942238264
FSW_CORE_VS_AO_PREJUMP,grid_deviation_score,0.2728573160161574,0.3536036036036033
FSW_CORE_VS_AO_PREJUMP,delta_p2_relative_gain_vs_type_A,0.1949239781559479,0.25
FSW_CORE_VS_AO_PREJUMP,distance_to_type_D,0.16738107553356837,0.2128579066175596
FSW_CORE_VS_AO_PREJUMP,spacing_cv,0.06360447548309581,0.0789916400013983
FSW_CORE_VS_AO_TRANSFER,distance_to_type_D,0.43106074061183636,0.3446447665438994
FSW_CORE_VS_AO_TRANSFER,spacing_cv,0.3143835405398596,0.2510668026201128
FSW_CORE_VS_AO_TRANSFER,delta_p2_relative_gain_vs_type_A,0.11023059483783619,0.0978964401294498
FSW_CORE_VS_AO_TRANSFER,grid_deviation_score,0.08266641051670955,0.06418918918918913
FSW_CORE_VS_AO_TRANSFER,simple_rigidity_surrogate,0.06165871349375826,0.047865569987718154
