test_id,test_label,pair_set_id,features_used,normalization,weights_mode,mean_overlap_distance,strong_overlap_count,partial_overlap_count,weak_overlap_count,no_overlap_count,baseline_group_status,recomputed_group_status,improved_vs_baseline
baseline,baseline_from_m39x3e,FSW_CORE_VS_AO_TRANSFER,"delta_p2_relative_gain_vs_type_A,distance_to_type_D,spacing_cv,grid_deviation_score,simple_rigidity_surrogate",from_source_run,from_source_run,0.9056627684703695,0,0,3,3,no_meaningful_model_overlap,no_meaningful_model_overlap,False
baseline,baseline_from_m39x3e,FSW_CORE_VS_AO_PREJUMP,"delta_p2_relative_gain_vs_type_A,distance_to_type_D,spacing_cv,grid_deviation_score,simple_rigidity_surrogate",from_source_run,from_source_run,1.2885939444463879,0,0,0,4,no_meaningful_model_overlap,no_meaningful_model_overlap,False
baseline,baseline_from_m39x3e,FSW_CORE_VS_AO_JUMP,"delta_p2_relative_gain_vs_type_A,distance_to_type_D,spacing_cv,grid_deviation_score,simple_rigidity_surrogate",from_source_run,from_source_run,1.7424064390292309,0,0,0,2,ao_qualitative_extension_beyond_shared_overlap,no_meaningful_model_overlap,False
equal_weights,equal_weights_same_features,FSW_CORE_VS_AO_TRANSFER,"delta_p2_relative_gain_vs_type_A,distance_to_type_D,spacing_cv,grid_deviation_score,simple_rigidity_surrogate",from_source_run,custom,0.9604518741274446,0,0,3,3,no_meaningful_model_overlap,no_meaningful_model_overlap,False
equal_weights,equal_weights_same_features,FSW_CORE_VS_AO_PREJUMP,"delta_p2_relative_gain_vs_type_A,distance_to_type_D,spacing_cv,grid_deviation_score,simple_rigidity_surrogate",from_source_run,custom,1.2428183887427666,0,0,0,4,no_meaningful_model_overlap,no_meaningful_model_overlap,False
equal_weights,equal_weights_same_features,FSW_CORE_VS_AO_JUMP,"delta_p2_relative_gain_vs_type_A,distance_to_type_D,spacing_cv,grid_deviation_score,simple_rigidity_surrogate",from_source_run,custom,1.6349493120679872,0,0,0,2,ao_qualitative_extension_beyond_shared_overlap,no_meaningful_model_overlap,False
no_rigidity,drop_simple_rigidity_surrogate,FSW_CORE_VS_AO_TRANSFER,"delta_p2_relative_gain_vs_type_A,distance_to_type_D,spacing_cv,grid_deviation_score",from_source_run,from_source_run,0.8577971984826513,0,0,4,2,no_meaningful_model_overlap,no_meaningful_model_overlap,False
no_rigidity,drop_simple_rigidity_surrogate,FSW_CORE_VS_AO_PREJUMP,"delta_p2_relative_gain_vs_type_A,distance_to_type_D,spacing_cv,grid_deviation_score",from_source_run,from_source_run,0.8954531502225614,0,0,1,3,no_meaningful_model_overlap,no_meaningful_model_overlap,False
no_rigidity,drop_simple_rigidity_surrogate,FSW_CORE_VS_AO_JUMP,"delta_p2_relative_gain_vs_type_A,distance_to_type_D,spacing_cv,grid_deviation_score",from_source_run,from_source_run,1.061446969008017,0,0,0,2,ao_qualitative_extension_beyond_shared_overlap,no_meaningful_model_overlap,False
no_grid_deviation,drop_grid_deviation_score,FSW_CORE_VS_AO_TRANSFER,"delta_p2_relative_gain_vs_type_A,distance_to_type_D,spacing_cv,simple_rigidity_surrogate",from_source_run,from_source_run,0.8414735792811802,0,0,4,2,no_meaningful_model_overlap,weak_model_overlap_only,True
