family_id,family_role,family_type,source_model,left_mode_label,right_mode_label,left_index_tuple,right_index_tuple,left_p,right_p,left_p2,right_p2,delta_p,delta_p_abs,delta_p2,delta_p2_abs,sum_p,mean_p,delta_p2_bucket,identity_strength,branch_match_frac,is_direct_momentum
ER1_RING,external_control,ring,free_particle_on_ring,m=-3,m=-2,"(-3,)","(-2,)",-18849555.92153876,-12566370.614359174,355305758439216.94,157913670417429.72,-6283185.307179585,6283185.307179585,197392088021787.22,197392088021787.22,-31415926.535897933,-15707963.267948966,strong_positive,1.0,0.85,1
ER1_RING,external_control,ring,free_particle_on_ring,m=-2,m=-1,"(-2,)","(-1,)",-12566370.614359174,-6283185.307179587,157913670417429.72,39478417604357.43,-6283185.307179587,6283185.307179587,118435252813072.28,118435252813072.28,-18849555.921538763,-9424777.960769381,strong_positive,1.0,0.85,1
ER1_RING,external_control,ring,free_particle_on_ring,m=-1,m=0,"(-1,)","(0,)",-6283185.307179587,0.0,39478417604357.43,0.0,-6283185.307179587,6283185.307179587,39478417604357.43,39478417604357.43,-6283185.307179587,-3141592.6535897935,strong_positive,1.0,0.85,1
ER1_RING,external_control,ring,free_particle_on_ring,m=0,m=1,"(0,)","(1,)",0.0,6283185.307179587,0.0,39478417604357.43,-6283185.307179587,6283185.307179587,-39478417604357.43,39478417604357.43,6283185.307179587,3141592.6535897935,strong_negative,1.0,0.85,1
ER1_RING,external_control,ring,free_particle_on_ring,m=1,m=2,"(1,)","(2,)",6283185.307179587,12566370.614359174,39478417604357.43,157913670417429.72,-6283185.307179587,6283185.307179587,-118435252813072.28,118435252813072.28,18849555.921538763,9424777.960769381,strong_negative,1.0,0.85,1
ER1_RING,external_control,ring,free_particle_on_ring,m=2,m=3,"(2,)","(3,)",12566370.614359174,18849555.92153876,157913670417429.72,355305758439216.94,-6283185.307179585,6283185.307179585,-197392088021787.22,197392088021787.22,31415926.535897933,15707963.267948966,strong_negative,1.0,0.85,1
ER2_CAVITY,external_main_test,rectangular_cavity,rectangular_em_cavity_resonator,"m=0,n=0,p=1","m=0,n=1,p=0","(0, 0, 1)","(0, 1, 0)",1.0,1.3076923076923075,1.0,1.7100591715976328,-0.3076923076923075,0.3076923076923075,-0.7100591715976328,0.7100591715976328,2.3076923076923075,1.1538461538461537,compact_negative,0.3550295857988164,0.5275147928994082,0
ER2_CAVITY,external_main_test,rectangular_cavity,rectangular_em_cavity_resonator,"m=0,n=1,p=0","m=0,n=1,p=1","(0, 1, 0)","(0, 1, 1)",1.3076923076923075,1.6462257353102074,1.7100591715976328,2.710059171597633,-0.33853342761789995,0.33853342761789995,-1.0000000000000004,1.0000000000000004,2.953918043002515,1.4769590215012576,strong_negative,0.5000000000000002,0.6000000000000001,0
ER2_CAVITY,external_main_test,rectangular_cavity,rectangular_em_cavity_resonator,"m=0,n=1,p=1","m=1,n=0,p=0","(0, 1, 1)","(1, 0, 0)",1.6462257353102074,1.7,2.710059171597633,2.8899999999999997,-0.05377426468979252,0.05377426468979252,-0.17994082840236647,0.17994082840236647,3.3462257353102074,1.6731128676551037,compact_negative,0.08997041420118324,0.3949852071005916,0
ER2_CAVITY,external_main_test,rectangular_cavity,rectangular_em_cavity_resonator,"m=1,n=0,p=0","m=1,n=0,p=1","(1, 0, 0)","(1, 0, 1)",1.7,1.972308292331602,2.8899999999999997,3.8899999999999997,-0.27230829233160203,0.27230829233160203,-1.0,1.0,3.6723082923316017,1.8361541461658009,compact_negative,0.5,0.6,0
ER2_CAVITY,external_main_test,rectangular_cavity,rectangular_em_cavity_resonator,"m=1,n=0,p=1","m=0,n=0,p=2","(1, 0, 1)","(0, 0, 2)",1.972308292331602,2.0,3.8899999999999997,4.0,-0.027691707668398013,0.027691707668398013,-0.11000000000000032,0.11000000000000032,3.972308292331602,1.986154146165801,compact_negative,0.05500000000000016,0.37750000000000006,0
ER2_CAVITY,external_main_test,rectangular_cavity,rectangular_em_cavity_resonator,"m=0,n=0,p=2","m=1,n=1,p=0","(0, 0, 2)","(1, 1, 0)",2.0,2.144774853358187,4.0,4.600059171597633,-0.14477485335818718,0.14477485335818718,-0.6000591715976329,0.6000591715976329,4.144774853358188,2.072387426679094,compact_negative,0.30002958579881644,0.5000147928994082,0
ER2_CAVITY,external_main_test,rectangular_cavity,rectangular_em_cavity_resonator,"m=1,n=1,p=0","m=1,n=1,p=1","(1, 1, 0)","(1, 1, 1)",2.144774853358187,2.3664444154886954,4.600059171597633,5.600059171597633,-0.22166956213050826,0.22166956213050826,-1.0,1.0,4.511219268846883,2.2556096344234415,compact_negative,0.5,0.6,0
ER2_CAVITY,external_main_test,rectangular_cavity,rectangular_em_cavity_resonator,"m=1,n=1,p=1","m=0,n=1,p=2","(1, 1, 1)","(0, 1, 2)",2.3664444154886954,2.389573010309087,5.600059171597633,5.710059171597633,-0.023128594820391424,0.023128594820391424,-0.11000000000000032,0.11000000000000032,4.756017425797783,2.3780087128988914,compact_negative,0.05500000000000016,0.37750000000000006,0
ER2_CAVITY,external_main_test,rectangular_cavity,rectangular_em_cavity_resonator,"m=0,n=1,p=2","m=0,n=2,p=0","(0, 1, 2)","(0, 2, 0)",2.389573010309087,2.615384615384615,5.710059171597633,6.840236686390531,-0.2258116050755281,0.2258116050755281,-1.1301775147928979,1.1301775147928979,5.004957625693702,2.502478812846851,strong_negative,0.5650887573964489,0.6325443786982244,0
ER2_CAVITY,external_main_test,rectangular_cavity,rectangular_em_cavity_resonator,"m=0,n=2,p=0","m=1,n=0,p=2","(0, 2, 0)","(1, 0, 2)",2.615384615384615,2.6248809496813372,6.840236686390531,6.89,-0.009496334296722253,0.009496334296722253,-0.04976331360946862,0.04976331360946862,5.240265565065952,2.620132782532976,compact_negative,0.02488165680473431,0.36244082840236713,0
ER2_CAVITY,external_main_test,rectangular_cavity,rectangular_em_cavity_resonator,"m=1,n=0,p=2","m=0,n=2,p=1","(1, 0, 2)","(0, 2, 1)",2.6248809496813372,2.8000422651078916,6.89,7.840236686390531,-0.17516131542655433,0.17516131542655433,-0.9502366863905314,0.9502366863905314,5.424923214789229,2.7124616073946144,compact_negative,0.4751183431952657,0.5875591715976328,0
ER2_CAVITY,external_main_test,rectangular_cavity,rectangular_em_cavity_resonator,"m=0,n=2,p=1","m=1,n=1,p=2","(0, 2, 1)","(1, 1, 2)",2.8000422651078916,2.9325857483793434,7.840236686390531,8.600059171597632,-0.13254348327145182,0.13254348327145182,-0.7598224852071009,0.7598224852071009,5.7326280134872345,2.8663140067436172,compact_negative,0.37991124260355047,0.5399556213017752,0
ER2_CAVITY,external_main_test,rectangular_cavity,rectangular_em_cavity_resonator,"m=1,n=1,p=2","m=1,n=2,p=0","(1, 1, 2)","(1, 2, 0)",2.9325857483793434,3.1193327309523315,8.600059171597632,9.730236686390532,-0.18674698257298816,0.18674698257298816,-1.1301775147928996,1.1301775147928996,6.051918479331675,3.0259592396658377,strong_negative,0.5650887573964498,0.6325443786982249,0
