case,run_kind,kernel_mode,theta,natural_connectivity,weighted_clustering,global_efficiency
k0,k0,abs,0.03,0.0017783914642937565,0.5774939548539433,0.03257505218325736
k0,k0,positive,0.03,0.0003041088777768339,0.0,0.008221107068325071
k0,k0,negative,0.03,0.0014426745880994339,0.0,0.030714944500889546
n0,n0,abs,0.03,0.0039103053914177595,0.48448692514061953,0.044579567205017406
n0,n0,positive,0.03,0.0036460972526902325,0.5195968272896913,0.038513543914454114
n0,n0,negative,0.03,0.0002493033404703731,0.0,0.00913258401263811
n1a_alpha_0p5,n1a,abs,0.03,0.0030354261908791605,0.797960790223184,0.04382327830032783
n1a_alpha_0p5,n1a,positive,0.03,0.000802156910606951,0.0,0.013353080533320003
n1a_alpha_0p5,n1a,negative,0.03,0.002149951208727135,0.0,0.038946051237796785
n1a_alpha_2p0,n1a,abs,0.03,0.001466165371799909,0.4852370571362735,0.02843449320401629
n1a_alpha_2p0,n1a,positive,0.03,0.00025624630413296817,0.0,0.00754642214371578
n1a_alpha_2p0,n1a,negative,0.03,0.001191167457239534,0.0,0.025581293775599156
