case,seed,kernel_mode,theta,natural_connectivity,weighted_clustering,global_efficiency
n0,11,abs,0.03,0.004005523060808735,0.3290731283135452,0.05012021227130884
n0,11,positive,0.03,0.004003328873548584,0.405370662080227,0.05012021227130884
n0,11,negative,0.03,4.84210985539036e-07,0.0,0.00023195091064726753
n0,22,abs,0.03,0.0013585173671259974,0.3011920132830871,0.02800900948907516
n0,22,positive,0.03,0.00027405842332706593,0.2984938020637999,0.009485208786703935
n0,22,negative,0.03,0.0010774633407886784,0.0,0.022179820859791987
n0,33,abs,0.03,0.0027129688441660097,0.24662552937520288,0.039355897989801714
n0,33,positive,0.03,0.0024954270362416964,0.18402441378738701,0.03656721552521586
n0,33,negative,0.03,0.00021227476806944516,0.0,0.006050461867505047
n0,44,abs,0.03,0.003414917236856679,0.3749910830732696,0.04487252240999454
n0,44,positive,0.03,0.0029935296752513193,0.0,0.03924108415917386
n0,44,negative,0.03,0.0003848079126093977,0.0,0.014020443697693799
n0,55,abs,0.03,0.0011164495203902888,0.06620699142084344,0.017471373797719267
n0,55,positive,0.03,9.546148610528818e-05,0.15791930183672181,0.006898814411366485
n0,55,negative,0.03,0.00102099444318447,0.0,0.010651907462387264
n0,66,abs,0.03,0.002652513522529947,0.2605039704470989,0.038487652326744885
n0,66,positive,0.03,0.002388731026061164,0.0,0.033957958714624197
n0,66,negative,0.03,0.00024883382321141907,0.0,0.008423401140391888
n0,77,abs,0.03,0.0050679625837969245,0.3133956343822448,0.04902570709496415
n0,77,positive,0.03,0.00018606348204129315,0.0,0.008033603162116949
n0,77,negative,0.03,0.004831746256119277,0.181678873405335,0.04846021381998905
n0,88,abs,0.03,0.003316201579530037,0.30784368215898,0.039065268327062815
n0,88,positive,0.03,0.00029272885906442227,0.0,0.009992064525777186
n0,88,negative,0.03,0.002982915837894225,0.11502566049236704,0.03883823147867728
n0,99,abs,0.03,0.002559130723252859,0.4961769050462342,0.04016508235958493
n0,99,positive,0.03,0.0014697889833492094,0.0,0.031430589274478955
n0,99,negative,0.03,0.001042945169248046,0.0,0.018421882621055652
n0,111,abs,0.03,0.004314814200522374,0.44340317432680665,0.05259021114915093
n0,111,positive,0.03,0.0013750879952064826,0.0,0.012362142787083358
n0,111,negative,0.03,0.0029163788056979505,0.37489582184646153,0.03457634269431276
