ceiling,neighbor_min,n_units,materially_active_count,weak_ambiguous_count,collapsed_count,anti_stabilization_pass_count,mean_a1_score
0.85,2,4,0,0,4,0,1.0
0.85,3,4,4,0,0,4,1.0
0.85,4,4,4,0,0,4,1.0
0.85,5,4,4,0,0,4,1.0
0.9,2,4,0,0,4,0,1.0
0.9,3,4,4,0,0,4,1.0
0.9,4,4,4,0,0,4,1.0
0.9,5,4,4,0,0,4,1.0
0.95,2,4,0,0,4,0,1.0
0.95,3,4,4,0,0,4,1.0
0.95,4,4,4,0,0,4,1.0
0.95,5,4,4,0,0,4,1.0
0.99,2,4,0,0,4,0,1.0
0.99,3,4,4,0,0,4,1.0
0.99,4,4,4,0,0,4,1.0
0.99,5,4,4,0,0,4,1.0
1.01,2,4,4,0,0,4,1.0
1.01,3,4,4,0,0,4,1.0
1.01,4,4,4,0,0,4,1.0
1.01,5,4,4,0,0,4,1.0
