export_label,ceiling,neighbor_min,b1_conflict_penalty,focal_unit_id,a1_status,a1_score,a1_neighbor_count,b1_status,b1_relative_fragility,outcome,promotion
abs,0.85,3,1.0,p0_1,materially_active,0.278128,4,weak_ambiguous,0.218042,Outcome C,A1
abs,0.85,3,1.0,p0_2,weak_ambiguous,-1.0,4,weak_ambiguous,0.0,Outcome B,A1_deferred
abs,0.85,3,1.0,p0_3,weak_ambiguous,0.087505,4,materially_active,0.388424,Outcome C,B1
abs,0.85,3,1.0,p1_2,weak_ambiguous,0.087505,4,materially_active,0.425931,Outcome C,B1
abs,0.85,3,1.0,p1_3,weak_ambiguous,-1.0,4,weak_ambiguous,0.0,Outcome B,A1_deferred
abs,0.85,3,1.0,p2_3,materially_active,0.278128,4,weak_ambiguous,0.218042,Outcome C,A1
abs,0.85,3,1.25,p0_1,materially_active,0.278128,4,materially_active,0.266866,Outcome C,A1_and_B1
abs,0.85,3,1.25,p0_2,weak_ambiguous,-1.0,4,weak_ambiguous,0.0,Outcome B,A1_deferred
abs,0.85,3,1.25,p0_3,weak_ambiguous,0.087505,4,materially_active,0.547751,Outcome C,B1
abs,0.85,3,1.25,p1_2,weak_ambiguous,0.087505,4,materially_active,0.527858,Outcome C,B1
abs,0.85,3,1.25,p1_3,weak_ambiguous,-1.0,4,weak_ambiguous,0.0,Outcome B,A1_deferred
abs,0.85,3,1.25,p2_3,materially_active,0.278128,4,materially_active,0.266866,Outcome C,A1_and_B1
abs,0.85,4,1.0,p0_1,materially_active,0.278128,4,weak_ambiguous,0.218042,Outcome C,A1
abs,0.85,4,1.0,p0_2,weak_ambiguous,-1.0,4,weak_ambiguous,0.0,Outcome B,A1_deferred
abs,0.85,4,1.0,p0_3,weak_ambiguous,0.087505,4,materially_active,0.388424,Outcome C,B1
abs,0.85,4,1.0,p1_2,weak_ambiguous,0.087505,4,materially_active,0.425931,Outcome C,B1
abs,0.85,4,1.0,p1_3,weak_ambiguous,-1.0,4,weak_ambiguous,0.0,Outcome B,A1_deferred
abs,0.85,4,1.0,p2_3,materially_active,0.278128,4,weak_ambiguous,0.218042,Outcome C,A1
abs,0.85,4,1.25,p0_1,materially_active,0.278128,4,materially_active,0.266866,Outcome C,A1_and_B1
abs,0.85,4,1.25,p0_2,weak_ambiguous,-1.0,4,weak_ambiguous,0.0,Outcome B,A1_deferred
abs,0.85,4,1.25,p0_3,weak_ambiguous,0.087505,4,materially_active,0.547751,Outcome C,B1
abs,0.85,4,1.25,p1_2,weak_ambiguous,0.087505,4,materially_active,0.527858,Outcome C,B1
abs,0.85,4,1.25,p1_3,weak_ambiguous,-1.0,4,weak_ambiguous,0.0,Outcome B,A1_deferred
abs,0.85,4,1.25,p2_3,materially_active,0.278128,4,materially_active,0.266866,Outcome C,A1_and_B1
abs,0.95,3,1.0,p0_1,materially_active,0.278128,4,weak_ambiguous,0.218042,Outcome C,A1
abs,0.95,3,1.0,p0_2,weak_ambiguous,-1.0,4,weak_ambiguous,0.0,Outcome B,A1_deferred
abs,0.95,3,1.0,p0_3,weak_ambiguous,0.087505,4,materially_active,0.388424,Outcome C,B1
abs,0.95,3,1.0,p1_2,weak_ambiguous,0.087505,4,materially_active,0.425931,Outcome C,B1
abs,0.95,3,1.0,p1_3,weak_ambiguous,-1.0,4,weak_ambiguous,0.0,Outcome B,A1_deferred
abs,0.95,3,1.0,p2_3,materially_active,0.278128,4,weak_ambiguous,0.218042,Outcome C,A1
abs,0.95,3,1.25,p0_1,materially_active,0.278128,4,materially_active,0.266866,Outcome C,A1_and_B1
abs,0.95,3,1.25,p0_2,weak_ambiguous,-1.0,4,weak_ambiguous,0.0,Outcome B,A1_deferred
abs,0.95,3,1.25,p0_3,weak_ambiguous,0.087505,4,materially_active,0.547751,Outcome C,B1
abs,0.95,3,1.25,p1_2,weak_ambiguous,0.087505,4,materially_active,0.527858,Outcome C,B1
abs,0.95,3,1.25,p1_3,weak_ambiguous,-1.0,4,weak_ambiguous,0.0,Outcome B,A1_deferred
abs,0.95,3,1.25,p2_3,materially_active,0.278128,4,materially_active,0.266866,Outcome C,A1_and_B1
abs,0.95,4,1.0,p0_1,materially_active,0.278128,4,weak_ambiguous,0.218042,Outcome C,A1
abs,0.95,4,1.0,p0_2,weak_ambiguous,-1.0,4,weak_ambiguous,0.0,Outcome B,A1_deferred
abs,0.95,4,1.0,p0_3,weak_ambiguous,0.087505,4,materially_active,0.388424,Outcome C,B1
abs,0.95,4,1.0,p1_2,weak_ambiguous,0.087505,4,materially_active,0.425931,Outcome C,B1
abs,0.95,4,1.0,p1_3,weak_ambiguous,-1.0,4,weak_ambiguous,0.0,Outcome B,A1_deferred
abs,0.95,4,1.0,p2_3,materially_active,0.278128,4,weak_ambiguous,0.218042,Outcome C,A1
abs,0.95,4,1.25,p0_1,materially_active,0.278128,4,materially_active,0.266866,Outcome C,A1_and_B1
abs,0.95,4,1.25,p0_2,weak_ambiguous,-1.0,4,weak_ambiguous,0.0,Outcome B,A1_deferred
abs,0.95,4,1.25,p0_3,weak_ambiguous,0.087505,4,materially_active,0.547751,Outcome C,B1
abs,0.95,4,1.25,p1_2,weak_ambiguous,0.087505,4,materially_active,0.527858,Outcome C,B1
abs,0.95,4,1.25,p1_3,weak_ambiguous,-1.0,4,weak_ambiguous,0.0,Outcome B,A1_deferred
abs,0.95,4,1.25,p2_3,materially_active,0.278128,4,materially_active,0.266866,Outcome C,A1_and_B1
