filename,category,archive_candidate
BINDABLE_OVERLAP_CRITERIA_NOTE.md,bindable_overlap,maybe
BINDABLE_RELATIONAL_OVERLAP_NOTE.md,bindable_overlap,maybe
COMPATIBILITY_BASELINE_COMPARISON_NOTE.md,compatibility_legacy,maybe
COMPATIBILITY_CANDIDATE_A_LOCAL_SUPPORT_COHERENCE_NOTE.md,compatibility_legacy,maybe
COMPATIBILITY_CANDIDATE_B_EARLY_REMOVAL_FRAGILITY_NOTE.md,compatibility_legacy,maybe
COMPATIBILITY_CANDIDATE_EVALUATION_NOTE.md,compatibility_legacy,maybe
COMPATIBILITY_FIRST_DOWNSTREAM_OUTCOME_PROXY_PROPOSAL_NOTE.md,compatibility_legacy,maybe
COMPATIBILITY_FIRST_PASS_CANDIDATE_PAIR_NOTE.md,compatibility_legacy,maybe
COMPATIBILITY_FIRST_PASS_DOWNSTREAM_OUTCOME_PROXY_NOTE.md,compatibility_legacy,maybe
COMPATIBILITY_FIRST_PASS_FIXED_COMPARISON_FRAME_NOTE.md,compatibility_legacy,maybe
COMPATIBILITY_FIRST_TEST_MATRIX_NOTE.md,compatibility_legacy,maybe
COMPATIBILITY_LATER_STABILIZATION_BOUNDARY_NOTE.md,compatibility_legacy,maybe
COMPATIBILITY_LAYER_MINIMAL_PILOT_NOTE.md,compatibility_legacy,maybe
COMPATIBILITY_LAYER_NOTE.md,compatibility_legacy,maybe
COMPATIBILITY_OVERLAP_BASELINE_NOTE.md,compatibility_legacy,maybe
COMPATIBILITY_PROXY_CANDIDATES_NOTE.md,compatibility_legacy,maybe
DLBSR_CLASS_DEFINITION_NOTE.md,dlbsr,maybe
DLBSR_CLASS_SCORE_MARGIN_DECISION_NOTE.md,dlbsr,maybe
DLBSR_CLASS_SUPPORT_POSITIVE_CRITERION_NOTE.md,dlbsr,maybe
DLBSR_DECISION_RULE_NOTE.md,dlbsr,maybe
PRE_READABLE_FIRST_CASE_WINDOW_NOTE.md,pre_readable_legacy,maybe
PRE_READABLE_ORGANIZATION_CANDIDATE_MARKERS_NOTE.md,pre_readable_legacy,maybe
PRE_READABLE_TYPE_B_FIRST_PASS_DECISION_LOGIC_NOTE.md,pre_readable_legacy,maybe
PRE_READABLE_TYPE_B_FIRST_SEGMENT_CANDIDATE_NOTE.md,pre_readable_legacy,maybe
PRE_READABLE_TYPE_B_SEGMENT_SELECTION_RULE_NOTE.md,pre_readable_legacy,maybe
PRE_READABLE_TYPE_B_TRANSITIONAL_WINDOW_BINDING_NOTE.md,pre_readable_legacy,maybe
READABILITY_LAYER_NOTE.md,readability,maybe
TYPE_B_OPERATIONAL_SHARPENING_NOTE.md,type_b_meta,maybe
