seed,parameter_profile,gain_D1,gain_D2,delta_gain_D2_minus_D1,support_sep_combined_D1,support_sep_combined_D2,delta_support_sep_combined_D2_minus_D1,jaccard_support_D1_vs_D2,changed_assignment_fraction_D1_vs_D2
101,base,-0.005667,-0.006211,-0.000544,0.018996,0.020817,0.001821,0.230769,0.555556
101,mild_plus,-0.005667,-0.006211,-0.000544,0.018996,0.020817,0.001821,0.230769,0.555556
101,mild_minus,-0.005667,-0.006211,-0.000544,0.018996,0.020817,0.001821,0.230769,0.555556
202,base,-0.006211,0.008486,0.014697,0.020817,0.020817,0.0,0.333333,0.444444
202,mild_plus,-0.006211,0.008486,0.014697,0.020817,0.020817,0.0,0.333333,0.444444
202,mild_minus,-0.006211,0.008486,0.014697,0.020817,0.020817,0.0,0.333333,0.444444
303,base,-0.015165,-0.006755,0.00841,0.009498,0.022639,0.013141,0.230769,0.555556
303,mild_plus,-0.015165,-0.006755,0.00841,0.009498,0.022639,0.013141,0.230769,0.555556
303,mild_minus,-0.015165,-0.006755,0.00841,0.009498,0.022639,0.013141,0.230769,0.555556
404,base,0.008486,-0.002834,-0.01132,0.020817,0.009498,-0.011319,0.333333,0.444444
404,mild_plus,0.008486,-0.002834,-0.01132,0.020817,0.009498,-0.011319,0.333333,0.444444
404,mild_minus,0.008486,-0.002834,-0.01132,0.020817,0.009498,-0.011319,0.333333,0.444444
505,base,0.006664,-0.005667,-0.012331,0.018996,0.018996,0.0,0.230769,0.555556
505,mild_plus,0.006664,-0.005667,-0.012331,0.018996,0.018996,0.0,0.230769,0.555556
505,mild_minus,0.006664,-0.005667,-0.012331,0.018996,0.018996,0.0,0.230769,0.555556
