seed,parameter_profile,effective_support_count_D1,effective_support_count_D2,overlap_support,jaccard_support_D1_vs_D2,changed_assignment_fraction_D1_vs_D2,effective_support_unit_ids_D1,effective_support_unit_ids_D2
101,base,8,8,3,0.230769,0.555556,abs_e02|abs_e13|abs_e23|negative_e13|positive_e01|positive_e02|positive_e13|positive_e23,abs_e01|abs_e02|abs_e03|abs_e12|negative_e03|negative_e13|positive_e03|positive_e13
101,mild_plus,8,8,3,0.230769,0.555556,abs_e02|abs_e13|abs_e23|negative_e13|positive_e01|positive_e02|positive_e13|positive_e23,abs_e01|abs_e02|abs_e03|abs_e12|negative_e03|negative_e13|positive_e03|positive_e13
101,mild_minus,8,8,3,0.230769,0.555556,abs_e02|abs_e13|abs_e23|negative_e13|positive_e01|positive_e02|positive_e13|positive_e23,abs_e01|abs_e02|abs_e03|abs_e12|negative_e03|negative_e13|positive_e03|positive_e13
202,base,8,8,4,0.333333,0.444444,abs_e01|abs_e02|abs_e03|abs_e13|abs_e23|negative_e12|negative_e13|positive_e02,abs_e13|abs_e23|negative_e02|negative_e12|positive_e01|positive_e02|positive_e03|positive_e23
202,mild_plus,8,8,4,0.333333,0.444444,abs_e01|abs_e02|abs_e03|abs_e13|abs_e23|negative_e12|negative_e13|positive_e02,abs_e13|abs_e23|negative_e02|negative_e12|positive_e01|positive_e02|positive_e03|positive_e23
202,mild_minus,8,8,4,0.333333,0.444444,abs_e01|abs_e02|abs_e03|abs_e13|abs_e23|negative_e12|negative_e13|positive_e02,abs_e13|abs_e23|negative_e02|negative_e12|positive_e01|positive_e02|positive_e03|positive_e23
303,base,8,8,3,0.230769,0.555556,abs_e01|abs_e02|abs_e12|negative_e13|negative_e23|positive_e02|positive_e12|positive_e13,abs_e01|abs_e12|negative_e01|negative_e03|negative_e12|negative_e13|positive_e01|positive_e03
303,mild_plus,8,8,3,0.230769,0.555556,abs_e01|abs_e02|abs_e12|negative_e13|negative_e23|positive_e02|positive_e12|positive_e13,abs_e01|abs_e12|negative_e01|negative_e03|negative_e12|negative_e13|positive_e01|positive_e03
303,mild_minus,8,8,3,0.230769,0.555556,abs_e01|abs_e02|abs_e12|negative_e13|negative_e23|positive_e02|positive_e12|positive_e13,abs_e01|abs_e12|negative_e01|negative_e03|negative_e12|negative_e13|positive_e01|positive_e03
404,base,8,8,4,0.333333,0.444444,abs_e02|abs_e23|negative_e12|negative_e13|negative_e23|positive_e01|positive_e03|positive_e23,negative_e01|negative_e02|negative_e12|negative_e23|positive_e01|positive_e12|positive_e13|positive_e23
404,mild_plus,8,8,4,0.333333,0.444444,abs_e02|abs_e23|negative_e12|negative_e13|negative_e23|positive_e01|positive_e03|positive_e23,negative_e01|negative_e02|negative_e12|negative_e23|positive_e01|positive_e12|positive_e13|positive_e23
404,mild_minus,8,8,4,0.333333,0.444444,abs_e02|abs_e23|negative_e12|negative_e13|negative_e23|positive_e01|positive_e03|positive_e23,negative_e01|negative_e02|negative_e12|negative_e23|positive_e01|positive_e12|positive_e13|positive_e23
505,base,8,8,3,0.230769,0.555556,abs_e23|negative_e02|negative_e03|negative_e13|negative_e23|positive_e01|positive_e12|positive_e13,abs_e01|abs_e02|abs_e12|abs_e13|negative_e02|negative_e23|positive_e01|positive_e02
505,mild_plus,8,8,3,0.230769,0.555556,abs_e23|negative_e02|negative_e03|negative_e13|negative_e23|positive_e01|positive_e12|positive_e13,abs_e01|abs_e02|abs_e12|abs_e13|negative_e02|negative_e23|positive_e01|positive_e02
505,mild_minus,8,8,3,0.230769,0.555556,abs_e23|negative_e02|negative_e03|negative_e13|negative_e23|positive_e01|positive_e12|positive_e13,abs_e01|abs_e02|abs_e12|abs_e13|negative_e02|negative_e23|positive_e01|positive_e02
