mapping_mode,mapping_label,state,parameter_profile,n,median_profile_factor,median_gain_value,median_gain_vs_A,median_gain_vs_D,positive_direction_fraction,median_sign_stability,median_replicate_consistency,median_null_noise_margin,median_support_sep_baseline,median_support_sep_combined
M0,mixed_as_neutral,A,base,5,1.0,0.0,0.0,0.005667,0.0,0.0,0.0,0.02,0.031164,0.031164
M0,mixed_as_neutral,A,mild_minus,5,0.95,0.0,0.0,0.005667,0.0,0.0,0.0,0.02,0.031164,0.031164
M0,mixed_as_neutral,A,mild_plus,5,1.05,0.0,0.0,0.005667,0.0,0.0,0.0,0.02,0.031164,0.031164
M0,mixed_as_neutral,B,base,5,1.0,0.346623,0.346623,0.35229,1.0,1.0,1.0,0.02,0.031164,0.377787
M0,mixed_as_neutral,B,mild_minus,5,0.95,0.329122,0.329122,0.334789,1.0,1.0,1.0,0.02,0.031164,0.360286
M0,mixed_as_neutral,B,mild_plus,5,1.05,0.364123,0.364123,0.36979,1.0,1.0,1.0,0.02,0.031164,0.395286
M0,mixed_as_neutral,C,base,5,1.0,0.696622,0.696622,0.702289,1.0,1.0,1.0,0.02,0.031164,0.727786
M0,mixed_as_neutral,C,mild_minus,5,0.95,0.661623,0.661623,0.66729,1.0,1.0,1.0,0.02,0.031164,0.692786
M0,mixed_as_neutral,C,mild_plus,5,1.05,0.731623,0.731623,0.73729,1.0,1.0,1.0,0.02,0.031164,0.762787
M0,mixed_as_neutral,D1,base,5,1.0,-0.005667,-0.005667,0.0,0.4,0.0,0.4,0.02,0.024663,0.018996
M0,mixed_as_neutral,D1,mild_minus,5,0.95,-0.005667,-0.005667,0.0,0.4,0.0,0.4,0.02,0.024663,0.018996
M0,mixed_as_neutral,D1,mild_plus,5,1.05,-0.005667,-0.005667,0.0,0.4,0.0,0.4,0.02,0.024663,0.018996
M0,mixed_as_neutral,D2,base,5,1.0,-0.005667,-0.005667,0.0,0.2,0.0,0.2,0.02,0.024663,0.020817
