run_id,seed,parameter_profile,state,null_variant,baseline_anchor_status,combined_status_stability,auxiliary_compatibility,neighbor_shift_signal,a1_shift_signal,b1_shift_signal,gain_value,gain_vs_A,gain_vs_D,sign_stability,replicate_consistency,null_noise_margin,auxiliary_primary_takeover,role_flip,support_sep_baseline,support_sep_combined
H3SMD01_20260417_183547,101,base,D,permutation_null,primary_retained,stable,noise_compatible,positive_shift,positive_shift,stable,0.035,0.035,0.045,1.0,0.4,0.02,False,False,0.145,0.18
H3SMD01_20260417_183547,101,mild_plus,D,permutation_null,primary_retained,stable,noise_compatible,positive_shift,positive_shift,stable,0.035,0.035,0.045,1.0,0.4,0.02,False,False,0.145,0.18
H3SMD01_20260417_183547,101,mild_minus,D,permutation_null,primary_retained,stable,noise_compatible,positive_shift,positive_shift,stable,0.035,0.035,0.045,1.0,0.4,0.02,False,False,0.145,0.18
H3SMD01_20260417_183547,202,base,D,permutation_null,primary_retained,destabilized,not_compatible,none_or_negative,none_or_negative,unstable,-0.01,-0.01,0.0,0.0,0.4,0.02,False,False,0.04,0.03
H3SMD01_20260417_183547,202,mild_plus,D,permutation_null,primary_retained,destabilized,not_compatible,none_or_negative,none_or_negative,unstable,-0.01,-0.01,0.0,0.0,0.4,0.02,False,False,0.04,0.03
H3SMD01_20260417_183547,202,mild_minus,D,permutation_null,primary_retained,destabilized,not_compatible,none_or_negative,none_or_negative,unstable,-0.01,-0.01,0.0,0.0,0.4,0.02,False,False,0.04,0.03
H3SMD01_20260417_183547,303,base,D,permutation_null,primary_retained,destabilized,not_compatible,none_or_negative,none_or_negative,unstable,-0.01,-0.01,0.0,0.0,0.4,0.02,False,False,0.03,0.02
H3SMD01_20260417_183547,303,mild_plus,D,permutation_null,primary_retained,destabilized,not_compatible,none_or_negative,none_or_negative,unstable,-0.01,-0.01,0.0,0.0,0.4,0.02,False,False,0.03,0.02
H3SMD01_20260417_183547,303,mild_minus,D,permutation_null,primary_retained,destabilized,not_compatible,none_or_negative,none_or_negative,unstable,-0.01,-0.01,0.0,0.0,0.4,0.02,False,False,0.03,0.02
H3SMD01_20260417_183547,404,base,D,permutation_null,primary_retained,stable,noise_compatible,positive_shift,positive_shift,stable,0.035,0.035,0.045,1.0,0.4,0.02,False,False,0.145,0.18
H3SMD01_20260417_183547,404,mild_plus,D,permutation_null,primary_retained,stable,noise_compatible,positive_shift,positive_shift,stable,0.035,0.035,0.045,1.0,0.4,0.02,False,False,0.145,0.18
H3SMD01_20260417_183547,404,mild_minus,D,permutation_null,primary_retained,stable,noise_compatible,positive_shift,positive_shift,stable,0.035,0.035,0.045,1.0,0.4,0.02,False,False,0.145,0.18
H3SMD01_20260417_183547,505,base,D,permutation_null,primary_retained,destabilized,not_compatible,none_or_negative,none_or_negative,unstable,-0.01,-0.01,0.0,0.0,0.4,0.02,False,False,0.03,0.02
H3SMD01_20260417_183547,505,mild_plus,D,permutation_null,primary_retained,destabilized,not_compatible,none_or_negative,none_or_negative,unstable,-0.01,-0.01,0.0,0.0,0.4,0.02,False,False,0.03,0.02
H3SMD01_20260417_183547,505,mild_minus,D,permutation_null,primary_retained,destabilized,not_compatible,none_or_negative,none_or_negative,unstable,-0.01,-0.01,0.0,0.0,0.4,0.02,False,False,0.03,0.02
