state,parameter_profile,n,median_profile_factor,median_gain_value,median_gain_vs_A,median_gain_vs_D,positive_direction_fraction,median_sign_stability,median_replicate_consistency,median_null_noise_margin,median_support_sep_baseline,median_support_sep_combined
A,base,5,1.0,0.0,0.0,0.010398,0.0,0.0,0.0,0.02,0.029394,0.029394
A,mild_minus,5,0.95,0.0,0.0,0.010398,0.0,0.0,0.0,0.02,0.029394,0.029394
A,mild_plus,5,1.05,0.0,0.0,0.010398,0.0,0.0,0.0,0.02,0.029394,0.029394
B,base,5,1.0,0.341424,0.341424,0.351822,1.0,1.0,1.0,0.02,0.029394,0.370818
B,mild_minus,5,0.95,0.323923,0.323923,0.334321,1.0,1.0,1.0,0.02,0.029394,0.353317
B,mild_plus,5,1.05,0.358924,0.358924,0.369322,1.0,1.0,1.0,0.02,0.029394,0.388317
C,base,5,1.0,0.691423,0.691423,0.701821,1.0,1.0,1.0,0.02,0.029394,0.720817
C,mild_minus,5,0.95,0.656423,0.656423,0.666821,1.0,1.0,1.0,0.02,0.029394,0.685817
C,mild_plus,5,1.05,0.726423,0.726423,0.736821,1.0,1.0,1.0,0.02,0.029394,0.755818
D1,base,5,1.0,-0.010398,-0.010398,0.0,0.0,0.0,0.0,0.02,0.029394,0.018996
D1,mild_minus,5,0.95,-0.010398,-0.010398,0.0,0.0,0.0,0.0,0.02,0.029394,0.018996
D1,mild_plus,5,1.05,-0.010398,-0.010398,0.0,0.0,0.0,0.0,0.02,0.029394,0.018996
D2,base,5,1.0,-0.009487,-0.009487,0.00091,0.0,0.0,0.0,0.02,0.029394,0.019907
D2,mild_minus,5,0.95,-0.009487,-0.009487,0.00091,0.0,0.0,0.0,0.02,0.029394,0.019907
D2,mild_plus,5,1.05,-0.009487,-0.009487,0.00091,0.0,0.0,0.0,0.02,0.029394,0.019907
