run_id,seed,parameter_profile,state,null_variant,profile_factor,baseline_anchor_status,combined_status_stability,auxiliary_compatibility,neighbor_shift_signal,a1_shift_signal,b1_shift_signal,gain_value,gain_vs_A,gain_vs_D,sign_stability,replicate_consistency,null_noise_margin,auxiliary_primary_takeover,role_flip,support_sep_baseline,support_sep_combined
H3SMD01_20260418_010459,101,base,A,,1.0,primary_retained,stable,compatible_but_bounded,none_or_negative,none_or_negative,stable,0.0,0.0,0.005667,0.0,0.0,0.02,False,False,0.031164,0.031164
H3SMD01_20260418_010459,101,base,B,,1.0,primary_retained,stable,compatible_but_bounded,positive_shift,positive_shift,stable,0.346623,0.346623,0.35229,1.0,1.0,0.02,False,False,0.031164,0.377787
H3SMD01_20260418_010459,101,base,C,,1.0,primary_retained,stable,compatible_but_bounded,positive_shift,positive_shift,stable,0.696622,0.696622,0.702289,1.0,1.0,0.02,False,False,0.031164,0.727786
H3SMD01_20260418_010459,101,base,D1,permutation_null,1.0,primary_retained,destabilized,not_compatible,none_or_negative,none_or_negative,unstable,-0.005667,-0.005667,0.0,0.0,0.4,0.02,False,False,0.024663,0.018996
H3SMD01_20260418_010459,101,base,D2,topology_preserving_random_null,1.0,primary_retained,destabilized,not_compatible,none_or_negative,none_or_negative,unstable,-0.006211,-0.006211,-0.000544,0.0,0.2,0.02,False,False,0.027029,0.020817
H3SMD01_20260418_010459,101,mild_plus,A,,1.05,primary_retained,stable,compatible_but_bounded,none_or_negative,none_or_negative,stable,0.0,0.0,0.005667,0.0,0.0,0.02,False,False,0.031164,0.031164
H3SMD01_20260418_010459,101,mild_plus,B,,1.05,primary_retained,stable,compatible_but_bounded,positive_shift,positive_shift,stable,0.364123,0.364123,0.36979,1.0,1.0,0.02,False,False,0.031164,0.395286
H3SMD01_20260418_010459,101,mild_plus,C,,1.05,primary_retained,stable,compatible_but_bounded,positive_shift,positive_shift,stable,0.731623,0.731623,0.73729,1.0,1.0,0.02,False,False,0.031164,0.762787
H3SMD01_20260418_010459,101,mild_plus,D1,permutation_null,1.05,primary_retained,destabilized,not_compatible,none_or_negative,none_or_negative,unstable,-0.005667,-0.005667,0.0,0.0,0.4,0.02,False,False,0.024663,0.018996
H3SMD01_20260418_010459,101,mild_plus,D2,topology_preserving_random_null,1.05,primary_retained,destabilized,not_compatible,none_or_negative,none_or_negative,unstable,-0.006211,-0.006211,-0.000544,0.0,0.2,0.02,False,False,0.027029,0.020817
H3SMD01_20260418_010459,101,mild_minus,A,,0.95,primary_retained,stable,compatible_but_bounded,none_or_negative,none_or_negative,stable,0.0,0.0,0.005667,0.0,0.0,0.02,False,False,0.031164,0.031164
H3SMD01_20260418_010459,101,mild_minus,B,,0.95,primary_retained,stable,compatible_but_bounded,positive_shift,positive_shift,stable,0.329122,0.329122,0.334789,1.0,1.0,0.02,False,False,0.031164,0.360286
H3SMD01_20260418_010459,101,mild_minus,C,,0.95,primary_retained,stable,compatible_but_bounded,positive_shift,positive_shift,stable,0.661623,0.661623,0.66729,1.0,1.0,0.02,False,False,0.031164,0.692786
H3SMD01_20260418_010459,101,mild_minus,D1,permutation_null,0.95,primary_retained,destabilized,not_compatible,none_or_negative,none_or_negative,unstable,-0.005667,-0.005667,0.0,0.0,0.4,0.02,False,False,0.024663,0.018996
H3SMD01_20260418_010459,101,mild_minus,D2,topology_preserving_random_null,0.95,primary_retained,destabilized,not_compatible,none_or_negative,none_or_negative,unstable,-0.006211,-0.006211,-0.000544,0.0,0.2,0.02,False,False,0.027029,0.020817
H3SMD01_20260418_010459,202,base,A,,1.0,primary_retained,stable,compatible_but_bounded,none_or_negative,none_or_negative,stable,0.0,0.0,0.005667,0.0,0.0,0.02,False,False,0.031164,0.031164
H3SMD01_20260418_010459,202,base,B,,1.0,primary_retained,stable,compatible_but_bounded,positive_shift,positive_shift,stable,0.346623,0.346623,0.35229,1.0,1.0,0.02,False,False,0.031164,0.377787
H3SMD01_20260418_010459,202,base,C,,1.0,primary_retained,stable,compatible_but_bounded,positive_shift,positive_shift,stable,0.696622,0.696622,0.702289,1.0,1.0,0.02,False,False,0.031164,0.727786
H3SMD01_20260418_010459,202,base,D1,permutation_null,1.0,primary_retained,destabilized,not_compatible,none_or_negative,none_or_negative,unstable,-0.006211,-0.006211,-0.000544,0.0,0.4,0.02,False,False,0.027029,0.020817
