family_id,system_id,node_count,edge_count,degree_distribution,aromatic_uniformity_flag,curvature_proxy_summary,proxy_smuggling_risk,benzene_vs_c60_contrast_summary
benzene_planar_ring_reference,benzene,6,6,"{""2"": 6}",control_or_reference,planar_six_node_sp2_ring_scaffold,reference_control_or_synthetic_label_only,method_level_planar_ring_vs_curved_cage_scaffold_only
benzene_uniform_aromatic_proxy,benzene,6,6,"{""2"": 6}",true,planar_six_node_sp2_ring_scaffold,reference_control_or_synthetic_label_only,method_level_planar_ring_vs_curved_cage_scaffold_only
benzene_bond_alternation_control,benzene,6,6,"{""2"": 6}",control_or_reference,planar_six_node_sp2_ring_scaffold,reference_control_or_synthetic_label_only,method_level_planar_ring_vs_curved_cage_scaffold_only
c60_fullerene_graph_reference,c60,60,90,"{""3"": 60}",not_applicable_curved_cage,curved_sixty_node_sp2_cage_scaffold,reference_control_or_synthetic_label_only,method_level_planar_ring_vs_curved_cage_scaffold_only
c60_bond_class_weighted_proxy,c60,60,90,"{""3"": 60}",not_applicable_curved_cage,curved_sixty_node_sp2_cage_scaffold,reference_control_or_synthetic_label_only,method_level_planar_ring_vs_curved_cage_scaffold_only
c60_curvature_stress_proxy,c60,60,90,"{""3"": 60}",not_applicable_curved_cage,curved_sixty_node_sp2_cage_scaffold,reference_control_or_synthetic_label_only,method_level_planar_ring_vs_curved_cage_scaffold_only
c60_face_type_local_environment_proxy,c60,60,90,"{""3"": 60}",not_applicable_curved_cage,curved_sixty_node_sp2_cage_scaffold,reference_control_or_synthetic_label_only,method_level_planar_ring_vs_curved_cage_scaffold_only
matched_random_sp2_control,control,declared_control_family,declared_control_family,"""declared_control_family""",control,declared_control_no_external_data,reference_control_or_synthetic_label_only,method_level_planar_ring_vs_curved_cage_scaffold_only
degree_preserving_random_control,control,declared_control_family,declared_control_family,"""declared_control_family""",control,declared_control_no_external_data,reference_control_or_synthetic_label_only,method_level_planar_ring_vs_curved_cage_scaffold_only
bond_class_shuffle_control,control,declared_control_family,declared_control_family,"""declared_control_family""",control,declared_control_no_external_data,reference_control_or_synthetic_label_only,method_level_planar_ring_vs_curved_cage_scaffold_only
curvature_label_shuffle_control,control,declared_control_family,declared_control_family,"""declared_control_family""",control,declared_control_no_external_data,reference_control_or_synthetic_label_only,method_level_planar_ring_vs_curved_cage_scaffold_only
