system_id,summary_type,label,count,claim_role
adamantane,bond_order_class,single,12,synthetic_scaffold_metadata_only
adamantane,pi_system_label,none,10,synthetic_scaffold_metadata_only
adamantane,sigma_framework_label,diamondoid_sigma_cage,10,synthetic_scaffold_metadata_only
benzene,bond_order_class,aromatic,6,synthetic_scaffold_metadata_only
benzene,pi_system_label,planar_aromatic_pi_ring,6,synthetic_scaffold_metadata_only
benzene,sigma_framework_label,planar_ring_sigma_framework,6,synthetic_scaffold_metadata_only
c60,bond_order_class,5_6,60,synthetic_scaffold_metadata_only
c60,bond_order_class,6_6,30,synthetic_scaffold_metadata_only
c60,pi_system_label,curved_fullerene_pi_network,60,synthetic_scaffold_metadata_only
c60,sigma_framework_label,curved_fullerene_sigma_cage,60,synthetic_scaffold_metadata_only
ethyne,bond_order_class,triple,1,synthetic_scaffold_metadata_only
ethyne,pi_system_label,linear_triple_bond_pi_pair,2,synthetic_scaffold_metadata_only
ethyne,sigma_framework_label,linear_sigma_axis,2,synthetic_scaffold_metadata_only
