control_id,original_system_id,control_family_id,original_control_delta,control_destruction_effectiveness_score,degenerate_control_flag,destruction_effectiveness_level,likely_reason,interpretation_boundary
bond_order_shuffle_control__adamantane,adamantane,bond_order_shuffle_control,0.305,0.305,False,moderate,partial_scaffold_preservation,"synthetic/reference-style diagnostic only; no real-data validation, no molecular validation, no physical validation, no spacetime emergence, no physical metric recovery, no causal structure, no de-Broglie confirmation, no real quantum dynamics, no proof that electronic configurations are recognized, and no proof that bonding organization is physically recognized"
bond_order_shuffle_control__benzene,benzene,bond_order_shuffle_control,0.32,0.32,False,moderate,partial_scaffold_preservation,"synthetic/reference-style diagnostic only; no real-data validation, no molecular validation, no physical validation, no spacetime emergence, no physical metric recovery, no causal structure, no de-Broglie confirmation, no real quantum dynamics, no proof that electronic configurations are recognized, and no proof that bonding organization is physically recognized"
bond_order_shuffle_control__c60,c60,bond_order_shuffle_control,0.128667,0.128667,True,low_or_degenerate,topology_preservation+degree_preservation+low_control_destruction_effectiveness,"synthetic/reference-style diagnostic only; no real-data validation, no molecular validation, no physical validation, no spacetime emergence, no physical metric recovery, no causal structure, no de-Broglie confirmation, no real quantum dynamics, no proof that electronic configurations are recognized, and no proof that bonding organization is physically recognized"
bond_order_shuffle_control__ethyne,ethyne,bond_order_shuffle_control,0.32,0.32,False,moderate,partial_scaffold_preservation,"synthetic/reference-style diagnostic only; no real-data validation, no molecular validation, no physical validation, no spacetime emergence, no physical metric recovery, no causal structure, no de-Broglie confirmation, no real quantum dynamics, no proof that electronic configurations are recognized, and no proof that bonding organization is physically recognized"
carbon_skeleton_degree_control__adamantane,adamantane,carbon_skeleton_degree_control,0.203,0.203,False,moderate,partial_scaffold_preservation,"synthetic/reference-style diagnostic only; no real-data validation, no molecular validation, no physical validation, no spacetime emergence, no physical metric recovery, no causal structure, no de-Broglie confirmation, no real quantum dynamics, no proof that electronic configurations are recognized, and no proof that bonding organization is physically recognized"
carbon_skeleton_degree_control__benzene,benzene,carbon_skeleton_degree_control,0.203,0.203,False,moderate,partial_scaffold_preservation,"synthetic/reference-style diagnostic only; no real-data validation, no molecular validation, no physical validation, no spacetime emergence, no physical metric recovery, no causal structure, no de-Broglie confirmation, no real quantum dynamics, no proof that electronic configurations are recognized, and no proof that bonding organization is physically recognized"
carbon_skeleton_degree_control__c60,c60,carbon_skeleton_degree_control,0.203,0.203,False,moderate,partial_scaffold_preservation,"synthetic/reference-style diagnostic only; no real-data validation, no molecular validation, no physical validation, no spacetime emergence, no physical metric recovery, no causal structure, no de-Broglie confirmation, no real quantum dynamics, no proof that electronic configurations are recognized, and no proof that bonding organization is physically recognized"
carbon_skeleton_degree_control__ethyne,ethyne,carbon_skeleton_degree_control,0.203,0.203,False,moderate,partial_scaffold_preservation,"synthetic/reference-style diagnostic only; no real-data validation, no molecular validation, no physical validation, no spacetime emergence, no physical metric recovery, no causal structure, no de-Broglie confirmation, no real quantum dynamics, no proof that electronic configurations are recognized, and no proof that bonding organization is physically recognized"
cross_system_label_swap__adamantane,adamantane,cross_system_label_swap,0.68,0.68,False,strong,control_changed_weighted_component_set,"synthetic/reference-style diagnostic only; no real-data validation, no molecular validation, no physical validation, no spacetime emergence, no physical metric recovery, no causal structure, no de-Broglie confirmation, no real quantum dynamics, no proof that electronic configurations are recognized, and no proof that bonding organization is physically recognized"
cross_system_label_swap__benzene,benzene,cross_system_label_swap,0.5,0.5,False,strong,control_changed_weighted_component_set,"synthetic/reference-style diagnostic only; no real-data validation, no molecular validation, no physical validation, no spacetime emergence, no physical metric recovery, no causal structure, no de-Broglie confirmation, no real quantum dynamics, no proof that electronic configurations are recognized, and no proof that bonding organization is physically recognized"
cross_system_label_swap__c60,c60,cross_system_label_swap,0.68,0.68,False,strong,control_changed_weighted_component_set,"synthetic/reference-style diagnostic only; no real-data validation, no molecular validation, no physical validation, no spacetime emergence, no physical metric recovery, no causal structure, no de-Broglie confirmation, no real quantum dynamics, no proof that electronic configurations are recognized, and no proof that bonding organization is physically recognized"
cross_system_label_swap__ethyne,ethyne,cross_system_label_swap,0.68,0.68,False,strong,control_changed_weighted_component_set,"synthetic/reference-style diagnostic only; no real-data validation, no molecular validation, no physical validation, no spacetime emergence, no physical metric recovery, no causal structure, no de-Broglie confirmation, no real quantum dynamics, no proof that electronic configurations are recognized, and no proof that bonding organization is physically recognized"
hybridization_label_shuffle_control__adamantane,adamantane,hybridization_label_shuffle_control,0.32,0.32,False,moderate,partial_scaffold_preservation,"synthetic/reference-style diagnostic only; no real-data validation, no molecular validation, no physical validation, no spacetime emergence, no physical metric recovery, no causal structure, no de-Broglie confirmation, no real quantum dynamics, no proof that electronic configurations are recognized, and no proof that bonding organization is physically recognized"
